0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
15-01-0002-42,15-011,BAJA VERAPAZ,SALAMA,EODP DEL CENTRO DE BIENESTAR SOCIAL,BARRIO AGUA CALIENTE,,SANTOS BALTAZAR CEBALLOS,,PARVULOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0003-42,15-01-0891,BAJA VERAPAZ,SALAMA,EODP NO. 4,BARRIO LAS PIEDRECITAS,33545881,MIGUEL ANGEL ATZIJ PICON,ERIKA ELIZABETH RAMOS CHE,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0004-42,,BAJA VERAPAZ,SALAMA,EODP NO. 3,BARRIO HACIENDA DE LA VIRGEN,,,,PARVULOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0005-42,15-01-0891,BAJA VERAPAZ,SALAMA,EODP NO. 1,5A. CALLE 8-70 ZONA 1,56213249,MIGUEL ANGEL ATZIJ PICON,MIRNA MAYDEE HERNÁNDEZ ADQUÍ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0006-42,15-01-0890,BAJA VERAPAZ,SALAMA,COLEGIO PARTICULAR MIXTO TEZULUTLAN,"DIAGONAL 4, 1-24 ZONA 2",79400182,IRIS QUETZALI ORDOÑEZ TURCIOS,ELIA NÍVEA LÓPEZ GARCÍA,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0007-42,15-01-0895,BAJA VERAPAZ,SALAMA,ANEXA A LICEO MIXTO SAN MATEO,9A. AVENIDA 6-67 ZONA 1,79401926,NELSON JOEL HERNANDEZ HERNANDEZ,FRANCISCA PAPE CAAL,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0054-42,15-01-0892,BAJA VERAPAZ,SALAMA,EODP ANEXA A EORM,ALDEA PAYAQUE,41284269,AMNER ESAÚ FERNÁNDEEZ LÓPEZ,IRIS AZUCENA HERRERA JUAREZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0055-42,15-01-0893,BAJA VERAPAZ,SALAMA,EODP,ALDEA SAN JULIAN CHUACUS,56389658,BOYMAN GYRIONE MILIÁN GUZMÁN,CLAUDIA IDALY REYES GUZMAN,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0056-42,15-01-0893,BAJA VERAPAZ,SALAMA,EODP,ALDEA SANTA INÉS CHIVAC II,51910007,BOYMAN GYRIONE MILIÁN GUZMÁN,PATRICIA NOEMÍ HERNÁNDEZ TISTA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
