0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
15-01-0047-44,15-01-0891,BAJA VERAPAZ,SALAMA,EOPA,BARRIO EL CENTRO,58698881,MIGUEL ANGEL ATZIJ PICON,EMELI MARLENI GARCIA CARRILLO,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0119-44,15-001,BAJA VERAPAZ,SALAMA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,1A. CALLE 11-26 ZONA 2,58299689,IRIS QUETZALÍ ORDOÑEZ TURCIOS,VIVIAN VERONICA PRERA NOGUERA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,A DISTANCIA,BAJA VERAPAZ
15-01-0120-44,15-024,BAJA VERAPAZ,SALAMA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,1A. CALLE 11-26 ZONA 2,58299689,VIVIAN VERONICA PRERA NOGUERA,VIVIAN VERÓNICA PRERA NOGUERA,PRIMARIA DE ADULTOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0121-44,15-024,BAJA VERAPAZ,SALAMA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,1A. CALLE 11-26 ZONA 2,58299689,VIVIAN VERONICA PRERA NOGUERA,VIVIAN VERÓNICA PRERA NOGUERA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ
15-01-0753-44,25-000,BAJA VERAPAZ,SALAMA,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),LA UNION BARRIOS,,SONIA HAYDEE REYES MONTERROSO,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,BAJA VERAPAZ
15-02-2034-44,15-006,BAJA VERAPAZ,SAN MIGUEL CHICAJ,COLEGIO MIXTO PRIVADO 'SAN JOSE DE BETANCUR',CANTON SAN JUAN,,HUGO RAMIRO GONZALEZ CANAHUI,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ
15-03-0098-44,15-031,BAJA VERAPAZ,RABINAL,EPPA PARROQUIAL 'SAN PABLO',"1A. AVENIDA Y 2A. CALLE, ZONA 4",,JOSÉ ASCENCIÓN CORTEZ ISMALEJ,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0756-44,,BAJA VERAPAZ,RABINAL,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA,CENTRO DE FORMACION DE ARTESANOS,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-04-0754-44,,BAJA VERAPAZ,CUBULCO,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA,CUBULCO,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,A DISTANCIA,BAJA VERAPAZ
15-05-0755-44,,BAJA VERAPAZ,GRANADOS,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA,ALDEA IXCHEL GRANADOS,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,BAJA VERAPAZ
15-08-0274-44,15-08-0921,BAJA VERAPAZ,PURULHA,EOPA,BARRIO EL CENTRO,47775539,MAURO COY JÁ,VILMA YOLANDA CÓ FORTÍN,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),BAJA VERAPAZ
15-08-0300-44,15-08-0916,BAJA VERAPAZ,PURULHA,LICEO INTEGRAL PURULENSE VICTORIA,BARRIO LA CRUZ,57778541,PEDRO ARMANDO CASTRO CHOCÓ,EDGAR FRANCISCO XOY CHÓN,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,BAJA VERAPAZ
