0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
20-01-0024-45,20-01-1142,CHIQUIMULA,CHIQUIMULA,INEB ADSCRITO A ESCUELA DE CIENCIAS COMERCIALES NOCTURNA,10A. AV. 3-71 ZONA 1,41494622,CÉSAR ADALBERTO NOGUERA JÁCOME,HECTOR ALIDIO CERÓN BRENES,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),CHIQUIMULA
20-01-0025-45,20-01-1144,CHIQUIMULA,CHIQUIMULA,INEB EXPERIMENTAL 'DR. DAVID GUERRA GUZMAN',2A CALLE ENTRE 11 Y 12 AVENIDAS ZONA 1,59274572,CESAR HELAMAN GARCÍA LÓPEZ,ROMEO RIVERA CHACÓN,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0026-45,20-024,CHIQUIMULA,CHIQUIMULA,ESCUELA SECUNDARIA PRIVADA MIXTA DE ORIENTE -ESDEO-,2A CALLE 4-40 ZONA 1,79420290,SILVIA MARILENA BUEZO MARTINEZ,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0027-45,20-01-1148,CHIQUIMULA,CHIQUIMULA,"COLEGIO EVANGELICO MIXTO ""AMIGOS""",10MA. AVENIDA 5-38 ZONA 1,79420116,SILVIA MARILENA BUEZO MARTÍNEZ,ROXANA LISBETH URRUTIA PINTO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0034-45,20-01-1142,CHIQUIMULA,CHIQUIMULA,INEB ADSC. AL INSTITUTO NORMAL P/SEÑORITAS DE ORIENTE,4A CALLE 6-00 ZONA 1,79420228,CÉSAR ADALBERTO NOGUERA JÁCOME,MIRNA ELIZABETH QUIROA LÓPEZ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0036-45,20-01-1149,CHIQUIMULA,CHIQUIMULA,INEB ADSC. AL INSTITUTO NORMAL PARA VARONES DE ORIENTE,6A AVE. 4-10 ZONA 1,42102776,BYRON HORACIO SARCEÑO ZEPEDA,BALVINO CHACÓN PÉREZ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0038-45,20-01-1148,CHIQUIMULA,CHIQUIMULA,"""LICEO LA SALLE""",6A CALLE 3-61 ZONA 1,79420328,SILVIA MARILENA BUEZO MARTÍNEZ,CARLOS ORLANDO TOLEDO GARCÍA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0040-45,20-01-1144,CHIQUIMULA,CHIQUIMULA,COLEGIO PRIVADO MIXTO 'SAGRADA FAMILIA',6A AVE. 5-68 ZONA 1,79420232,CESAR HELAMAN GARCÍA LÓPEZ,SHENY MARÍA FAJARDO MÉNDEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0041-45,99-001,CHIQUIMULA,CHIQUIMULA,INSTITUTO MODERNO CHIQUIMULTECO,CALLE HUGO LEONEL BACARO 9-30 ZONA 1,,SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0120-45,20-024,CHIQUIMULA,CHIQUIMULA,LICEO TECNOLÓGICO BILINGÜE CHIQUIMULTECO,6A. AVENIDA A 6-00 ZONA 1,79422282,SILVIA MARILENA BUEZO MARTINEZ,EDNA GRACIELA PINTO SAGASTUME,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0127-45,20-01-1143,CHIQUIMULA,CHIQUIMULA,CENTRO EDUCATIVO INTEGRAL CASA DEL ALFARERO,14 AVENIDA 5-23 ZONA 7 COLONIA SHOROPIN,37590030,NINETH DEL ROSARIO MORALES SANCE DE REYES,KATHERINE JAZMIN GREGORIO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0128-45,20-027,CHIQUIMULA,CHIQUIMULA,CENTRO EDUCATIVO INTEGRAL CASA DEL ALFARERO,CALLE PRINCIPAL DE LA COLONIA LA COLINA ZONA 7,79422285,SILVIA MARILENA BUEZO MARTINEZ,LICDA. AMANDA PADILLA CHACON DE ARGUETA,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0130-45,20-01-1142,CHIQUIMULA,CHIQUIMULA,INEB,"6A. AVENIDA ENTRE 4A. Y 5A. CALLE, ZONA 1",57218758,CÉSAR ADALBERTO NOGUERA JÁCOME,OLGA GISELA GUTIÉRREZ LEÓN,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0136-45,20-01-1147,CHIQUIMULA,CHIQUIMULA,INEB DE TELESECUNDARIA,ALDEA LA LAGUNA EL JUTE,42739114,VALESKA LILIAM ESPERANZA ARGUETA REYES,HEBER MERARY ECHEVERRIA CASTAÑEDA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0151-45,20-01-1147,CHIQUIMULA,CHIQUIMULA,INEB DE TELESECUNDARIA,ALDEA EL BARREAL,54517500,VALESKA LILIAM ESPERANZA ARGUETA REYES,MARINA RAMOS GUTIERREZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0152-45,20-022,CHIQUIMULA,CHIQUIMULA,INEB DE TELESECUNDARIA,ALDEA TIZUBIN,,VACANTE VACANTE,--,BASICO,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0153-45,20-024,CHIQUIMULA,CHIQUIMULA,"COLEGIO CRISTIANO BILINGUE ""CANTICO NUEVO""",3A. CALLE 2-36 COLONIA EL ANGEL ZONA 3,79438050,SILVIA MARILENA BUEZO MARTINEZ,BRENDA PRISCILA GALLARDO REYES DE GUZMAN,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0155-45,20-020,CHIQUIMULA,CHIQUIMULA,INEB DE TELESECUNDARIA,"CASERIO EL PINALITO, ALDEA JAGUA",,CESAR HELAMAN GARCIA LOPEZ,---,BASICO,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0171-45,20-01-1142,CHIQUIMULA,CHIQUIMULA,INEB,"3A. AVENIDA FINAL SUR ZONA 3, COLONIA LOS ANGELES",79420311,CÉSAR ADALBERTO NOGUERA JÁCOME,JOSÉ DANIEL RÍOS GUANCÍN,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0173-45,20-01-1144,CHIQUIMULA,CHIQUIMULA,COLEGIO PRIVADO MIXTO BENDICION,4A. CALLE A 13-25 ZONA 1,41007884,CESAR HELAMAN GARCÍA LÓPEZ,AXEL YOVANY VILLELA MONROY,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0177-45,20-027,CHIQUIMULA,CHIQUIMULA,COLEGIO PRIVADO MIXTO SABIDURIA,2DA. CALLE 4-40 ZONA 1,,SILVIA MARILENA BUEZO MARTINEZ,LUIS FELIPE CARRANZA RODRIGUEZ,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0180-45,20-024,CHIQUIMULA,CHIQUIMULA,COLEGIO EVANGELICO MIXTO ADONAI,8A. AVENIDA 4-40 ZONA 1,79424111,SILVIA MARILENA BUEZO MARTINEZ,MERARI JASMÍN DE LEÓN CARRILLO,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0193-45,20-01-1187,CHIQUIMULA,CHIQUIMULA,COLEGIO SUPERIOR DE INFORMATICA HIGA,1RA. CALLE 5-61 ZONA 2,30631989,KAREN SUCETH GUERRA CALDERÓN,MIGUEL ANGEL MAYORGA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0195-45,20-027,CHIQUIMULA,CHIQUIMULA,COLEGIO SUPERIOR DE INFORMATICA HIGA,1RA. CALLE 5-61 ZONA 2,44043628,SILVIA MARILENA BUEZO MARTINEZ,KOKMAN ANGEL CHANG BARELA,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0199-45,20-01-1146,CHIQUIMULA,CHIQUIMULA,COLEGIO MIXTO EN TECNOLOGIA LATINOAMERICANO,3A. AVENIDA4-49 ZONA 1,54706013,MERY ELISABET CALDERÓN CASTILLO,JAQUELINE EDITH SANTIAGO RAMOS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0202-45,20-01-1148,CHIQUIMULA,CHIQUIMULA,COLEGIO EVANGELICO MIXTO ADONAI,8A. AVENIDA 4-40 ZONA 1,79424111,SILVIA MARILENA BUEZO MARTÍNEZ,MERARI JASMÍN DE LEÓN CARRILLO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0206-45,20-038,CHIQUIMULA,CHIQUIMULA,LICEO DE FORMACION INTEGRAL,0 CALLE ZONA 1,79433902,RICARDO URIEL SAMAYOA TRIGUEROS,JORGE NOLBERTO CHAVARRIA VEGA,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0212-45,20-01-1142,CHIQUIMULA,CHIQUIMULA,LICEO ISRAELÍ,5A. CALLE 4-11 ZONA 1,79422500,CÉSAR ADALBERTO NOGUERA JÁCOME,GLADYS EUGENIA RODRÍGUEZ RAMÍREZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0215-45,20-024,CHIQUIMULA,CHIQUIMULA,LICEO ISRAELÍ,5TA. CALLE 4-11 ZONA 1,79422500,SILVIA MARILENA BUEZO MARTINEZ,MÁRILYN TATIANA SALGUERO ROLDÁN,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0218-45,20-01-1146,CHIQUIMULA,CHIQUIMULA,INSTITUTO TECNOLÓGICO PRIVADO DE ORIENTE,4A. AVENIDA 4-20 ZONA 1,79425959,MERY ELISABET CALDERÓN CASTILLO,SALOMON ELIASIB ALVAREZ CORDÓN,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0224-45,20-01-1144,CHIQUIMULA,CHIQUIMULA,NUCLEO FAMILIAR EDUCATIVO PARA EL DESARROLLO NUFED 192,ALDEA HACIENDA EL SANTO,31231433,CESAR HELAMAN GARCÍA LÓPEZ,LIGIA MARIBÍ LÓPEZ SOLÓRZANO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIQUIMULA
20-01-0225-45,20-01-1147,CHIQUIMULA,CHIQUIMULA,COLEGIO BILINGÜE MI PEQUEÑO MUNDO (MY SMALL WORLD BILINGUAL SCHOOL),8VA. AVENIDA FINAL SUR 1-18 ZONA 4 BARRIO SAN ISIDRO,79425429,VALESKA LILIAM ESPERANZA ARGUETA REYES,ANGÉLICA MARÍA MEJÍA MORATAYA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0226-45,20-030,CHIQUIMULA,CHIQUIMULA,CENTRO DE EDUCACIÓN EXTRAESCOLAR DE MODALIDAD FLEXIBLE PARA LA EDUCACIÓN MEDIA,"4TA. CALLE ""A"" 10-79 COLONIA EL MAESTRO",79422203,VILMA ESPERANZA LOPEZ INTERIANO,SANTOS DAVID DÍAZ RAMOS,BASICO,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0228-45,20-01-1149,CHIQUIMULA,CHIQUIMULA,INEB DE TELESECUNDARIA,ALDEA EL PINALITO,58059366,BYRON HORACIO SARCEÑO ZEPEDA,LEA JUDITH GÁLVEZ GUTIÉRREZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0231-45,20-041,CHIQUIMULA,CHIQUIMULA,COLEGIO PRIVADO DE BACHILLERATO POR MADUREZ EMMANUEL,BARRIO LA ESTACION,46310501,JUAN DE DIOS MONROY RAMIREZ,CELMA YOLANDA MORALES DE MONROY,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0234-45,20-01-1146,CHIQUIMULA,CHIQUIMULA,COLEGIO MIXTO EN TECNOLOGÍA LATINOAMERICANO,3RA. AVENIDA 4-49 ZONA 1,54706013,MERY ELISABET CALDERÓN CASTILLO,JAQUELINE EDITH SANTIAGO RAMOS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0236-45,20-01-1187,CHIQUIMULA,CHIQUIMULA,COLEGIO SUPERIOR DE INFORMÁTICA HIGA,1A. CALLE 5-61 ZONA 2,31846360,KAREN SUCETH GUERRA CALDERÓN,MIGUEL ANGEL MAYORGA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0238-45,20-025,CHIQUIMULA,CHIQUIMULA,COORDINACIÓN DEPARTAMENTAL DE TELESECUNDARIA DE CHIQUIMULA,11 AVENIDA 4-20 ZONA 1,79423816,BYRON HORACIO SARCEÑO ZEPEDA,,BASICO,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0244-45,20-01-1187,CHIQUIMULA,CHIQUIMULA,"LICEO TEC, TECNOLÓGICO, EXPERIMENTAL Y CIENTÍFICO","CALZADA HÉCTOR AUGUSTO ESPAÑA BRACAMONTE, LOTE # 25 ZONA 2",58123452,KAREN SUCETH GUERRA CALDERÓN,ROSA YESSENIA PACHECO DE FRANCO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
