0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
20-01-0001-42,20-01-1145,CHIQUIMULA,CHIQUIMULA,EODP ROSA FLORES MONROY,10A AVE 3-60 ZONA 1,53714369,LUIS GUSTAVO SAGASTUME CONTRERAS,HILDA MARIELA MONROY HERNÁNDEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0002-42,20-01-1149,CHIQUIMULA,CHIQUIMULA,EODP,6A AVE 5-50 ZONA 1,48612359,BYRON HORACIO SARCEÑO ZEPEDA,NILSA FRANCISCA MIGUEL CRUZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0003-42,20-01-1143,CHIQUIMULA,CHIQUIMULA,EODP ANEXA A EOUM VICENTE CARRANZA LEMUS,9A. CALLE ZONA 4,48390756,NINETH DEL ROSARIO MORALES SANCE DE REYES,DELIA YANETH GUERRA ZACARÍAS,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0004-42,20-01-1142,CHIQUIMULA,CHIQUIMULA,EODP ANEXA A EOUM MARIA ALBERTINA SALGUERO,4A CALLE 1-42 ZONA 1,79426481,CÉSAR ADALBERTO NOGUERA JÁCOME,RUDY ARNOLDO CHEGÜÉN GUZMÁN,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0005-42,20-024,CHIQUIMULA,CHIQUIMULA,ESCUELA SECUNDARIA PRIVADA MIXTA DE ORIENTE -ESDEO-,2A CALLE 4-40 ZONA 1,79420290,SILVIA MARILENA BUEZO MARTINEZ,ERWIN LEONEL COLINDRES MONROY,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0006-42,20-01-1144,CHIQUIMULA,CHIQUIMULA,COLEGIO PRIVADO MIXTO 'SAGRADA FAMILIA',6A AVE 5-68 ZONA 1,79420232,CESAR HELAMAN GARCÍA LÓPEZ,DELFINA ISABEL CERÍN PICÉN,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0007-42,20-01-1148,CHIQUIMULA,CHIQUIMULA,"COLEGIO PRIVADO MIXTO ""JUGANDO APRENDO""","4 CALLE A 13-25, ZONA 1",79420373,SILVIA MARILENA BUEZO MARTÍNEZ,BERTA GLADYS BRENES HERNÁNDEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0012-42,20-01-1143,CHIQUIMULA,CHIQUIMULA,"EODP ANEXA A EOUN NO. 1 ""JUAN MANUEL AGUIRRE""",3A. CALLE 4-51 ZONA 1,51309572,NINETH DEL ROSARIO MORALES SANCE DE REYES,JOSÉ ALFREDO ESTRADA ALAS,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0014-42,20-01-1143,CHIQUIMULA,CHIQUIMULA,EODP ANEXA A EOUN NO.3 TRÁNSITO FLORES MORALES,10A. AVENIDA 3-10 ZONA 1,32083119,NINETH DEL ROSARIO MORALES SANCE DE REYES,FLORA SAGASTUME SAGASTUME,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0035-42,20-01-1149,CHIQUIMULA,CHIQUIMULA,EODP ANEXA A EORM,ALDEA LAS TABLAS,30786473,BYRON HORACIO SARCEÑO ZEPEDA,MARÍA ELENA LÓPEZ AGUSTÍN,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0037-42,20-01-1148,CHIQUIMULA,CHIQUIMULA,EODP ANEXA A EORM,CASERIO LAS MESAS ALDEA GUIOR,54853383,SILVIA MARILENA BUEZO MARTÍNEZ,MILVIA KARINA AGUSTIN CETINO,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0039-42,20-01-1147,CHIQUIMULA,CHIQUIMULA,EODP ANEXA A EORM,CASERIO LAS CRUCES ALDEA EL MATAZANO,42307172,VALESKA LILIAM ESPERANZA ARGUETA REYES,GLADIS ODETH OSORIO LEMUS,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
