0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
20-04-0111-41,20-042,CHIQUIMULA,JOCOTAN,COPB ANEXO A EORM,CASERÍO LOS TORRES ALDEA TUNUCÓ,79465626,FRANCISCO JAVIER GUERRA PAZOS,---,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-04-0112-41,20-042,CHIQUIMULA,JOCOTAN,COPB ANEXO A EORM,CASERÍO EL NANZAL ALDEA EL ORÉGANO,79465626,FRANCISCO JAVIER GUERRA PAZOS,---,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-04-0113-41,20-042,CHIQUIMULA,JOCOTAN,COPB ANEXO A EORM,BARRIO LA LOMA ALDEA PACREN,79465626,FRANCISCO JAVIER GUERRA PAZOS,---,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-04-0114-41,20-042,CHIQUIMULA,JOCOTAN,COPB ANEXO A EORM,CASERÍO TALQUEZALITO,79465626,FRANCISCO JAVIER GUERRA PAZOS,---,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-04-0115-41,20-004,CHIQUIMULA,JOCOTAN,COPB ANEXO A EORM,CASERÍO MAL PASO ALDEA TANSHÁ,79465626,SERGIO ESTUARDO MEDINA GUDIEL,---,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-04-0116-41,20-042,CHIQUIMULA,JOCOTAN,COPB ANEXO A EORM,CASERÍO PLAN DEL MANGO ALDEA SUCHIQUER,79465626,FRANCISCO JAVIER GUERRA PAZOS,---,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-04-0117-41,20-04-1157,CHIQUIMULA,JOCOTAN,COPB ANEXO A EORM,ALDEA OQUEN CASERÍO LA CUESTONA,31909696,FRANCISCO JAVIER GUERRA PAZOS,ANA MARÍA RAMÍREZ GARCÍA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-04-0118-41,20-004,CHIQUIMULA,JOCOTAN,COPB ANEXO A COPB,CASERÍO BARRIO NUEVO ALDEA GUAYABILLAS,79465626,SERGIO ESTUARDO MEDINA GUDIEL,---,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-04-0120-41,20-004,CHIQUIMULA,JOCOTAN,COPB ANEXO A EORM,ALDEA TIERRA BLANCA,79465626,SERGIO ESTUARDO MEDINA GUDIEL,---,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
