0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
02-01-0025-44,02-01-0174,EL PROGRESO,GUASTATOYA,EOPA,BARRIO EL PORVENIR,,CARLA MARLENY ALDANA RODAS,WILLIAM ALFREDO ALONZO HERNÁNDEZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),EL PROGRESO
02-01-0040-44,02-001,EL PROGRESO,GUASTATOYA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-C,"BARRIO LAS JOYAS, CEMENTERIO VIEJO",48978480,JORGE MARIO CHINCHILLA JACINTO,ZOILA VIOLETA MORALES CASTELLANOS,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,A DISTANCIA,EL PROGRESO
02-01-0041-44,02-001,EL PROGRESO,GUASTATOYA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,BARRIO LAS JOYAS,48978480,JORGE MARIO CHINCHILLA JACINTO,---,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),EL PROGRESO
02-01-0042-44,02-01-0175,EL PROGRESO,GUASTATOYA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,"BARRIO LAS JOYAS, CEMENTERIO VIEJO",48978480,CARLOTA EUGENIA ALBUREZ AGUILAR,MARTA ELIDA CARÍAS HERNÁNDEZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-03-0098-44,02-03-0177,EL PROGRESO,SAN AGUSTIN ACASAGUASTLAN,EOPA,BARRIO AGUAHIEL,53391920,EDNA LILY ALDANA GODOY,EDGAR RAÚL SÁNCHEZ MORALES,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),EL PROGRESO
02-03-0111-44,02-009,EL PROGRESO,SAN AGUSTIN ACASAGUASTLAN,CENTRO DE EDUCACIÓN EXTRAESCOLAR -PEAC-,SAN AGUSTIN ACASAGUASTLAN,47708340,INACTIVO INACTIVO,FACUNDA LUCRECIA MARROQUIN RIVERA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),EL PROGRESO
02-03-0285-44,02-004,EL PROGRESO,SAN AGUSTIN ACASAGUASTLAN,COLEGIO PRIVADO MIXTO EL ROSARIO,BARRIO EL CENTRO ALDEA EL RANCHO,54937809-53096866,EDGAR RUDY MORALES GODINEZ,,PRIMARIA DE ADULTOS,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),EL PROGRESO
02-03-0294-44,02-004,EL PROGRESO,SAN AGUSTIN ACASAGUASTLAN,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),LAS DELICIAS SAN AGUSTIN ACASAGUASTLAN,,EDGAR RUDY MORALES GODINEZ,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,EL PROGRESO
02-05-0014-44,02-05-0181,EL PROGRESO,EL JICARO,CENTRO DE EDUCACIÓN EXTRAESCOLAR -PEAC-,EL JICARO,42501320,JACKSON AMAGGI MORALES MACAL,YEIMY YAMILET CASTRO ORTIZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-05-0247-44,,EL PROGRESO,EL JICARO,ESCUELA PRIVADA DE EDUCACION PRIMARIA PARA ADULTOS 'EL JICARO',EL JICARO,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),EL PROGRESO
02-07-0037-44,02-021,EL PROGRESO,SANARATE,CENTRO DE EDUCACIÓN EXTRAESCOLAR FUNDACIÓN CARLOS F. NOVELLA,ALDEA SAN MIGUEL CONACASTE,55751775,MARTA ELIDA CARIAS HERNANDEZ DE GARCIA,JUVIA ADALY PALMA ROSIL,PRIMARIA DE ADULTOS,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-07-0819-44,02-07-0186,EL PROGRESO,SANARATE,INSTITUTO TECNOLOGICO SANARATECO,2A. AVENIDA 1-76 ZONA 4,79252664,JACQUELIN SUCELY CABRERA LOAIZA,CARLOS OVIDIO RAMOS HERRERA,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),EL PROGRESO
