0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
05-01-0103-45,05-033,ESCUINTLA,ESCUINTLA,LICEO TECNOLOGICO AMERICANO,4A. AVENIDA 2-56 ZONA 1,78880703,REMY ARTURO SINAY GUDIEL,VIRGINIA RODRIGUEZ JIMENEZ DE CORCUERA,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0108-45,05-01-0258,ESCUINTLA,ESCUINTLA,IEBC DE ENSEÑANZA,"LOTE 2-A, COLONIA SANTA ROSA ALDEA EL RODEO",50567276,ALMA LIBERTAD PÉREZ MARTÍNEZ,MILTON LAUREANO GONZÁLEZ LARIOS,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0109-45,,ESCUINTLA,ESCUINTLA,IEBC DE ENSEÑANZA,3A CALLE COLONIA MONTERREY,,,,BASICO,COOPERATIVA,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0110-45,05-01-0260,ESCUINTLA,ESCUINTLA,INEB SIMON BERGAÑO Y VILLEGAS,1A AVENIDA. 10-30 ZONA 1,78880048,REMY ARTURO SINAY GUDIEL,MARÍA SOLEDAD GUZMÁN BARRIENTOS,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0112-45,,ESCUINTLA,ESCUINTLA,IPMB 'CENTRO EDUCATIVO ESPAÑOL',5A AVE. 2-51 ZONA 1,,,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0113-45,05-033,ESCUINTLA,ESCUINTLA,COLEGIO CRISTIANO JEHOVA NISSI,5TA. CALLE Y 5TA AVENIDA LOTE NO. 42 COLONIA EL ESFUERZO,,REMY ARTURO SINAY GUDIEL,DORA EGLANTINA VALDEZ MELGAR,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,FIN DE SEMANA,ESCUINTLA
05-01-0114-45,,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO 'MIGUEL ANGEL ASTURIAS',5A AVE. 6-61 ZONA 1,,,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0116-45,05-033,ESCUINTLA,ESCUINTLA,IPMB 'PEDAGOGICO ESCUINTLECO CIENCIA Y ARTE',5A AVE. 10-87 ZONA 1,78892455,REMY ARTURO SINAY GUDIEL,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0117-45,05-033,ESCUINTLA,ESCUINTLA,LICEO MIXTO NOCTURNO 'IZCUINTLAN',5A.AVENIDA 6-61 ZONA 1,,REMY ARTURO SINAY GUDIEL,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ESCUINTLA
