0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
05-01-0001-42,05-01-0259,ESCUINTLA,ESCUINTLA,EODP ANEXA A EOUM,"2A. CALLE A 3-50, ZONA 3, COLONIA EL RECREO.",78896766,EDDY GABRIEL RAMÍREZ CHACÓN,SARA YANETH MORENO RIVERA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0002-42,05-01-0254,ESCUINTLA,ESCUINTLA,EODP DEL CENTRO DE BIENESTAR SOCIAL,9A CALLE 0-25 ZONA 4 SALIDA A SANTA LUCIA COTZUMALGUAPA,78881765,AUGUSTO WALDEMAR DEL CID DEL CID,LORENA DEL SOCORRO VELASQUEZ MEDINA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0003-42,05-01-0261,ESCUINTLA,ESCUINTLA,EODP ANEXA A EOUM MURRAY D. LINCOLN,COLONIA MODELO I ZONA 2,78894898,EMILSA NOEMI GARCÍA FUENTES,INGRID LUCÍA ROSALES BURRERO,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0004-42,05-01-0259,ESCUINTLA,ESCUINTLA,EODP ANEXA A EOUM,6TA. CALLE 5-99 ZONA 3 COLONIA SEBASTOPOL,51890559,EDDY GABRIEL RAMÍREZ CHACÓN,JESSICA NOHEMÍ LOBO,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0005-42,05-01-0261,ESCUINTLA,ESCUINTLA,EODP ANEXA A EOUM FRANCISCO ESPINOZA,1A AV. COLONIA EL FERROCARRILERO,55106764,EMILSA NOEMI GARCÍA FUENTES,JUAN CARLOS VÁSQUEZ DEL CID,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0006-42,05-01-0261,ESCUINTLA,ESCUINTLA,EODP ANEXA A EOUM HUGO EFRAIN BARRERA DE PAZ,COLONIA LA POPULAR,50144836,EMILSA NOEMI GARCÍA FUENTES,JENNIFER MATILDE LÓPEZ MORALES,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0007-42,05-01-0261,ESCUINTLA,ESCUINTLA,EODP,"7A. CALLE Y 1A. AVENIDA 2-21 ZONA 2, COLONIA PALMERAS DEL NORTE",47570188,EMILSA NOEMI GARCÍA FUENTES,MARYBELL ROSALES CASTILLO,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0008-42,05-01-0255,ESCUINTLA,ESCUINTLA,EODP ANEXA A EOUM,"FINAL 2A. CALLE Y 4A. AVENIDA 3-81 ZONA 4, COLONIA PALMERAS DEL SUR",78898983,ANA MERCEDES CABRERA ESTÉVEZ DE PALOMO,EDNA ALICIA GÁLVEZ CHINCHILLA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0009-42,05-01-0257,ESCUINTLA,ESCUINTLA,EODP CLOTILDE MORALES,3ERA. CALLE 2-16 ZONA 2 COLONIA SAN PEDRO.,78881369,LUZ DEL ROSARIO RODRÍGUEZ DE LEÓN,ZULMA YESENIA PORTILLO CASTILLO,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0010-42,05-022,ESCUINTLA,ESCUINTLA,COLEGIO UNIVERSITY KID´S,CANTON PUENTE DE PALO LOTE 34 EL CHUPADERO,78204390,EMILSA NOEMI GARCÍA FUENTES DE ORELLANA,RUTH LORENA AREVALO OSORIO,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0011-42,05-021,ESCUINTLA,ESCUINTLA,COLEGIO INTERAMERICANO DEL SUR,3A CALLE 3-25 ZONA 1,57143862,LUZ DEL ROSARIO RODRIGUEZ DE LEON,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0012-42,05-01-0252,ESCUINTLA,ESCUINTLA,COLEGIO CRISTIANO INFANTES DEL SUR,"4A CALLE 1-02 ZONA 3, COLONIA LAS GOLONDRINAS",47100057,MARIA DEL CARMEN SANDOVAL LOPEZ,MANASES DELGADO DEBROY,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
