0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
05-01-0029-43,05-01-0256,ESCUINTLA,ESCUINTLA,ESCUELA OFICIAL RURAL MIXTA,COLONIA SANTA MARTA,30318661,SUCELY MAGDALENA DEL ÁGUILA ARANA DE ROBLES,JÉSSICA ANDREA BARRERA JIMÉNEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0030-43,05-01-0254,ESCUINTLA,ESCUINTLA,EORM,ALDEA FLORIDO ACEITUNO,58730831,AUGUSTO WALDEMAR DEL CID DEL CID,EUGENIA LUCRECIA GONZÁLEZ NATARENO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0031-43,05-01-0256,ESCUINTLA,ESCUINTLA,EORM,ALDEA LAS CHAPERNAS,42973036,SUCELY MAGDALENA DEL ÁGUILA ARANA DE ROBLES,GAUDY ARIANA SAGASTUME ORTEGA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0032-43,05-01-0257,ESCUINTLA,ESCUINTLA,EORM LIC. MARIO MENDEZ MONTENEGRO,CALLE PRINCIPAL LOTE NO. 19 COLONIA EL CARMEN,34812633,LUZ DEL ROSARIO RODRÍGUEZ DE LEÓN,LESTER EDUARDO CAAL LÓPEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0033-43,05-01-0256,ESCUINTLA,ESCUINTLA,EORM,LOTE NO.30 SECCIÓN B ALDEA LA ESTANCIA,47452413,SUCELY MAGDALENA DEL ÁGUILA ARANA DE ROBLES,MARÍA DOLORES QUEVEDO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0034-43,,ESCUINTLA,ESCUINTLA,EPRM,FINCA LOS DIAMANTES,,,,PRIMARIA,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0035-43,05-01-0256,ESCUINTLA,ESCUINTLA,EORM,2A. AVENIDA 3A. CALLE LOTE 218 AL 220 COLONIA MONTERREY,36647631,SUCELY MAGDALENA DEL ÁGUILA ARANA DE ROBLES,MARLYN YOJANA HERNÁNDEZ LEMUS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0036-43,05-01-0257,ESCUINTLA,ESCUINTLA,ESCUELA OFICIAL RURAL MIXTA,FINCA SAN LUIS BUENA VISTA,42189521,LUZ DEL ROSARIO RODRÍGUEZ DE LEÓN,MÓNICA ELVIRA ZULETA HERRERA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0037-43,05-01-0256,ESCUINTLA,ESCUINTLA,EORM,LOTIFICACION SAN GABRIEL,45116699,SUCELY MAGDALENA DEL ÁGUILA ARANA DE ROBLES,FLORENCIA RODRIGUEZ RAMIREZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
