0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
01-01-0001-42,01-110,GUATEMALA,GUATEMALA,LICEO CIENTIFICO CUMORAH,LOTE 572 MANZANA 5 COLONIA MAYA ZONA 18,22603791,ZUHILEM YESENIA ESTRADA ORTIZ,BERLY MARISOL MORALES OCHOA,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-0004-42,01-504,GUATEMALA,GUATEMALA,COLEGIO HAN AL AMERICANO,9A. CALLE 28-74 ZONA 14,23661600,DAVID SOTOJ SANCHEZ,ANGELICA MARIA REYES MONTERROSO,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-0008-42,01-620,GUATEMALA,GUATEMALA,COLEGIO LA EDUCACION,7A. AVENIDA 3-20 ZONA 19 COLONIA LA FLORIDA,24310333,RONALD MAURICIO MORALES VIVAR,JENIFER SABRINA DE LEON URÍZA,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-0868-42,,GUATEMALA,GUATEMALA,EPDP ANEXA A JARDIN INFANTIL' MONTE ALEGRE',"4A AVE. 'A' 5-55 ZONA 12, COLONIA GUAJITOS",,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1133-42,,GUATEMALA,GUATEMALA,EODP NO.76,4A AVE. 'A' 4-36 ALDEA GUAJITOS,,,,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1139-42,01-106,GUATEMALA,GUATEMALA,EODP ANEXA A EORM NO.602 EL CHATO,CALLE REAL LOTE 20 ALDEA CONCEPCION EL CHATO ZONA 18,53682249,CESAR ARNOLDO MARTINEZ GARCIA,,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1141-42,,GUATEMALA,GUATEMALA,EODP ANEXA A EORM NO.603 'OSCAR DE LEON PALACIOS',"KM. 12.5 RUTA AL ATLANTICO, ZONA 18 ALDEA LO DE RODRIGUEZ",,,,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1142-42,,GUATEMALA,GUATEMALA,EODP ANEXA A EORM NO.111,ALDEA LAS TAPIAS,22554154,,,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1143-42,01-105,GUATEMALA,GUATEMALA,EODP ANEXA A EORM NO.618 'HECTOR NUILA ARREAGA',CANTON PORVENIR ZONA 17 ALDEA CANALITOS,,YAMILET VERSALÍ AGUÍLAR PÉREZ,,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1144-42,,GUATEMALA,GUATEMALA,EODP ANEXA A EORM NO.604 'ROSA PARDO DE LANUZA',ALDEA LAS VACAS,,,,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1145-42,01-01-0145,GUATEMALA,GUATEMALA,EODP ANEXA A EORM NO.613 MARIO MENDEZ MONTENEGRO,ZONA 17 ALDEA SANTA LUCIA LOS OCOTES,54252237,CESAR ARNOLDO MARTINEZ GARCIA,JULIO RENÉ VICENTE HERRERA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1146-42,01-104,GUATEMALA,GUATEMALA,EODP ANEXA A EORM NO.607,KM.10 RUTA AL ATLANTICO ALDEA EL BEBEDERO,22608008,ISRAEL PORTILLO HERNANDEZ,,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1147-42,,GUATEMALA,GUATEMALA,EODP ANEXA A EORM NO.467 'LA PASCUA',CAMINO FINCA LA PASCUA ALDEA LAS TAPIAS,,,,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1148-42,,GUATEMALA,GUATEMALA,EODP ANEXA A EORM 'EL BUEN PASTOR',"KM. 12.5 RUTA AL ATLANTICO, ZONA 17",,,,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1149-42,,GUATEMALA,GUATEMALA,EODP ANEXA A EORM NO.606 'ACEITUNO',ALDEA SABANA ARRIBA,,,,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
