0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
01-01-0002-43,01-110,GUATEMALA,GUATEMALA,LICEO CIENTIFICO CUMORAH,LOTE 572 MANZANA 5 COLONIA MAYA ZONA 18,22603601,ZUHILEM YESENIA ESTRADA ORTIZ,BERLY MARISOL MORALES OCHOA,PRIMARIA,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-0005-43,01-504,GUATEMALA,GUATEMALA,COLEGIO HAN AL AMERICANO,9A. CALLE 28-74 ZONA 14,23661600,DAVID SOTOJ SANCHEZ,LOURDES YAJAIRA GARCIA ROSALES DE YANES,PRIMARIA,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-0009-43,01-620,GUATEMALA,GUATEMALA,COLEGIO LA EDUCACION,7A. AVENIDA 3-20 ZONA 19 COLONIA LA FLORIDA,24310333,RONALD MAURICIO MORALES VIVAR,AMANDA EUGENIA URÍZAR SEVILLANOS DE PEREZ,PRIMARIA,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-0016-43,01-111,GUATEMALA,GUATEMALA,COLEGIO MUNDO INFANTIL PEQUEÑAS ESTRELLAS,"LOTE 30 MANZANA 5 RESIDENCIALES SAN RAFAEL BUENA VISTA, ZONA 18",22572196,ROSA ALBA LOPEZ PIRIR,FLOR DE MARIA MORALES LOPEZ,PRIMARIA,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-0024-43,01-301,GUATEMALA,GUATEMALA,CENTRO EDUCATIVO ESPERANZA JUVENIL,"12 AVENIDA 16-32 ZONA 2, CUIDAD NUEVA",22549911,LUCRECIA MARISOL CERMEÑO GONZÁLEZ,JOSE ANGEL MEDINA DOMINGUEZ,PRIMARIA,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-0893-43,,GUATEMALA,GUATEMALA,EPUM 'JARDIN INFANTIL MONTE ALEGRE',"14 AVE 'B' 9-15 BELLO HORIZONTE, ZONA 21",,,,PRIMARIA,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-0994-43,01-509,GUATEMALA,GUATEMALA,ESCUELA EXPERIMENTAL CRISTIANA 'EL VERBO',"CARRETERA A SAN ISIDRO, ZONA 16 ALDEA ACATAN",22558964,NANCY CAROLINA NAVAS GONZÁLEZ,,PRIMARIA,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1174-43,01-106,GUATEMALA,GUATEMALA,"ESCUELA OFICIAL RURAL MIXTA ""SANTA BÁRBARA""","COLONIA SANTA BARBARA KM. 15.5 RUTA AL ATLANTICO, ZONA 18",22578599,CESAR ARNOLDO MARTINEZ GARCIA,EDGAR BAUDILIO AVALOS GUERRA,PRIMARIA,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1179-43,,GUATEMALA,GUATEMALA,EOUM NO.112 'FELIX HERNANDEZ ANDRINO',"3A CALLE 2-61 ZONA 12, COLONIA GUAJITOS",,,,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1184-43,,GUATEMALA,GUATEMALA,EORM 'LOMA BLANCA',GUAJITOS,,,,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1195-43,01-106,GUATEMALA,GUATEMALA,EORM NO.605,"ALDEA LAS CANOAS, ZONA 17",51226769,CESAR ARNOLDO MARTINEZ GARCIA,,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1196-43,,GUATEMALA,GUATEMALA,EORM NO.613 'MARIO MENDEZ MONTENEGRO',ALDEA SANTA LUCIA LOS OCOTES,,,,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1197-43,,GUATEMALA,GUATEMALA,EORM NO.609,ALDEA LA CEBADILLA,,,,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1198-43,01-110,GUATEMALA,GUATEMALA,EORM NO.612,CANTON LOURDES ALDEA CANALITOS ZONA 17,52779049,ZUHILEM YESENIA ESTRADA ORTIZ,EDNA ODILI JIMÉNEZ FLORES,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1199-43,,GUATEMALA,GUATEMALA,EORM,ALDEA CERRO GORDO FINAL,,,,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1200-43,,GUATEMALA,GUATEMALA,EORM,LOTIFICACION JOYA 2OOO KM. 25.5 RUTA AL ATLANTICO,,,,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1201-43,,GUATEMALA,GUATEMALA,EORM,LOMA BLANCA ALDEA GUAJITOS,,,,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1202-43,,GUATEMALA,GUATEMALA,EORM NO.607 'SONIA RINCON',KM. 10 RUTA AL ATLANTICO ALDEA EL BEBEDERO,,,,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1203-43,01-106,GUATEMALA,GUATEMALA,EOUM NO.603 'OSCAR DE LEON PALACIOS',KM. 12.5 RUTA AL ATLANTICO ALDEA LO DE RODRIGUEZ ZONA 18,48929909,CESAR ARNOLDO MARTINEZ GARCIA,JAVIER SOTO VALDEZ,PRIMARIA,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1204-43,,GUATEMALA,GUATEMALA,EORM NO.614 'EL BUEN PASTOR',KM. 12.5 RUTA AL ATLANTICO,,,,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
