0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
18-01-0034-45,18-01-1059,IZABAL,PUERTO BARRIOS,INEBE CON ORIENTACION OCUPACIONAL DR. LUIS PASTEUR,9 AVENIDA 14 Y 17 CALLES,54660964,SANDRA PATRICIA LÓPEZ JORDÁN,OLGA LETICIA TENAS MARTINEZ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0035-45,18-01-1063,IZABAL,PUERTO BARRIOS,INEB ADSCRITO A LA ESCUELA NACIONAL DE CIENCIAS COMERCIALES DOMINGO JUARROS,14 CALLE Y 11 AVENIDA,79524783,SANDRA PATRICIA LÓPEZ JORDÁN,SILVIA SUCELY ABREGO SALVADOR,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0036-45,18-01-1063,IZABAL,PUERTO BARRIOS,INEB ADSCRITO A LA ESCUELA NACIONAL DE CIENCIAS COMERCIALES DOMINGO JUARROS,14 CALLE ENTRE 11 Y 12 AVENIDA,59792605,SANDRA PATRICIA LÓPEZ JORDÁN,SILVIA LETICIA LEMUS,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),IZABAL
18-01-0037-45,,IZABAL,PUERTO BARRIOS,IPMB COLEGIO 'CRISTO REY',10A CALLE ENTRE 8A Y 9A AVENIDAS,,,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),IZABAL
18-01-0038-45,,IZABAL,PUERTO BARRIOS,IPMB 'MAYA',22 CALLE 7A. Y 8A. AVENIDA,79480743,,,BASICO,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0039-45,18-008,IZABAL,PUERTO BARRIOS,LICEO MIXTO '20 DE OCTUBRE',7A. CALLE ENTRE 6A. Y 7A. AVENIDA,79482254,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,--,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0044-45,,IZABAL,PUERTO BARRIOS,IPMB 'JUSTO RUFINO BARRIOS',8A AVENIDA ENTRE 17 Y 18 CALLES,79480364,,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),IZABAL
18-01-0045-45,18-01-1062,IZABAL,PUERTO BARRIOS,COLEGIO PARTICULAR MIXTO CRISTO REY,10A CALLE ENTRE 8A Y 9A AVENIDAS,79488225,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,MARLON ESTUARDO ALDANA CRUZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0094-45,18-008,IZABAL,PUERTO BARRIOS,IPMB 'ASOPROBA',"FINCA ESKIMO, ALDEA ENTRE RIOS",,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,--,BASICO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),IZABAL
18-01-0095-45,18-01-1070,IZABAL,PUERTO BARRIOS,INSTITUTO DE EDUCACION BASICA POR COOPERATIVA,ALDEA ENTRE RIOS,42053417,JACOBO AREVALO MEDINA,VICENTA MÉNDEZ RAMÍREZ,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0108-45,,IZABAL,PUERTO BARRIOS,CPMI 'LA INMACULADA' JV,"COL. BANVI I, # 48,",79483156,,,BASICO,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0109-45,18-01-1061,IZABAL,PUERTO BARRIOS,INEB MIGUEL ANGEL ASTURIAS,ALDEA SANTO TOMAS DE CASTILLA,79484144,CINDY WALESKA BELTETÓN DE MOLINA,GERBER GIOVANNI NOVA PAZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0110-45,18-01-1061,IZABAL,PUERTO BARRIOS,IEBC DE ENSEÑANZA,ALDEA SANTO TOMAS DE CASTILLA,58529698,CINDY WALESKA BELTETÓN DE MOLINA,WALTER ENRIQUE LÓPEZ PEREIRA,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
