0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
18-01-0001-42,18-01-1059,IZABAL,PUERTO BARRIOS,EODP NATALIA GORRIZ VIUDA DE MORALES,4A AVE. Y 5A CALLE,54833110,SANDRA PATRICIA LÓPEZ JORDÁN,CLAUDIA BERNARDA ESCOBEDO LEIVA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0002-42,18-01-1059,IZABAL,PUERTO BARRIOS,EODP ANEXA A ESCUELA URBANA MIXTA NO. 3 MARIO MENDEZ MONTENEGRO,19 CALLE Y 14 AVE.,79482152,SANDRA PATRICIA LÓPEZ JORDÁN,ANGELA IRAIDA ESTRADA JUAREZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0003-42,18-01-1059,IZABAL,PUERTO BARRIOS,EODP ANEXA A EOUM NO. 2 JUDITH ARACELY PAZ MORALES DE DIAZ,14 CALLE ENTRE 11 Y 12 AVENIDAS,41671098,SANDRA PATRICIA LÓPEZ JORDÁN,LIDYA ROSMERY MEJIA BARRERA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0004-42,18-01-1059,IZABAL,PUERTO BARRIOS,EODP ANEXA A EOUM PROFESORA ANA SUCELY CALDERON MARIN,COLONIA EL PROGRESO,79486012,SANDRA PATRICIA LÓPEZ JORDÁN,MERCEDES MARILÚ UCELO SOSA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0005-42,18-01-1059,IZABAL,PUERTO BARRIOS,EODP ANEXA A ESCUELA URBANA MIXTA NO. 1 DR. MARIANO GALVEZ,14 CALLE ENTRE 11 Y 12 AVENIDA,79481458,SANDRA PATRICIA LÓPEZ JORDÁN,BRENDA PATRICIA POCASANGRE DUARTE,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0006-42,18-01-1059,IZABAL,PUERTO BARRIOS,"EODP ANEXA A ESCUELA OFICIAL URBANA MIXTA NO. 4 ""PROFESOR PABLO DE JESUS LINARES FLORES""",19 CALLE Y 14 AVENIDA,52959314,SANDRA PATRICIA LÓPEZ JORDÁN,HILCIA TRINIDAD MORALES LIMA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0007-42,18-01-1059,IZABAL,PUERTO BARRIOS,EODP ANEXA A EOUM ERNESTO R. LARA,15 CALLE Y 7A AVENIDA,79480566,SANDRA PATRICIA LÓPEZ JORDÁN,ESTELA HERRERA LÓPEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0008-42,18-01-1059,IZABAL,PUERTO BARRIOS,"EODP ANEXA A ESCUELA OFICIAL URBANA MIXTA NO. 2 ""PROFESORA ALBA MARINA RUIZ FAJARDO""",15 CALLE ENTRE 7A Y 8A AVENIDA,40651474-40651474,SANDRA PATRICIA LÓPEZ JORDÁN,ALBA MARINA RUIZ FAJARDO,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0009-42,18-01-1059,IZABAL,PUERTO BARRIOS,EODP LICDA. LETICIA AGUILAR DE VALDEZ,16 CALLE ENTRE 5A Y 6A AVENIDAS,45586673,SANDRA PATRICIA LÓPEZ JORDÁN,MÉLANY DAYANA VILLEDA ACEVEDO,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0010-42,18-01-1062,IZABAL,PUERTO BARRIOS,"COLEGIO PARTICULAR MIXTO ""CRISTO REY""",10 CALLE ENTRE 8A Y 9A AVE,79488225,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,MÓNICA DANISA CALVILLO GUZMÁN,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0011-42,18-006,IZABAL,PUERTO BARRIOS,ANEXA A COLEGIO 'MAYA',22A. CALLE ENTRE 7A Y 8A AV.,79480009,SANDRA PATRICIA LÓPEZ JORDÁN,HILCIA TRINIDAD MORALES LIMA,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0012-42,18-01-1059,IZABAL,PUERTO BARRIOS,EPDP ANEXA A COLEGIO 'HEBREO',10A. CALLE 4A. Y 5A. AVENIDAS NO.46,79480009,SANDRA PATRICIA LÓPEZ JORDÁN,ANA LUCRECIA GODINEZ MÉNDEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0013-42,18-006,IZABAL,PUERTO BARRIOS,ANEXA A 'LICEO MONTESSORI',12 AV. 10 Y 11 CALLES,79480774,SANDRA PATRICIA LÓPEZ JORDÁN,--,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0014-42,18-01-1059,IZABAL,PUERTO BARRIOS,EODP ANEXA A EOUM NO. 1 RAFAEL LANDIVAR,4A. AVENIDA Y 6A. CALLE,54157879,SANDRA PATRICIA LÓPEZ JORDÁN,BETZY ROXANA CHIGUA REYES,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0026-42,18-01-1062,IZABAL,PUERTO BARRIOS,"ESCUELA PARTICULAR MIXTA ""JUSTO RUFINO BARRIOS""",8A. AV. ENTRE 17 Y 18 CALLE,79487032,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,KARLA GABRIELA QUIÑONEZ LÓPEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0046-42,18-01-1070,IZABAL,PUERTO BARRIOS,EODP ANEXA A EORM 12 DE OCTUBRE,ALDEA ENTRE RIOS,43206210,JACOBO AREVALO MEDINA,VILMA ARACELI RAMÍREZ CRUZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0051-42,18-01-1060,IZABAL,PUERTO BARRIOS,EODP ANEXA EORM,ALDEA EL COROZO,53201296-47403674,MARÍA DEL CARMEN URÍZAR CATALÁN,RUTH HEREDIA MEJÍA VARGAS,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0055-42,18-01-1060,IZABAL,PUERTO BARRIOS,EODP ANEXA A EORM,ALDEA EL QUETZALITO,30390478,MARÍA DEL CARMEN URÍZAR CATALÁN,RIGOBERTO VÁSQUEZ ZALDÍVAR,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0068-42,18-01-1059,IZABAL,PUERTO BARRIOS,EODP ANEXA A EORM,ALDEA PUENTE DOS,56715415,SANDRA PATRICIA LÓPEZ JORDÁN,HENRY NAZARETH TOBAR CERROS,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0069-42,18-01-1059,IZABAL,PUERTO BARRIOS,CEIN PAIN ANEXO A EORM REPUBLICA DE GUATEMALA,CASERIO EL MITCH,47327325,SANDRA PATRICIA LÓPEZ JORDÁN,RUTH MIREYA TOBAR CORTEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0096-42,18-01-1061,IZABAL,PUERTO BARRIOS,EODP ANEXA A ESCUELA OFICIAL RURAL MIXTA JUAN JOSE OROZCO POSADAS,"COLONIA MARIA LUISA I, SANTO TOMAS DE CASTILLA",79484449,CINDY WALESKA BELTETÓN DE MOLINA,VILMA ESTELA CONTRERAS TOBAR,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0097-42,18-01-1061,IZABAL,PUERTO BARRIOS,EODP ANEXA EORM,COLONIA SAN AGUSTIN ALDEA SANTO TOMAS DE CASTILLA,54435711,CINDY WALESKA BELTETÓN DE MOLINA,CLAUDIA MABEL BERNAL JOVEL,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0098-42,,IZABAL,PUERTO BARRIOS,EPDP ANEXA A COLEGIO INFANTIL 'LA INMACULADA',COLONIA BANVI ALDEA SANTO TOMAS DE CASTILLA,79483156,,,PARVULOS,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0099-42,18-01-1061,IZABAL,PUERTO BARRIOS,EODP ANEXA A ESCUELA RURAL MIXTA SALVADOR E. VIDES LEMUS,ALDEA SANTO TOMAS DE CASTILLA,37570200,CINDY WALESKA BELTETÓN DE MOLINA,MERCY ESTEFANNY CASTAÑEDA MORALES,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0104-42,18-01-1061,IZABAL,PUERTO BARRIOS,EODP ANEXA A EORM ANA DOLORES CABRERA DE PORTILLO,"COLONIA SAN MANUEL II, SANTO TOMAS DE CASTILLA",58590630,CINDY WALESKA BELTETÓN DE MOLINA,VIRGINIA ONELIA CASTELLÓN AUSTÍN,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0113-42,18-01-1067,IZABAL,PUERTO BARRIOS,"COLEGIO PRIVADO MIXTO ECOLOGICO ""CAMPO Y VIDA""",KILOMETRO 289 ALDEA AGUA CALIENTE,45261770,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,KELLY DAYANARA HERNANDEZ PÉREZ,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0116-42,26-013,IZABAL,PUERTO BARRIOS,EDAC -PRONADE-,ALDEA MEDIA LUNA,,PROYECTO CONSULTORIA TOTAL,---,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0117-42,18-01-1068,IZABAL,PUERTO BARRIOS,EODP ANEXA A EORM,ALDEA SAN CARLOS EL PORVENIR,30550958,CINDY WALESKA BELTETÓN DE MOLINA,EUSEBIO POP CHOC,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0118-42,18-01-1061,IZABAL,PUERTO BARRIOS,EODP ANEXA A EORM,"COLONIA 15 DE ABRIL, SANTO TOMAS DE CASTILLA",41053889,CINDY WALESKA BELTETÓN DE MOLINA,IRIS YISELA CORTEZ RAMIREZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0119-42,18-01-1061,IZABAL,PUERTO BARRIOS,EODP ANEXA A EORM,CASERIO EL MANANTIAL ALDEA SANTO TOMAS DE CASTILLA,47312276,CINDY WALESKA BELTETÓN DE MOLINA,JENNIFFER FABIOLA BARRIENTOS LOAIZA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0120-42,18-01-1060,IZABAL,PUERTO BARRIOS,EODP ANEXA A EORM ALDEA LAS VEGAS,ALDEA LAS VEGAS,51511058,MARÍA DEL CARMEN URÍZAR CATALÁN,SANDRA ELIZABETH CONSTANZA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0121-42,18-01-1061,IZABAL,PUERTO BARRIOS,EODP ANEXA A EORM,"COLONIA LA REPEGUA, ALDEA SANTO TOMÁS DE CASTILLLA",55680419,CINDY WALESKA BELTETÓN DE MOLINA,MILDRED GISELA RAMOS BRACAMONTE,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0122-42,18-01-1060,IZABAL,PUERTO BARRIOS,EODP ANEXA A EORM,ALDEA EL COROZO MILLA TRES (3),58651819,MARÍA DEL CARMEN URÍZAR CATALÁN,ANDREA MARINÉ SIERRA ALTAMIRANO,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0123-42,18-01-1061,IZABAL,PUERTO BARRIOS,EODP,COLONIA BUENOS AIRES,54306842,CINDY WALESKA BELTETÓN DE MOLINA,ROSA ELENA GARCÍA RAMÍREZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0124-42,18-01-1061,IZABAL,PUERTO BARRIOS,EODP ANEXA A EORM,CASERIO COLINA II DE LA ALDEA SANTO TOMAS DE CASTILLA,58438094,CINDY WALESKA BELTETÓN DE MOLINA,DELIA ADRIANA ORELLANA ROSA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0125-42,18-01-1061,IZABAL,PUERTO BARRIOS,"EODP ANEXA A EORM ""HUGO ARTEMIO RODRIGUEZ MURCIA""",COLONIA LAS PALMERAS ALDEA SANTO TOMAS DE CASTILLA,42166867,CINDY WALESKA BELTETÓN DE MOLINA,KARIN ELIZABETH MARTINEZ MORALES,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0126-42,18-01-1068,IZABAL,PUERTO BARRIOS,EODP ANEXA A EORM,CASERIO SARITA,79480009,CINDY WALESKA BELTETÓN DE MOLINA,HUGO JUVENTINO CHAMALE GALVAN,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0127-42,18-01-1060,IZABAL,PUERTO BARRIOS,EODP ANEXA A EORM,ALDEA MEDIA LUNA,79479839,MARÍA DEL CARMEN URÍZAR CATALÁN,LESLY MISHELL JEREZ PARHAM,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0149-42,18-01-1061,IZABAL,PUERTO BARRIOS,EODP ANEXA A EORM,"COLONIA 15 DE ABRIL, ALDEA SANTO TOMAS DE CASTILLA",36101732,CINDY WALESKA BELTETÓN DE MOLINA,JACQUELINE LISBETH BARAHONA ARZÚ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0150-42,18-01-1061,IZABAL,PUERTO BARRIOS,EODP,"COLONIA EL MANANTIAL, SANTO TOMAS DE CASTILLA",50385239,CINDY WALESKA BELTETÓN DE MOLINA,MARLIN YESSENIA SIS GIRÓN,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0157-42,18-006,IZABAL,PUERTO BARRIOS,"COLEGIO PARTICULAR MIXTO ""PIEDRAS NEGRAS""","COLONIA PIEDRAS NEGRAS, SANTO TOMAS DE CASTILLA",79480009,SANDRA PATRICIA LÓPEZ JORDÁN,LESVIA HERNANDEZ CASTRO,PARVULOS,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0170-42,18-01-1060,IZABAL,PUERTO BARRIOS,EODP ANEXA A EORM,ALDEA MOJANALES,59065187,MARÍA DEL CARMEN URÍZAR CATALÁN,HERIBERTO DE JESÚS MORALES GUZMÁN,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0187-42,18-01-1060,IZABAL,PUERTO BARRIOS,EODP ANEXA A EORM,CASERIO CREEK NEGRO DEL MAR,54591268,MARÍA DEL CARMEN URÍZAR CATALÁN,ANA CAROLINA VÁLDEZ MEJIA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0188-42,18-01-1060,IZABAL,PUERTO BARRIOS,EODP ANEXA A EORM,ALDEA CREEK GRANDE DEL MAR,79480009,MARÍA DEL CARMEN URÍZAR CATALÁN,MARCIO ALEX PEDROZA OSORIO,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0189-42,18-01-1062,IZABAL,PUERTO BARRIOS,LICEO MIXTO TESORO INFANTIL,7A. CALLE ENTRE 11 Y 12 AVENIDAS,55449798,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,MAYRA LORENA ABREGO SALVADOR,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0190-42,18-01-1062,IZABAL,PUERTO BARRIOS,LICEO MIXTO TESORO INFANTIL,7A. CALLE ENTRE 11 Y 12 AVENIDAS,55449798,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,MAYRA LORENA ABREGO SALVADOR,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0192-42,18-01-1064,IZABAL,PUERTO BARRIOS,COLEGIO CRISTIANO MIXTO BILINGÜE MI DULCE PARAÍSO,"4A. CALLE Y 15 AVENIDA, COLONIA SAN AGUSTÍN, ALDEA SANTO TOMÁS DE CASTILLA",79453132,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,MAGDA MAGALY SALGUERO PÉREZ,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
