0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
18-01-0014-43,18-01-1059,IZABAL,PUERTO BARRIOS,EOUM NO. 1 RAFAEL LANDIVAR,4A. AVENIDA 5A. Y 6A. CALLES,54157879,SANDRA PATRICIA LÓPEZ JORDÁN,BETZY ROXANA CHIGUA REYES,PRIMARIA,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0015-43,18-01-1059,IZABAL,PUERTO BARRIOS,EOUM ERNESTO R. LARA,15 CALLE Y 7A. AVENIDA,79480566,SANDRA PATRICIA LÓPEZ JORDÁN,ESTELA HERRERA LÓPEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0016-43,18-01-1059,IZABAL,PUERTO BARRIOS,EOUM NO.1 DR. MARIANO GALVEZ,14 CALLE ENTRE 11 Y 12 AVENIDA,79481458,SANDRA PATRICIA LÓPEZ JORDÁN,BRENDA PATRICIA POCASANGRE DUARTE,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0017-43,18-01-1059,IZABAL,PUERTO BARRIOS,EOUM NO.3 MARIO MENDEZ MONTENEGRO,19 CALLE Y 14 AVENIDA,79482152,SANDRA PATRICIA LÓPEZ JORDÁN,ANGELA IRAIDA ESTRADA JUAREZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0018-43,18-01-1059,IZABAL,PUERTO BARRIOS,EOUM NO. 2 PROFA. JUDITH ARACELY PAZ MORALES DE DIAZ,14 CALLE 11 Y 12 AVENIDA,41671098,SANDRA PATRICIA LÓPEZ JORDÁN,LIDYA ROSMERY MEJIA BARRERA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0019-43,18-01-1059,IZABAL,PUERTO BARRIOS,"EOUM NO. 2 ""PROFESORA ALBA MARINA RUIZ FAJARDO""",15 CALLE ENTRE 7A. Y 8A. AVENIDAS,40651474,SANDRA PATRICIA LÓPEZ JORDÁN,ALBA MARINA RUIZ FAJARDO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0020-43,18-01-1059,IZABAL,PUERTO BARRIOS,EOUM 15 DE SEPTIEMBRE,4AV. ENTRE 5A. Y 6A. CALLE,34503585,SANDRA PATRICIA LÓPEZ JORDÁN,REYNA CONCEPCIÓN HERNÁNDEZ GARCÍA,PRIMARIA,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0021-43,18-01-1059,IZABAL,PUERTO BARRIOS,"EOUM NO. 4 ""PROFESOR PABLO DE JESUS LINARES FLORES""",19 CALLE Y 14 AVENIDA.,52959314,SANDRA PATRICIA LÓPEZ JORDÁN,HILCIA TRINIDAD MORALES LIMA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0022-43,18-01-1059,IZABAL,PUERTO BARRIOS,EOUM 'PROFESORA ANA SUCELY CALDERON MARIN',COLONIA EL PROGRESO,79486012,SANDRA PATRICIA LÓPEZ JORDÁN,MERCEDES MARILÚ UCELO SOSA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
