0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
21-01-0099-45,21-01-1198,JALAPA,JALAPA,INEB ADSCRITO AL INSTITUTO NORMAL CENTROAMERICANO PARA VARONES,"CALLE TRANSITO ROJAS, 4-82 ZONA 2, BARRIO SAN FRANCISCO",79228073,JORGE ADELINO PÉREZ UCELO,HILDA MAGALY PERALTA ALFARO,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
21-01-0100-45,21-01-1199,JALAPA,JALAPA,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA POR COOPERATIVA,ALDEA EL CHAGUITE,42957276,NORA ALCIDA VELÁSQUEZ AGUILAR,MANUEL ARMANDO AGUILAR AGUILAR,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
21-01-0102-45,21-01-1198,JALAPA,JALAPA,INEB ADSCRITO AL INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS,"AVENIDA CHIPILAPA 1-65, ZONA 2",49117347,JORGE ADELINO PÉREZ UCELO,IRMA YOLANDA FIGUEROA LEMUS,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0103-45,21-01-1198,JALAPA,JALAPA,INEBE CON ORIENTACION OCUPACIONAL DR. SILVANO ANTONIO CARIAS RECINOS,CALZADA JUAN JOSE BONILLA 3-02 ZONA 2 BARRIO SAN FRANCISCO,30180455,JORGE ADELINO PÉREZ UCELO,MARCO ANTONIO ESTRADA LEMUS,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0105-45,,JALAPA,JALAPA,IPMB LICEO 'JALAPA',BARRIO LA DEMOCRACIA,,,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0106-45,21-01-1193,JALAPA,JALAPA,COLEGIO PARTICULAR MIXTO 'LICEO JALAPA',"CALLE TRANSITO ROJAS 7-60, ZONA 1",79220013,NORA ALCIDA VELÁSQUEZ AGUILAR,EFRAÍN DE JESÚS SALAZAR PERALTA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),JALAPA
21-01-0107-45,21-004,JALAPA,JALAPA,INSTITUTO PARTICULAR MIXTO MODERNO JALAPANECO,"3A. CALLE 0-39, ZONA 2 BARRIO LA ESPERANZA",51228253,VICTOR MANUEL PORTILLO RECINOS,GERMAN DE JESUS RAMOS VALLE,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
21-01-0108-45,21-01-1198,JALAPA,JALAPA,INSTITUTO PRIVADO DE EDUCACIÓN DIVERSIFICADA EL PORVENIR,"4A. AVENIDA 2-66 ZONA 2, BARRIO SAN FRANCISCO",79223033-79224958,JORGE ADELINO PÉREZ UCELO,ROSA CORALIA PINEDA GALLARDO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
21-01-0109-45,,JALAPA,JALAPA,IPMB 'EL PORVENIR',"AVENIDA CHIPILAPA 0-45, ZONA 2",,,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),JALAPA
21-01-0110-45,21-004,JALAPA,JALAPA,INSTITUTO PARTICULAR MIXTO 'MODERNO JALAPANECO',"3A. CALLE 0-41, ZONA 2 BARRIO LA ESPERANZA",79222977,VICTOR MANUEL PORTILLO RECINOS,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),JALAPA
21-01-0115-45,21-004,JALAPA,JALAPA,"INSTITUTO PRIVADO DE EDUCACION MEDIA ""DR. JUAN JOSE AREVALO BERMEJO""","AVENIDA CHIPILAPA 0-81 ZONA 6, BARRIO CHIPILAPA",59093630,VICTOR MANUEL PORTILLO RECINOS,KAREN LUCRECIA GOMEZ ESQUIVEL,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,JALAPA
21-01-0116-45,21-004,JALAPA,JALAPA,"INSTITUTO PRIVADO DE EDUCACION MEDIA ""DR. JUAN JOSE AREVALO BERMEJO""","AVENIDA CHIPILAPA 0-81 ZONA 6, BARRIO CHIPILAPA",59009363,VICTOR MANUEL PORTILLO RECINOS,KAREN LUCRECIA GOMEZ ESQUIVEL,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,JALAPA
21-01-0207-45,21-017,JALAPA,JALAPA,INEB,ALDEA LA PASTORÍA,46495423,MANUEL DANILO REYES GONZALEZ,IRMA JULIETA SANDOVAL ORTEGA,BASICO,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
