0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
21-01-0285-41,21-022,JALAPA,JALAPA,COPB COPB ANEXA A EORM,"CASERIO LOS AQUINO, ALDEA URLANTA JALAPA",79222800,LESBIA LETICIA SOLIS LIMA DE LEON,- - - -,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0286-41,21-017,JALAPA,JALAPA,COPB ANEXA A EORM,CASERIO EL TERRERO JALAPA,79222800,MANUEL DANILO REYES GONZALEZ,- - - -,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0287-41,21-024,JALAPA,JALAPA,COPB ANEXA A EORM,"CASERIO LOS AQUINO, ALDEA URLANTA JALAPA",79222800,ERIKA PATRICIA CUELLAR ESCOBAR,- - - -,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0288-41,21-017,JALAPA,JALAPA,COPB ANEXA A EORM,"CASERIO LA LAGUNILLA, ALDEA SAN JOSE JALAPA",79222800,MANUEL DANILO REYES GONZALEZ,- - -,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0320-41,,JALAPA,JALAPA,INSTITUTO PRIVADO DE BACHILLERATO POR MADUREZ CIENCIA Y DESARROLLO,BARRIO DEMOCRACIA,,,,PREPRIMARIA BILINGUE,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,BILINGUE,DOBLE,DIARIO(REGULAR),JALAPA
21-02-1124-41,21-008,JALAPA,SAN PEDRO PINULA,COPB ANEXA A EORM,ALDEA LA CUMBRE CASERIO LAGUNA MOJADA,,ERICKA JULISSA AQUINO LEMUS,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-03-0818-41,21-03-1208,JALAPA,SAN LUIS JILOTEPEQUE,COPB ANEXO EOUM CORAZON DE MAIZ,BARRIO LOS IZOTES,79237291,NATIVIDAD DE JESÚS GREGORIO MARTÍNEZ,LUIS ARMANDO GÓMEZ AGUSTÍN,PREPRIMARIA BILINGUE,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-03-1189-41,,JALAPA,SAN LUIS JILOTEPEQUE,EDAC - PRONADE -,BARRIO EL CALVARIO,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
21-03-1478-41,21-03-1207,JALAPA,SAN LUIS JILOTEPEQUE,"CENTRO EDUCATIVO BILINGUE ""MAYA WINAQ""",BARRIO EL CALVARIO,79237071,ALBA LUZ CRISTINA AGUSTÍN MANUEL,RODRIGO ANTONIO AGUSTÍN Y AGUSTÍN,PREPRIMARIA BILINGUE,PRIVADO,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
21-05-0032-41,21-009,JALAPA,SAN CARLOS ALZATATE,COPB ANEXA A EORM,"CASERIO EL DURAZNITO, ALDEA LAS FLORES SAN CARLOS ALZATATE, JALAPA",79222800,AMARILIS NOHEMI MENDEZ MATEO,- - - -,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-06-0033-41,21-016,JALAPA,MONJAS,COPB ANEXA A EORM,"BARRIO MARGINAL EL CAMPECHE MONJAS, JALAPA",79222800,ANA GLORIA MOLINA TEO,- - - -,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
