0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
21-01-0008-43,21-004,JALAPA,JALAPA,CPMI JARDIN INFANTIL JALAPANECO,"CALLE TRANSITO ROJAS 0-73, ZONA 5",79225275,VICTOR MANUEL PORTILLO RECINOS,,PRIMARIA,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0009-43,21-01-1193,JALAPA,JALAPA,"COLEGIO PARTICULAR MIXTO ""LICEO JALAPA ""","CALLE TRÁNSITO ROJAS 7-60 ZONA 1, BARRIO LA DEMOCRACIA",79220013,NORA ALCIDA VELÁSQUEZ AGUILAR,JÁCQUELIN ELIZABETH FABIÁN GONZÁLEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0010-43,21-01-1196,JALAPA,JALAPA,COLEGIO ADVENTISTA MORIA,"2A. AVENIDA ""A"" 0-84, ZONA 2 BARRIO SAN FRANCISCO",79222901,MANUEL DANILO REYES GONZÁLEZ,WIDMER RONEL PAZ COLINDRES,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0011-43,21-004,JALAPA,JALAPA,CPMI SAN FRANCISCO,CALLE TRANSITO ROJAS 8-54 ZONA 2,,VICTOR MANUEL PORTILLO RECINOS,,PRIMARIA,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0012-43,21-01-1198,JALAPA,JALAPA,"COLEGIO ""EL PORVENIR"" ANEXO AL INSTITUTO PRIVADO DE EDUCACION DIVERSIFICADA EL PORVENIR","4A. AVENIDA 2-66, ZONA 2 BARRIO SAN FRANCISCO",79223033,JORGE ADELINO PÉREZ UCELO,BERTA CORALIA GALLARDO,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0013-43,21-01-1196,JALAPA,JALAPA,"ESCUELA OFICIAL URBANA PARA NIÑAS ""BERTA JUDITH FRANCO BONILLA""","2A. CALLE ""C"" 2-17 ZONA 2, BARRIO SAN FRANCISCO",79225101,MANUEL DANILO REYES GONZÁLEZ,RONY ELMER UCELO SOTO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0014-43,21-01-1190,JALAPA,JALAPA,EOUV DE APLICACION ANEXA A INCAV,BARRIO SAN FRANCISCO,79228081,VÍCTOR MANUEL PORTILLO RECINOS,MAYRA GUISELLA RUANO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
21-01-0015-43,21-01-1199,JALAPA,JALAPA,EOUM,BARRIO CHIPILAPA,79222261,NORA ALCIDA VELÁSQUEZ AGUILAR,LUIS ESTUARDO RUANO RECINOS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0016-43,21-01-1195,JALAPA,JALAPA,EOUV NO. 1,"CALLE TRANSITO ROJAS 7-18, ZONA 6",79224058,MANUEL DANILO REYES GONZÁLEZ,MARVIN ISRAEL MORÁN ORTÍZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
21-01-0017-43,21-01-1191,JALAPA,JALAPA,EOUN EL PORVENIR,"CALLE TRANSITO ROJAS 5-64 ZONA 3, BARRIO EL PORVENIR",79223660,JORGE ADELINO PÉREZ UCELO,WUILBER RANDOLFO LIMA ALFARO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0018-43,21-01-1195,JALAPA,JALAPA,EOUN NO. 1,"CALLE TRANSITO ROJAS 7-18, ZONA 6 BARRIO LA DEMOCRACIA",79220713,MANUEL DANILO REYES GONZÁLEZ,GLENDA YANETH CASTRO SANDOVAL,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0019-43,21-01-1194,JALAPA,JALAPA,ESCUELA OFICIAL URBANA PARA NIÑAS TIPO FEDERACIÓN LUIS MARTÍNEZ MONT,BARRIO SAN FRANCISCO,53263401,ERIKA PATRICIA CUELLAR ESCOBAR,DONALDO AUGUSTO ARAGÓN ORTEGA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0020-43,21-01-1194,JALAPA,JALAPA,EOUV TIPO FEDERACION LUIS MARTINEZ MONT,6A. AVENIDA 3-50 ZONA 2 BARRIO SAN FRANCISCO,51727705,ERIKA PATRICIA CUELLAR ESCOBAR,JUAN ANGEL LOOL CUYUCH,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
21-01-0021-43,21-01-1196,JALAPA,JALAPA,EOUM,COLONIA LINDA VISTA,79225001,MANUEL DANILO REYES GONZÁLEZ,LUDWIN FERNANDO GARRIDO LÓPEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0022-43,21-01-1190,JALAPA,JALAPA,EORM,ALDEA ARLOROMA,46881631,VÍCTOR MANUEL PORTILLO RECINOS,ANA LUISA ROSA LUCERO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0023-43,21-01-1193,JALAPA,JALAPA,EORM,"CASERÍO EL DIVISADERO, ALDEA SASHICO",49683843,NORA ALCIDA VELÁSQUEZ AGUILAR,ALDA SELENY MÉNDEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0024-43,21-01-1195,JALAPA,JALAPA,EORM,CASERIO LAS GUACAMAYAS ALDEA LA TOMA,55587381,MANUEL DANILO REYES GONZÁLEZ,LUZ ESTER RECINOS VARGAS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0025-43,21-01-1194,JALAPA,JALAPA,EORM,CASERIO LOS GONZALEZ ALDEA SASHICO,57347768,ERIKA PATRICIA CUELLAR ESCOBAR,JOSÉ AUGUSTO MÉNDEZ SALGUERO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0026-43,21-01-1201,JALAPA,JALAPA,EORM,ALDEA AGUIJOTES,40518223,JORGE ADELINO PÉREZ UCELO,MÁXIMO GONZÁLEZ HERNÁNDEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0027-43,21-01-1192,JALAPA,JALAPA,EORM,"CASERÍO SAN ANTONIO LA NORIA, ALDEA LA VENTURA",57661752,VÍCTOR MANUEL PORTILLO RECINOS,MARLEN MARÍA ELENA MÉNDEZ PALMA DE CARDONA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0028-43,21-01-1200,JALAPA,JALAPA,EORM,CASERIO LAS QUEBRADITAS ALDEA ORCHOJ,30335717,JORGE ADELINO PÉREZ UCELO,MELVIN ARIEL POCASANGRE ORELLANA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0029-43,21-01-1197,JALAPA,JALAPA,EORM,"CASERÍO EL ROBLAR, ALDEA LA PAZ",55786657,THELMA YANETH POLANCO PÉREZ,BEBERLY ROXANA LORENZO AQUINO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0030-43,21-01-1198,JALAPA,JALAPA,EORM,CASERIO TALPETATES ALDEA PALO VERDE,57190477,JORGE ADELINO PÉREZ UCELO,DARWIN HEBERTO LÉMUS DÍAZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0031-43,21-01-1192,JALAPA,JALAPA,EORM,CASERÍO EL LAZARETO,34445349,VÍCTOR MANUEL PORTILLO RECINOS,CARLOS ANTONIO CAMPOS AGUIRRE,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0032-43,21-017,JALAPA,JALAPA,EORM,ALDEA SALFATE,,MANUEL DANILO REYES GONZALEZ,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0033-43,21-01-1191,JALAPA,JALAPA,EORM,ALDEA URLANTA,,JORGE ADELINO PÉREZ UCELO,MARÍA ALEJANDRA HERNÁNDEZ LÓPEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0034-43,21-01-1192,JALAPA,JALAPA,EORM,ALDEA LA PASTORIA,54828488,VÍCTOR MANUEL PORTILLO RECINOS,MARLEN SUJEY UMAÑA LIMA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0035-43,21-01-1190,JALAPA,JALAPA,EORM,ALDEA MIRAFLORES,51452041,VÍCTOR MANUEL PORTILLO RECINOS,JOSSELINE MARYSOL DELCOMPARE CASTAÑEDA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0036-43,21-01-1196,JALAPA,JALAPA,EORM,"CASERÍO ARAYZAPO, ALDEA EL DURAZNO",40595374,MANUEL DANILO REYES GONZÁLEZ,BETSY NOHEMÍ GARCÍA RAMÍREZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0037-43,21-01-1190,JALAPA,JALAPA,EORM,ALDEA ALTUPE,54149041,VÍCTOR MANUEL PORTILLO RECINOS,AMALIA BEATRIZ REVOLORIO LOPEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0038-43,21-01-1199,JALAPA,JALAPA,EORM PROFA. BLANCA ALICIA CABRERA FOLGAR DE BONILLA,ALDEA EL CHAGUITE,,NORA ALCIDA VELÁSQUEZ AGUILAR,RAÚL HEBERTO ORTÍZ SANDOVAL,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
