0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
21-01-0098-44,21-01-1194,JALAPA,JALAPA,EOPA 'LUIS MARTINEZ MONT',BARRIO SAN FRANCISCO,41968630,ERIKA PATRICIA CUELLAR ESCOBAR,ERCIRDA ALDINA MARTINEZ CASTRO,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),JALAPA
21-01-0234-44,21-01-1201,JALAPA,JALAPA,COLEGIO PARTICULAR MIXTO POR MADUREZ OSCAR DE LEON PALACIOS,CALLE TRANSITO ROJAS 8-54 ZONA 2,56963730,JORGE ADELINO PÉREZ UCELO,THELMA YANETH POLANCO PÉREZ,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JALAPA
21-01-0247-44,21-004,JALAPA,JALAPA,INSTITUTO PRIVADO DE EDUCACION MEDIA DR. JUAN JOSE AREVALO BERMEJO,1A. CALLE 2-06 ZONA 1,59096330,VICTOR MANUEL PORTILLO RECINOS,NERY BERNARDINO CHAPAS ROSALES,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),JALAPA
21-01-0248-44,21-004,JALAPA,JALAPA,INSTITUTO PRIVADO DE EDUCACION MEDIA DR. JUAN JOSE AREVALO BERMEJO,"1A. CALLE 2-06 ZONA 1, BARRIO CHIPILAPA",59093630,VICTOR MANUEL PORTILLO RECINOS,NERY BERNARDINO CHAPAS ROSALES,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),JALAPA
21-01-0249-44,21-004,JALAPA,JALAPA,INSTITUTO PRIVADO DE EDUCACION MEDIA DR. JUAN JOSE AREVALO BERMEJO,"1A. CALLE 2-06 ZONA 1, BARRIO CHIPILAPA",59093630,VICTOR MANUEL PORTILLO RECINOS,NERY BERNARDINO CHAPAS ROSALES,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,JALAPA
21-01-0262-44,21-01-1200,JALAPA,JALAPA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,3AVE. 1-78 Y 1-84 ZONA 1 BARRIO LA ESPERANZA,46058628,JORGE ADELINO PÉREZ UCELO,LIGIA ELIZABETH MARTINEZ GUZMAN,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,JALAPA
21-01-0263-44,21-025,JALAPA,JALAPA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,3AVE. 1-78 Y 84 ZONA 1 BARRIO LA ESPERANZA,46058628,ZOILA LIGIA ELIZABETH MARTINEZ GUZMAN DE CARIAS,LIGIA ELIZABETH MARTINEZ GUZMAN,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),JALAPA
21-01-0264-44,21-01-1200,JALAPA,JALAPA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,2A. AV. FINAL FRENTE AL COMPLEJO DEPORTIVO,79224294,JORGE ADELINO PÉREZ UCELO,ZOILA LIGIA MARTÍNEZ GUZMÁN,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JALAPA
21-01-0310-44,21-004,JALAPA,JALAPA,"COLEGIO PARTICULAR MIXTO LICEO ""NUEVO MILENIO""","1A. CALLE ""A"" ZONA 3 RESIDENCIALES NUEVA JERUSALEN, BARRIO EL PORVENIR",79222186,VICTOR MANUEL PORTILLO RECINOS,NILSA MAGALY CODERO GUDIEL DE SALAZAR,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,JALAPA
