0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
22-01-0001-42,22-01-1225,JUTIAPA,JUTIAPA,EODP EUSEBIA AUCEDA VDA.DE PADILLA,"3A. AVENIDA 3-24 ZONA 3, BARRIO LA TERMINAL",33207127,CECILIA ISABEL ALDECOA CASASOLA,ENEYDA JULISSA QUINTANA MONZÓN,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0002-42,22-01-1221,JUTIAPA,JUTIAPA,EODP,BARRIO EL CONDOR,78443473,SHAROL VANESA PÉREZ VEGA DE SOTO,ALICIA ARGENTINA MARTÍNEZ RAMÍREZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0003-42,22-01-1224,JUTIAPA,JUTIAPA,LICEO 'JUTIAPA',4A. CALLE 1-53 ZONA 1,78441008,ENMA ONDINA RIOS GONZALEZ DE CONTRERAS,MAYRA LISETH HERNÁNDEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0004-42,22-01-1224,JUTIAPA,JUTIAPA,EODP ANEXA A EOUM LORENZO MONTUFAR,5A. CALLE 4-71 ZONA 1,78441846,ENMA ONDINA RIOS GONZALEZ DE CONTRERAS,BESSI JULISSA BARRERA LUCERO,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0005-42,22-001,JUTIAPA,JUTIAPA,COLEGIO 'TECNICO PROFESIONAL SAN CRISTOBAL',7A. CALLE 5-30 ZONA 1 BARRIO LATINO,78591186,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0006-42,22-01-1221,JUTIAPA,JUTIAPA,COLEGIO PARTICULAR MIXTO SAN MIGUEL,2A. CALLE 5-98 ZONA 3,77270508,SHAROL VANESA PÉREZ VEGA DE SOTO,JEOSELIN MARÍA TEJADA RECINOS,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0007-42,22-01-1221,JUTIAPA,JUTIAPA,COLEGIO EVANGELICO VIDA NUEVA,ENTRADA AL COMPLEJO EDUCATIVO 0-16 BARRIO EL CONDOR ZONA 3,78441907,SHAROL VANESA PÉREZ VEGA DE SOTO,OLIMPIA BEATRIZ SALGUERO TREJO,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0011-42,22-01-1224,JUTIAPA,JUTIAPA,INSTITUTO TECNOLOGICO BILINGUE,9A. AVE. 7-59 ZONA 1,78442338,ENMA ONDINA RIOS GONZALEZ DE CONTRERAS,MARÍA ANGELINA LÓPEZ CASTELLANOS,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0057-42,,JUTIAPA,JUTIAPA,EODP,ALDEA RIO DE LA VIRGEN,,,,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
