0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
22-01-0012-43,22-01-1221,JUTIAPA,JUTIAPA,EOUV TIPO FEDERACION SALOMON CARRILLO RAMIREZ,BARRIO LA FEDERAL,30043013,SHAROL VANESA PÉREZ VEGA DE SOTO,RODOLFO EDUARDO ALAY,PRIMARIA,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0023-43,22-01-1224,JUTIAPA,JUTIAPA,EOUV LORENZO MONTUFAR,"5A. CALLE 4-61, ZONA 1",56978714,ENMA ONDINA RIOS GONZALEZ DE CONTRERAS,ADELINA PAIZ ALAY,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0024-43,22-01-1224,JUTIAPA,JUTIAPA,'LICEO JUTIAPA',4A. CALLE 1-53 ZONA 1,78441008,ENMA ONDINA RIOS GONZALEZ DE CONTRERAS,YURI GILDARDO HERNÁNDEZ ESTRADA,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0025-43,22-01-1221,JUTIAPA,JUTIAPA,EOUM,BARRIO EL CONDOR,78443473,SHAROL VANESA PÉREZ VEGA DE SOTO,SANDRA DINORA POLANCO SALGUERO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0026-43,22-01-1221,JUTIAPA,JUTIAPA,EOUM TIPO FEDERACION SALOMON CARRILLO RAMIREZ,BARRIO LA FEDERAL,49131877,SHAROL VANESA PÉREZ VEGA DE SOTO,YENI OLANDA ORDOÑEZ GUDIEL,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0027-43,22-01-1224,JUTIAPA,JUTIAPA,EOUN LORENZO MONTUFAR,"5A. CALLE 4-61, ZONA 1",78441846,ENMA ONDINA RIOS GONZALEZ DE CONTRERAS,JULIO ANTONIO SALGUERO SANDOVAL,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0028-43,22-001,JUTIAPA,JUTIAPA,COLEGIO 'TECNICO PROFESIONAL SAN CRISTOBAL',7A. CALLE 5-30 ZONA 1 BARRIO LATINO,78591186,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,,PRIMARIA,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0029-43,22-01-1221,JUTIAPA,JUTIAPA,COLEGIO EVANGELICO VIDA NUEVA,"ENTRADA AL COMPLEJO EDUCATIVO 0-16, ZONA 3",78441907,SHAROL VANESA PÉREZ VEGA DE SOTO,OLIMPIA BEATRIZ SALGUERO TREJO,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0030-43,22-01-1221,JUTIAPA,JUTIAPA,COLEGIO PARTICULAR MIXTO SAN MIGUEL,2A. CALLE 5-98 ZONA 3,77270508,SHAROL VANESA PÉREZ VEGA DE SOTO,LINDA MARILYN ZECEÑA GARCÍA,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0033-43,22-01-1220,JUTIAPA,JUTIAPA,EORM,ALDEA LOS APANTES,55335778,RONY ESTUARDO SANDOVAL MEDINA,KAREN ELENA RAMOS RAMÍREZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0034-43,22-01-1226,JUTIAPA,JUTIAPA,EORM,"CASERIO MAL PASO, CANTON SAN MARCOS",,REMBERTO RECINOS SARCEÑO,EDRAS JACOB HERNÁNDEZ SALGUERO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0035-43,22-01-1219,JUTIAPA,JUTIAPA,EORM,"CASERIO ANIMAS, ALDEA SAN ANTONIO",58624138,MARCO TULIO CASTILLO MELGAR,MAEGLYN MERARY MONZÓN LÓPEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0036-43,22-01-1218,JUTIAPA,JUTIAPA,EORM,ALDEA JICARO GRANDE,54672131,EMMANUEL MONZÓN HERRERA,JUAN MANUEL CÁMBARA Y CÁMBARA,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0037-43,22-006,JUTIAPA,JUTIAPA,EORM,"CASERIO SAN FRANCISCO, CANTON LA MAJADA",,RONY ESTUARDO SANDOVAL MEDINA,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0038-43,22-01-1226,JUTIAPA,JUTIAPA,EORM,ALDEA ESTORAQUE CANTON SAN MARCOS,48525538,REMBERTO RECINOS SARCEÑO,ANTONIA ISABEL HURTADO CORADO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0039-43,22-01-1223,JUTIAPA,JUTIAPA,EORM,"CASERIO LOS COMUNES, CANTON EL PEÑON",31712433,EDGAR ARNULFO GONZÁLEZ GUDIEL,ARACELY ADALY BARRERA OCHOA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0040-43,22-01-1225,JUTIAPA,JUTIAPA,EORM,"ALDEA EL TABLON, CANTON SAN ANTONIO",50086404,CECILIA ISABEL ALDECOA CASASOLA,SHARON ROSINES MOREIRA MELLADO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0041-43,22-01-1219,JUTIAPA,JUTIAPA,EORM SARA DE LA HOZ DE MENDEZ MONTENEGRO,ALDEA CERRO GORDO,,MARCO TULIO CASTILLO MELGAR,GLORIA YANIRA VALLADARES BARRERA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0042-43,22-01-1220,JUTIAPA,JUTIAPA,EORM,"CASERIO LA VEGA, CANTON SAN PABLO",58227269,RONY ESTUARDO SANDOVAL MEDINA,JORGE JUAN CASTILLO SARAVIA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
