0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
17-01-0033-45,,PETEN,FLORES,IPMB 'BETHESDA',"4A. CALLE 'A' 6-34, ZONA 1, SANTA ELENA",,,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0034-45,17-01-1025,PETEN,FLORES,CENTRO EDUCATIVO PETEN (CEP),BARRIO SANTA ELENA,42509151,LILIN MELISA HERRERA ORREGO,KARLA YAMILETH NÁJERA ARIAS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0035-45,,PETEN,FLORES,IPMB INSTITUTO PARTICULAR MIXTO NOCTURNO 'DIEGO AMERICO CETINO PACHECO',BARRIO SANTA ELENA,,,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),PETÉN
17-01-0036-45,17-001,PETEN,FLORES,INSTITUTO MIXTO LA PARROQUIA,BARRIO SANTA ELENA DE LA CRUZ,79261540,LILIN MELISA HERRERA ORREGO,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0037-45,17-01-1025,PETEN,FLORES,INEBE ADSCRITO ESCUELA NORMAL RURAL NO. 5 JULIO E. ROSADO PINELO,SANTA ELENA,78425736,LILIN MELISA HERRERA ORREGO,ROSA MARÍA GÓNGORA LÓPEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0039-45,,PETEN,FLORES,IPMB 'CIENCIAS COMERCIALES' Y ACADEMIA ANEXA,BARRIO SANTA ELENA,,,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),PETÉN
17-01-0055-45,17-030,PETEN,FLORES,INSTITUTO MIXTO DE EDUCACION FUNDAMENTAL -IMEF-,"4A. AVENIDA 3A. CALLE, ZONA 2, SANTA ELENA DE LA CRUZ",41118747,RODOLFO MEDINA,ESTHER NOEMI PINELO RAMÍREZ,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,PETÉN
17-01-0057-45,17-001,PETEN,FLORES,"LICEO PETENERO EN CIENCIAS ADMINISTRATIVAS, RECURSOS NATURALES Y TURISMO","CALLE LIMITE, FRENTE A ORGANISMO JUDICIAL, A UN COSTADO DE LOS DERECHOS HUMANOS",79261560,LILIN MELISA HERRERA ORREGO,ERWIN AUGUSTO LÓPEZ Y LÓPEZ,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0059-45,17-01-1025,PETEN,FLORES,INEB,"5TA.AV.5-50-ZONA 2 SANTA ELENA,",30409277,LILIN MELISA HERRERA ORREGO,OSCAR RANDOLFO LOPEZ CORDOVA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0061-45,17-01-1026,PETEN,FLORES,INEB DE TELESECUNDARIA,CASERIO EL PORVENIR,30324828,BRAULIO AMILCAR CHÁN TESUCÚN,GLENDA MILITZA ALDANA GÓMEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0062-45,17-01-1026,PETEN,FLORES,INEB DE TELESECUNDARIA,ALDEA MACANCHE,54935503,BRAULIO AMILCAR CHÁN TESUCÚN,GLENDA YANIRA TUN SALAS,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0063-45,17-001,PETEN,FLORES,INEB DE TELESECUNDARIA,ALDEA EL CAOBA,42113664,LILIN MELISA HERRERA ORREGO,MAGDALENA BETZEY RIVERA GARCIA,BASICO,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0069-45,17-001,PETEN,FLORES,"CENTRO EDUCATIVO INTEGRAL ""PAULO FREIRE""",ZONA 2,79264648,LILIN MELISA HERRERA ORREGO,EFREN PORTILLO,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0071-45,17-001,PETEN,FLORES,INEB DE TELESECUNDARIA,"CENTRO DE DETENCION DEPARTAMENTAL, BARRIO LA GRANJA",,LILIN MELISA HERRERA ORREGO,ERICK EMILTON LIMA CATALAN,BASICO,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0072-45,17-01-1026,PETEN,FLORES,INEB DE TELESECUNDARIA,CASERIO LA MAQUINA,45004102,BRAULIO AMILCAR CHÁN TESUCÚN,MILTON OTTONIEL VALDEZ OLIVARES,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
