0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
17-01-0001-42,17-01-1025,PETEN,FLORES,EODP ZOILA ESPERANZA PUGA DE JIMENEZ,SANTA ELENA DE LA CRUZ,54163564,LILIN MELISA HERRERA ORREGO,OLGA ARELY OCHAETA VIDAL,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0002-42,17-01-1025,PETEN,FLORES,EODP AIDA VADILLO DE PINELO,CIUDAD FLORES,55362417,LILIN MELISA HERRERA ORREGO,VIVIAN ROXANA MATTA BERGES,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0003-42,,PETEN,FLORES,COLEGIO DE PARVULOS SANTO DOMINGO,BARRIO SANTA ELENA,79260250,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0006-42,17-01-1025,PETEN,FLORES,EODP JOSE BENITEZ GOMEZ,SANTA ELENA,41050501,LILIN MELISA HERRERA ORREGO,DORI MARLENY ORTIZ RUIZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0008-42,17-01-1026,PETEN,FLORES,"EODP ""MAESTRA NEYDI MARISOL CAMBRANES BURGOS DE GOMEZ""",ALDEA PAXCAMAN,41867524,BRAULIO AMILCAR CHÁN TESUCÚN,MILFRED GISELA FERNÁNDEZ OCHAETA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0010-42,17-01-1025,PETEN,FLORES,EODP,ALDEA SAN MIGUEL,42937377,LILIN MELISA HERRERA ORREGO,DORIS MARIELA ROMERO MAS,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0030-42,17-01-1025,PETEN,FLORES,EODP,"13 AVENIDA 2-47 ZONA 2, TERCERA LOTIFICACION SANTA ELENA",55347614,LILIN MELISA HERRERA ORREGO,MARIA DE LOS ANGELES ORTIZ MONZÓN,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0040-42,17-01-1025,PETEN,FLORES,EODP,"COLONIA MORALES, SANTA ELENA DE LA CRUZ",41390033,LILIN MELISA HERRERA ORREGO,SILPY MAYTEE MORALES PEREZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0041-42,17-01-1025,PETEN,FLORES,EODP,BARRIO SEGUNDA LOTIFICACION,,LILIN MELISA HERRERA ORREGO,DILSY VIRGINIA SIN GONZALEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0042-42,17-01-1026,PETEN,FLORES,EODP,CASERIO AGUADAS NUEVAS,,BRAULIO AMILCAR CHÁN TESUCÚN,VIRGINIA RUDITH CHOC CHABLE,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0043-42,17-01-1025,PETEN,FLORES,EODP,"BARRIO LA GRANJA, SANTA ELENA",37206276,LILIN MELISA HERRERA ORREGO,MARTA LIDIA GARCÍA VÁSQUEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0044-42,17-01-1026,PETEN,FLORES,EODP,BARRIO BUENA VISTA COMUNIDAD EL NARANJO,,BRAULIO AMILCAR CHÁN TESUCÚN,ELIZABETH LUCERO GAMBOA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0066-42,17-01-1025,PETEN,FLORES,EODP ANEXA A EORM,CASERIO EL ARROZAL,41202352,LILIN MELISA HERRERA ORREGO,GERMAN FERNANDO PAREDES SIS,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0067-42,17-001,PETEN,FLORES,EODP ANEXA A EORM,"COLONIA EL BOSQUE, SANTA ELENA",,LILIN MELISA HERRERA ORREGO,-,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0068-42,17-01-1026,PETEN,FLORES,EODP ANEXA A EORM,ALDEA LOS TULIPANES,,BRAULIO AMILCAR CHÁN TESUCÚN,EMIGDIO RAMON ZETINA CANEK,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0074-42,17-001,PETEN,FLORES,"LICEO INTEGRAL ""NUEVA GENERACION""","3RA. LOTIFICACION, SANA ELENA DE LA CRUZ",58008391,LILIN MELISA HERRERA ORREGO,OLGA ARELY OCHAETA VIDAL,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0079-42,17-01-1026,PETEN,FLORES,EODP ANEXA A EORM,CASERIO EL LIMON,47846118,BRAULIO AMILCAR CHÁN TESUCÚN,JESÚS MAQUÍN CHOC,PARVULOS,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0084-42,,PETEN,FLORES,COLEGIO INTEGRADO DE EDUCACION PROFESIONAL DE PETEN (CIEPP),ALDEA IXLU,78215568,,ELVIRA ARGENTINA PAZ TUN,PARVULOS,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0088-42,17-01-1025,PETEN,FLORES,ESCUELA OFICIAL DE EDUCACION ESPECIAL SEMILLITAS DE ESPERANZA,"4A. AVENIDA Y 6A. CALLE ZONA 2, SANTA ELENA DE LA CRUZ",54600173,LILIN MELISA HERRERA ORREGO,ELIZABETH SANTIZO GABRIEL,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0089-42,17-01-1025,PETEN,FLORES,COLEGIO CRISTIANO EL-HASHAMAYIM,"7A. AVENIDA 1-65 ZONA 2, SANTA ELENA DE LA CRUZ",54196381,LILIN MELISA HERRERA ORREGO,ELMA ELIZABETH CATALÁN NAVARRO,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0103-42,17-002,PETEN,FLORES,LICEO MODERNO EN COMPUTACION -LIMCO-,"CALZADA RODRIGUEZ MACAL, 6-40 ZONA 2",79261015,LILIA SAUDITA SUNTECUN CHAN,NERY GUILBERTO RALDA MALDONADO,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0108-42,17-01-1026,PETEN,FLORES,EODP,CASERÍO EL TRIUNFO DE LA ESPERANZA,47423985,BRAULIO AMILCAR CHÁN TESUCÚN,PATRICIA MARIELA PINELO PECHE,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0111-42,17-01-1025,PETEN,FLORES,CENTRO EDUCATIVO INTEGRAL -CEI-,"2A. AVENIDA B, ZONA 2, PRIMERA LOTIFICACION, SANTA ELENA DE LA CRUZ",79261634,LILIN MELISA HERRERA ORREGO,SOLSIRIS ANGELITA ORELLANA MANZANERO,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0114-42,17-002,PETEN,FLORES,"LICEO CRISTIANO ""CAMINO BÌBLICO""","1A. AVENIDA ""A"" ZONA 1, CALZADA RODRIGUEZ MACAL, SANTA ELENA DE LA CRUZ.",43178926,LILIA SAUDITA SUNTECUN CHAN,NELI ACOSTA ZAC,PARVULOS,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
