0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
17-01-0005-43,17-01-1025,PETEN,FLORES,"EOUM ""J MIGUEL CASTELLANOS PACHECO""",PETEN,41766829,LILIN MELISA HERRERA ORREGO,JUAN CARLOS GONZÁLEZ VÁSQUEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0006-43,17-01-1025,PETEN,FLORES,"EOUM JM, TIPO FEDERACION ""JOSE BENITEZ GOMEZ""",ALDEA SANTA ELENA DE LA CRUZ,30349645,LILIN MELISA HERRERA ORREGO,ALICIA BEATRIZ GONGORA INECO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0007-43,17-002,PETEN,FLORES,EORM,ALDEA BAJO DEL VENADO,,LILIA SAUDITA SUNTECUN CHAN,,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0008-43,17-01-1026,PETEN,FLORES,EORM PROFESOR JUAN CONCEPCION ARELLANO MARIN,ALDEA PAXCAMAN,30382509,BRAULIO AMILCAR CHÁN TESUCÚN,AMPARO ESTHER SALAZAR COJÓN,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0009-43,17-01-1026,PETEN,FLORES,EORM,ALDEA EL NARANJO,,BRAULIO AMILCAR CHÁN TESUCÚN,ROSA PATRICIA GALDAMEZ ROSADO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0010-43,17-01-1025,PETEN,FLORES,EORM 'CESARIO CETINA',ALDEA SAN MIGUEL,54821637,LILIN MELISA HERRERA ORREGO,NIDIA CARMENCITA DE LUCAS TUN,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0011-43,17-01-1026,PETEN,FLORES,EORM,CASERIO ALTAMIRA,56987867,BRAULIO AMILCAR CHÁN TESUCÚN,LUZ MARIA MATUS PENADOS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0012-43,17-01-1026,PETEN,FLORES,EORM,ALDEA SOCOTZAL,47231797,BRAULIO AMILCAR CHÁN TESUCÚN,ESDRAS ABDIAS BATÚN SANDOVAL,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0013-43,17-01-1025,PETEN,FLORES,EOUM MARTA ROSA MORALES CETINA,ALDEA SANTA ELENA,54755203,LILIN MELISA HERRERA ORREGO,ARACELY MARICARMEN ARELLANO LÓPEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0014-43,17-01-1026,PETEN,FLORES,EORM,ALDEA EL ZAPOTE,56121609,BRAULIO AMILCAR CHÁN TESUCÚN,MARVIN MARCONNY LOPEZ OVANDO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0015-43,17-01-1026,PETEN,FLORES,EORM,ALDEA EL REMATE,46097474,BRAULIO AMILCAR CHÁN TESUCÚN,ANGELA SUSANA GÓMEZ HERRERA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
