0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
14-01-0077-45,14-01-0798,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO ADOLFO V. HALL,"KILOMETRO 161 ENTRADA A SANTA CRUZ DEL QUICHE, ANTIGUA ZONA MILITAR",31099099,JOSÉ OSCAR TIPÁZ VELÁSQUEZ,ARAM ALBERT JORDÁN SANDOVAL,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0078-45,14-01-0805,QUICHE,SANTA CRUZ DEL QUICHE,'LICEO CRISTIANO SINAI',"CASA FINAL, COLONIA GUMARCAAJ",77551805,JOSE ANGEL MORALES MATZAR,RICARDO ADOLFO LAYNES GÓMEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
14-01-0079-45,14-01-0798,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO EVANGELICO METODISTA UTATLAN,"4A CALLE Y 6A 6-12, ZONA 5",77551551,JOSÉ OSCAR TIPÁZ VELÁSQUEZ,LUIS HUMBERTO ECHEVERRÍA GIL,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),QUICHÉ
14-01-0080-45,14-036,QUICHE,SANTA CRUZ DEL QUICHE,'LICEO MIXTO QUICHE',"2A. AVENIDA 6-27, ZONA 5",77551705,JORGE HUMBERTO MOTTA CANO,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUICHÉ
14-01-0081-45,14-01-0801,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO NACIONAL DE EDUCACION BASICA POR COOPERATIVA,8A CALLE 2-12 ZONA 2,38275539,JORGE HUMBERTO MOTTA CANO,HEMBER ROBERTO HERRERA GIRON,BASICO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUICHÉ
14-01-0082-45,14-036,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO MIXTO NOCTURNO DE EDUCACION BASICA 'EL ESFUERZO',"3A. AV. 10-07, ZONA 1",77550612,JORGE HUMBERTO MOTTA CANO,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUICHÉ
14-01-0083-45,14-01-0798,QUICHE,SANTA CRUZ DEL QUICHE,"INEBE ""FRAY FRANCISCO JIMENEZ""",5A AVE. 7A CALLE ZONA 5,77563540,JOSÉ OSCAR TIPÁZ VELÁSQUEZ,MARIA LUISA NATARENO GARCIA,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0084-45,,QUICHE,SANTA CRUZ DEL QUICHE,IPMB COLEGIO PARROQUIAL 'SANTA CRUZ',6A CALLE 3-22 ZONA 5,,,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
14-01-0086-45,14-002,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO DE EDUCACION BASICA POR COOPERATIVA DE ENSEÑANZA,ALDEA LA ESTANCIA,,CANDELARIO ORDOÑEZ REINOSO,----,BASICO,COOPERATIVA,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
