0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
14-01-0015-42,14-01-0798,QUICHE,SANTA CRUZ DEL QUICHE,EODP 'MARIA MONTESSORI',2A. AVENIDA 7-06 ZONA 5,58695641,JOSÉ OSCAR TIPÁZ VELÁSQUEZ,YÉSSIKA ANNABY LÉMUS GUTIERREZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0016-42,14-01-0798,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO EVANGELICO METODISTA UTATLAN,"4A CALLE Y 6-12,ZONA 5",77551551,JOSÉ OSCAR TIPÁZ VELÁSQUEZ,LUIS HUMBERTO ECHEVERRÍA GIL,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0017-42,14-01-0801,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO ADVENTISTA DR. BRAULIO PEREZ MARCIO,6A. AVE. 0-66 ZONA 1,77551760,JORGE HUMBERTO MOTTA CANO,MAYDELINE JOCABED GIRÓN PÉREZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0018-42,,QUICHE,SANTA CRUZ DEL QUICHE,EPDP ANEXA A COLEGIO PARROQUIAL 'SANTA CRUZ',6A CALLE Y 3A Y 4A. AVE. ZONA 5,,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0019-42,14-01-0805,QUICHE,SANTA CRUZ DEL QUICHE,LICEO CRISTIANO SINAI,"CASA FINAL,COLONIA GUMARCAAJ",77551805,JOSE ANGEL MORALES MATZAR,DINA ESTHER BARRENO VICENTE,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0092-42,14-01-0800,QUICHE,SANTA CRUZ DEL QUICHE,EODP ANEXA A EORM,CASERÍO CHICABRACAN SEGUNDO,58751851,ELMER ROLANDO REVOLORIO MARROQUÌN,ALICIA ESTER LUX PIXCAR,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0093-42,14-01-0801,QUICHE,SANTA CRUZ DEL QUICHE,EODP,COMUNIDAD LOS CHORECALES,51538997,JORGE HUMBERTO MOTTA CANO,MARÍA EUGENIA MORALES IXCHOP,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0116-42,14-01-0798,QUICHE,SANTA CRUZ DEL QUICHE,EODP ANEXA A EOUM NUESTRA SEÑORA DEL ROSARIO,"11 CALLE 7-15, ZONA 5",42812833,JOSÉ OSCAR TIPÁZ VELÁSQUEZ,MATEA EUGENIA CABRERA VICENTE,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0117-42,14-002,QUICHE,SANTA CRUZ DEL QUICHE,EODP ANEXA A EORM,CANTON CHICABRACAN SEGUNDO CENTRO,,CANDELARIO ORDOÑEZ REINOSO,---,PARVULOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0118-42,14-01-0799,QUICHE,SANTA CRUZ DEL QUICHE,EODP ANEXA A EORM,"CASERIO CERRO LA LABOR, CHOACAMAN CUARTO CENTRO",58081214,CANDELARIO ORDOÑEZ REINOSO,LOIDA CARINA GONZÁLEZ TZOC,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0119-42,14-01-0803,QUICHE,SANTA CRUZ DEL QUICHE,EODP ANEXA A EORM,CASERIO EL ARENAL,59733004,CARLOS ARMANDO HERNÁNDEZ OSORIO,PAULA NOA SIMEON BULUX,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0120-42,14-01-0799,QUICHE,SANTA CRUZ DEL QUICHE,EODP ANEXA A EORM,CANTON XESIC CUATRO CENTRO,49978093,CANDELARIO ORDOÑEZ REINOSO,HILARY BETZABÉ AGUILAR LÓPEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0121-42,14-01-0801,QUICHE,SANTA CRUZ DEL QUICHE,EODP ANEXA A EORM,CANTON PANAJXIT III,47698373,JORGE HUMBERTO MOTTA CANO,SALVADOR MORALES LÓPEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0122-42,14-01-0801,QUICHE,SANTA CRUZ DEL QUICHE,EODP ANEXA A EORM,CASERÍO CHICORRAL,56278388,JORGE HUMBERTO MOTTA CANO,ANGEL ENRIQUE GIRÓN VALDEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0123-42,14-01-0802,QUICHE,SANTA CRUZ DEL QUICHE,EODP ANEXA A EORM,CANTON LA COMUNIDAD,47498696,JEFFREY GEORGE CALVA LOARCA,LUIS ANTONIO SIMIÓN BULUX,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0124-42,14-01-0801,QUICHE,SANTA CRUZ DEL QUICHE,EODP ANEXA A EORM,CANTON PANAJXIT I,47352355,JORGE HUMBERTO MOTTA CANO,ENRIQUE MIGUEL ANGEL PÉREZ DAMIÁN,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0125-42,14-01-0802,QUICHE,SANTA CRUZ DEL QUICHE,EODP ANEXA A EORM,"CASERIIO SUALCHOJ, ALDEA LA ESTANCIA",54677205,JEFFREY GEORGE CALVA LOARCA,RITA CHÁVEZ LUX,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0126-42,14-038,QUICHE,SANTA CRUZ DEL QUICHE,EODP ANEXA A EORM,CANTON PAMESEBAL I,,CARLOS ARMANDO HERNANDEZ OSORIO,---,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
