0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
14-01-0021-43,14-01-0804,QUICHE,SANTA CRUZ DEL QUICHE,EORM,ALDEA CHUJUYUB,42240558,WALTER IGNACIO GIL GÓMEZ,OLGA MARISOL ARGUETA RODRÍGUEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0022-43,14-01-0803,QUICHE,SANTA CRUZ DEL QUICHE,EORM,ALDEA SANTA ROSA CHUJUYUB,53495032,CARLOS ARMANDO HERNÁNDEZ OSORIO,JUAN CARLOS LEÓN VELÁSQUEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0023-43,14-01-0804,QUICHE,SANTA CRUZ DEL QUICHE,EORM,"CANTON XETINAMIT, ALDEA SANTA ROSA CHUJUYUB",40714580,WALTER IGNACIO GIL GÓMEZ,SANTOS MAURA CHACAJ VELASQUEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0024-43,14-01-0802,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CANTON PACHO ALDEA LEMOA,42567716,JEFFREY GEORGE CALVA LOARCA,ALVARO ARMANDO CHACAJ CHACAJ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0025-43,14-01-0799,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CANTON XESIC I,50504912,CANDELARIO ORDOÑEZ REINOSO,ELISA MARLENY MEDRANO QUIRÓA,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0026-43,14-01-0802,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CASERÍO XATINAP PRIMERO,47566846,JEFFREY GEORGE CALVA LOARCA,CIRIACO CECILIO SIMEÓN BULUX,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0027-43,14-01-0802,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CANTON XATINAP III,50022726,JEFFREY GEORGE CALVA LOARCA,JAKELINE ROSÍO LÓPEZ PINEDA,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0028-43,14-01-0804,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CANTON PACHOJ ALDEA SANTA ROSA CHUJUYUB,41352325,WALTER IGNACIO GIL GÓMEZ,DÁMARIS AZUCENA ALACÁN GAMARRO,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0029-43,14-01-0802,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CANTON XATINAP NO.4,,JEFFREY GEORGE CALVA LOARCA,MANUELA LÓPEZ LAYNEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
