0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
11-01-0001-42,11-01-0517,RETALHULEU,RETALHULEU,EODP SOLEDAD AYAU,"8A. CALLE 0-80 COLONIA CONCEPCION, ZONA 3",45832022,ALBA YADIRA MONTEJOS MARTINEZ DE ESPINOZA,KARIN YESENIA DE LEÓN MALDONADO,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0002-42,11-01-0514,RETALHULEU,RETALHULEU,EODP JORGE HORACIO ALEJOS C.,RUTA 6-W BARRIO MONTERREY ZONA 4,30436937,CONCEPCION ANGELICA DEL CID JUAREZ,DULCE MARÍA DE LEÓN MORALES,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0003-42,,RETALHULEU,RETALHULEU,EODP DEL CENTRO BIENESTAR SOCIAL,TERMINAL DE BUSES,,,,PARVULOS,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0004-42,11-01-0519,RETALHULEU,RETALHULEU,COLEGIO EVANGELICO MIXTO SINAI,"5A. CALLE, INGRESO A LA COLONIA EL PEDREGAL I, ZONA 6",77715189,MARIO RENE RIVERA ARGUETA,CINDY MARIELA CIFUENTES QUIEJ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0005-42,11-003,RETALHULEU,RETALHULEU,EODP ALDEA INFANTIL S.O.S. 'LUISA SIMHUBER',FINCA LAS MARGARITAS,77710030,ROSELVA SOFIA OVALLE BARRIOS,,PARVULOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0006-42,11-01-0524,RETALHULEU,RETALHULEU,EODP ANEXA A EORM,SECTOR LA MONTAÑA PARCELAMIENTO CABALLO BLANCO,56215395,JAQUELINE FERNANDA VELÁSQUEZ MAZARIEGOS,MARLON IVAN PÉREZ PAZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0021-42,11-01-0524,RETALHULEU,RETALHULEU,EODP ANEXA A EORM NO.1,CENTRO URBANO PARCELAMIENTO CABALLO BLANCO,41426961,JAQUELINE FERNANDA VELÁSQUEZ MAZARIEGOS,MARÍA LISBETH RODRÍGUEZ GIL,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0022-42,11-01-0514,RETALHULEU,RETALHULEU,COLEGIO PRIVADO URBANO MIXTO MONTERREY,4A CALLE 10-39 ZONA 4 RESIDENCIALES ANA LUCIA,77712837,CONCEPCION ANGELICA DEL CID JUAREZ,ZOILA VERÓNICA ESPINOZA MACHIC,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0023-42,11-01-0518,RETALHULEU,RETALHULEU,COLEGIO PARTICULAR MIXTO D ANTONI,2A. CALLE 3-02 ZONA 5 COLONIA MARIA TERESA,77710562,ROSELVA SOFIA OVALLE BARRIOS,LUDIM CELESTINA MÉNDEZ PÚ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
