0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
11-01-0007-43,11-01-0525,RETALHULEU,RETALHULEU,ESCUELA PRIVADA RURAL MIXTA,HACIENDA SAN JUAN ZAPOTE,30764182,MIGUEL ANGEL ARMAS ROCHA,MIRTALA ANNABELLA LOPEZ VALLE,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0008-43,11-01-0516,RETALHULEU,RETALHULEU,EOUM DE APLICACION,"4A. AVENIDA A PROLONGACION, ZONA 4",55109524,MARILYN ISABEL INESTROZA DURÓN,JOSÉ DAMIÁN RAMÍREZ ESTUPE,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),RETALHULEU
11-01-0009-43,11-01-0513,RETALHULEU,RETALHULEU,EOUM TIPO FEDERACION RUBEN VILLAGRAN PAUL,CALZADA LAS PALMAS ZONA 2,53280234,JULIO CESAR HERRERA ROLDAN,ELDA AMARILIS FLORES CIFUENTES,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0010-43,11-01-0518,RETALHULEU,RETALHULEU,EOUM,5A. CALLE 8-20 ZONA 1,77716717,ROSELVA SOFIA OVALLE BARRIOS,ANA MERCEDES MINERA MONZÓN,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),RETALHULEU
11-01-0011-43,11-01-0516,RETALHULEU,RETALHULEU,EOUM DE APLICACION,"4 AV. A PROLONGACION, ZONA 4",55545922,MARILYN ISABEL INESTROZA DURÓN,YARVISS REBECA CASTAÑÓN RAMÍREZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0012-43,11-01-0514,RETALHULEU,RETALHULEU,EOUM MONTERREY,13 AVENIDA 1-36 ZONA 4,54996731,CONCEPCION ANGELICA DEL CID JUAREZ,VILMA JOSEFA ARTOLA OBISPO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0013-43,11-01-0518,RETALHULEU,RETALHULEU,COLEGIO PARTICULAR MIXTO D ANTONI,"2A. CALLE 3-02 ZONA 5, COLONIA MARIA TERESA",77710562,ROSELVA SOFIA OVALLE BARRIOS,LUDIM CELESTINA MÉNDEZ PÚ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0014-43,11-01-0519,RETALHULEU,RETALHULEU,COLEGIO EVANGELICO MIXTO SINAI,"5A. CALLE, INGRESO A LA COLONIA EL PEDREGAL I, ZONA 6",77715189,MARIO RENE RIVERA ARGUETA,CINDY MARIELA CIFUENTES QUIEJ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0015-43,11-01-0517,RETALHULEU,RETALHULEU,COLEGIO MIXTO 'LICEO RETALTECO',3ERA AVENIDA 6-49 ZONA 1,77710580,ALBA YADIRA MONTEJOS MARTINEZ DE ESPINOZA,JORGE FELIX VÁSQUEZ ORDOÑEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0017-43,11-01-0518,RETALHULEU,RETALHULEU,COLEGIO MIXTO RETALHULEU,6A. AVENIDA 3-40 ZONA 1,55682677,ROSELVA SOFIA OVALLE BARRIOS,LILIAN ELBA CASTILLO ESCOBAR,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0018-43,11-017,RETALHULEU,RETALHULEU,LICEO DE SECRETARIADO BILINGUE 'LISBI',11 CALLE 5-01 ZONA 2,77712312,MIGUEL ANGEL ARMAS ROCHA,,PRIMARIA,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0019-43,,RETALHULEU,RETALHULEU,EPRM,HACIENDA SANTA ELENA,,,,PRIMARIA,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0020-43,,RETALHULEU,RETALHULEU,EDAC -PRONADE-,FINCA LAS DELICIAS,,,,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0028-43,11-01-0513,RETALHULEU,RETALHULEU,COLEGIO BILINGUE 'PARAISO',"LOTIFICACION EL PRADO, LOTES 16 Y 18 ZONA 2",77713963,JULIO CESAR HERRERA ROLDAN,JORGE ROBERTO ARREAGA PAZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0029-43,,RETALHULEU,RETALHULEU,EPRM,HACIENDA CASA BLANCA,,,,PRIMARIA,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0030-43,11-01-0524,RETALHULEU,RETALHULEU,EPRM,HACIENDA CATALUÑA PARCELAMIENTO CABALLO BLANCO,,JAQUELINE FERNANDA VELÁSQUEZ MAZARIEGOS,,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0031-43,11-01-0524,RETALHULEU,RETALHULEU,ESCUELA PRIVADA MIXTA,FINCA EL SILENCIO PARCELAMIENTO CABALLO BLANCO,30601916,JAQUELINE FERNANDA VELÁSQUEZ MAZARIEGOS,CARLOS MELECIO RODAS GÓMEZ,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0032-43,11-01-0524,RETALHULEU,RETALHULEU,EORM,"PARCELA NO.79, ZONA 6 PARCELAMIENTO CABALLO BLANCO",30256021,JAQUELINE FERNANDA VELÁSQUEZ MAZARIEGOS,HELEN ROXANA YAGUT GRIJALVA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0033-43,11-01-0524,RETALHULEU,RETALHULEU,EORM,COMUNIDAD AGRARIA VALLE LIRIO,47331256,JAQUELINE FERNANDA VELÁSQUEZ MAZARIEGOS,DORIAN DANILA DE LEÓN RIVAS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
