0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
11-01-0069-44,11-01-0518,RETALHULEU,RETALHULEU,EOPA,5A. CALLE 8-20 ZONA 1,41287417,ROSELVA SOFIA OVALLE BARRIOS,VERÓNICA IRACEMA ARGÜELLO SALAZAR,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),RETALHULEU
11-01-0179-44,11-01-0518,RETALHULEU,RETALHULEU,COLEGIO CENTRO EDUCATIVO RETALTECO DE FORMACION INTEGRAL CERFI,8A. AVENIDA 8-01 ZONA1,59842385,ROSELVA SOFIA OVALLE BARRIOS,JORGE LUIS DÍAZ DE LEÓN,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,RETALHULEU
11-01-0180-44,11-01-0517,RETALHULEU,RETALHULEU,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,4TA. AVENIDA A 3-03 ZONA 1,55172496,ALBA YADIRA MONTEJOS MARTINEZ DE ESPINOZA,MANUELA DE JESÚS VÁSQUEZ ELVIRA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,RETALHULEU
11-01-0181-44,11-01-0517,RETALHULEU,RETALHULEU,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,4TA. AVENIDA A 3-03 ZONA 1,56015429,ALBA YADIRA MONTEJOS MARTINEZ DE ESPINOZA,MANUELA DE JESUS VASQUEZ ELVIRA DE TELON,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),RETALHULEU
11-01-0182-44,11-01-0517,RETALHULEU,RETALHULEU,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,4TA. AVENIDA A 3-03 ZONA 1,56015429,ALBA YADIRA MONTEJOS MARTINEZ DE ESPINOZA,MANUELA DE JESUS VASQUEZ ELVIRA DE TELON,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,RETALHULEU
11-01-0367-44,,RETALHULEU,RETALHULEU,ESCUELA NOCTURNA DE ADULTOS,CANTON XULA,,,,PRIMARIA DE ADULTOS,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),RETALHULEU
11-01-1446-44,11-016,RETALHULEU,RETALHULEU,COLEGIO COSTA SUR,11 CALLE 5-52 ZONA 1,77716808,MARIO RENE RIVERA ARGUETA,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),RETALHULEU
11-02-0026-44,11-02-0526,RETALHULEU,SAN SEBASTIAN,EPPA CENTRO EDUCATIVO DE ESTUDIOS INTEGRADOS SAN SEBASTIAN CEEDISS,1A. AVENIDA XULA I,77713268,MARCO TULIO CALDERÓN ESTRADA,MELVIN RAFAEL REYES LÓPEZ,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,RETALHULEU
11-02-1225-44,11-02-0526,RETALHULEU,SAN SEBASTIAN,ESCUELA OFICIAL URBANA MIXTA PARA ADULTOS,CALLE CENTRAL CANTON PAOJ,55596325,MARCO TULIO CALDERÓN ESTRADA,STEVENN STEWART CASTAÑEDA OVANDO,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),RETALHULEU
