0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
03-01-0832-41,,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO 'TRIDENTINO',COLONIA SAN FRANCISCO NO.7,78322944,,,PREPRIMARIA BILINGUE,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-04-0015-41,03-04-0199,SACATEPEQUEZ,SUMPANGO,COPB ANEXO A EORM,"0 CALLE 4-20 ZONA 1, ALDEA RANCHO ALEGRE",52313751,MIRIAM VERÓNICA GIL QUISQUINAY,MARÍA SILVIA QUISQUE RAJPOP,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-04-0016-41,03-004,SACATEPEQUEZ,SUMPANGO,COPB ANEXO A EOUM NO. 2,"AVENIDA DEL NIÑO, ZONA 4",,MIRIAM VERONICA GIL QUISQUINAY,---,PREPRIMARIA BILINGUE,OFICIAL,URBANA,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-04-0017-41,03-004,SACATEPEQUEZ,SUMPANGO,COPB ANEXO A EORM,ALDEA EL REJON,,MIRIAM VERONICA GIL QUISQUINAY,---,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-04-0098-41,,SACATEPEQUEZ,SUMPANGO,COPB ANEXA A EOUM,SUMPANGO,,,,PREPRIMARIA BILINGUE,OFICIAL,URBANA,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-04-0099-41,03-04-0199,SACATEPEQUEZ,SUMPANGO,COPB ANEXA A EORM,1A. CALLE 2-01 ZONA 0 ALDEA SAN RAFAEL EL ARADO,34048265,MIRIAM VERÓNICA GIL QUISQUINAY,JUAN CARLOS CERNA SANTOS,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-04-0100-41,03-04-0199,SACATEPEQUEZ,SUMPANGO,COPB ANEXA A EORM,ALDEA EL REJON,42882260,MIRIAM VERÓNICA GIL QUISQUINAY,JUAN INOCENTE DE PAZ DÍAZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-04-0101-41,03-04-0199,SACATEPEQUEZ,SUMPANGO,COPB ANEXA A EORM,CERO AVENIDA 1-15 ZONA 2 SAN JOSE EL YALU,30225366,MIRIAM VERÓNICA GIL QUISQUINAY,KAREN SUCELY CALDERÓN OCEIDA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-04-0299-41,03-004,SACATEPEQUEZ,SUMPANGO,CENTRO EDUCATIVO KAJI NO J KAQCHIKEL,3A. CALLE 9-06 ZONA 4,58447506,MIRIAM VERONICA GIL QUISQUINAY,MARÍA CANDELARIA ACUAL CAY,PREPRIMARIA BILINGUE,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
