0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
03-01-0051-44,03-01-0194,SACATEPEQUEZ,ANTIGUA GUATEMALA,ESCUELA OFICIAL PARA ADULTOS OBREROS,CALLE DEL MANCHEN N-4,53955341,JUAN DEMETRIO SICAJOL PÉREZ,JOVA MATILDE MORALES CATALÁN,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SACATEPÉQUEZ
03-01-0114-44,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,6TA AVENIDA NORTE NO. 80,57473104,JUAN DEMETRIO SICAJOL PEREZ,MIRNA LIZETH MONTENGRO MEZA DE MARROQUIN,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,A DISTANCIA,SACATEPÉQUEZ
03-01-0115-44,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,6TA AVENIDA NORTE NO. 80,57473104,JUAN DEMETRIO SICAJOL PEREZ,MIRNA LIZETH MONTENGRO MEZA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),SACATEPÉQUEZ
03-01-0116-44,03-016,SACATEPEQUEZ,ANTIGUA GUATEMALA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,6TA. AVENIDA NORTE NO. 80,79311319,OSCAR OSWALDO SON CAMEZ,MIGUEL ANTONIO ALVAREZ SOLARES,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SACATEPÉQUEZ
03-01-0125-44,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO SANTO DOMINGO,CALLE CHIPILAPA NO. 11,78326854,ZOILA ESTHELA JONFE OROZCO,ELBA YECENIA SÁNCHEZ YOL,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SACATEPÉQUEZ
03-01-0191-44,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,LICEO POLITECNICO PEDAGOGICO ANTIGÜEÑO,BARRIO SAN LUQUITAS NO. 29,77954936,ZOILA ESTHELA JONFE OROZCO,INGRID LISBETH SOLORZANO SOLIS,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SACATEPÉQUEZ
03-01-0252-44,,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO PARTICULAR DE EDUCACION Y CULTURA (A DISTANCIA),7A. CALLE PONIENTE # 18,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),SACATEPÉQUEZ
03-01-0288-44,03-016,SACATEPEQUEZ,ANTIGUA GUATEMALA,ASOCIACION SUEÑOS,CALLE ANCHA DE LOS HERREROS CASA NO. 16 A,35833812,OSCAR OSWALDO SON CAMEZ,MARIO FRANCISCO LOLMET GRAVE,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,INTERMEDIA,SEMIPRESENCIAL,SACATEPÉQUEZ
03-01-1332-44,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,LICEO DE COMPUTACION CIENCIA Y TECNOLOGIA,CALLE REAL DE SAN BARTOLOME BECERRA,54185659,ZOILA ESTHELA JONFE OROZCO,,PRIMARIA DE ADULTOS,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SACATEPÉQUEZ
03-01-1383-44,03-009,SACATEPEQUEZ,ANTIGUA GUATEMALA,LICEO MIXTO NUESTRA SE%ORA DE FATIMA,1A. AVENIDA SUR NO.9,"78320432, 78327352",AURA MARINA LORENZO SAGCHE,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SACATEPÉQUEZ
03-02-0006-44,03-003,SACATEPEQUEZ,JOCOTENANGO,CENTRO EDUCATIVO TECNICO SCHEEL,COLONIA VISTA HERMOSA,79221886,JUVENTINO PEREZ SICAN,ZORAIDA NOEMÍ YOC MOSCOSO,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-02-0275-44,03-003,SACATEPEQUEZ,JOCOTENANGO,ESCUELA MUNICIPAL PARA ADULTOS,"8A. CALLE ENTRE 2A. Y 3A. AVENIDA, COLONIA LOS LLANOS",41130277,JUVENTINO PEREZ SICAN,CLAUDIA LORENA FUENTES ROSALES,PRIMARIA DE ADULTOS,MUNICIPAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SACATEPÉQUEZ
03-04-0006-44,03-004,SACATEPEQUEZ,SUMPANGO,CENTRO EDUCATIVO TERRA MAYA EMANUEL TEM,0 CALLE 9-33ZONA 3,78331506,MIRIAM VERONICA GIL QUISQUINAY,YOSELIN ANGELICA CHILE COTOC,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SACATEPÉQUEZ
03-04-0007-44,03-04-0199,SACATEPEQUEZ,SUMPANGO,CENTRO EDUCATIVO DE FORMACION INTEGRAL TZUMPANGO,AVENIDA LA ALAMEDA 7-15 ZONA 2,77362712,MIRIAM VERÓNICA GIL QUISQUINAY,FLORENTÍN TEJAXÚN ALQUIJAY,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SACATEPÉQUEZ
03-04-0364-44,25-000,SACATEPEQUEZ,SUMPANGO,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),SUMPANGO,,SONIA HAYDEE REYES MONTERROSO,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,SACATEPÉQUEZ
03-04-1145-44,03-004,SACATEPEQUEZ,SUMPANGO,CENTRO EDUCATIVO TECNOLOGICO DESARROLLO INTEGRAL CETEDI,2A. CALLE 2-32 ZONA 5,78301988,MIRIAM VERONICA GIL QUISQUINAY,GLORIA ANTONIETA ASTURIAS CHIQUITO,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SACATEPÉQUEZ
03-05-0362-44,,SACATEPEQUEZ,SANTO DOMINGO XENACOJ,INSTOTUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),4A CALLE 0-22 ZONA 4,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,SACATEPÉQUEZ
03-05-0842-44,,SACATEPEQUEZ,SANTO DOMINGO XENACOJ,EMUM,CALLE REAL ZONA 2 SANTO DOMINGO XENACOJ,,,,PRIMARIA DE ADULTOS,MUNICIPAL,URBANA,CERRADA DEFINITIVAMENTE,BILINGUE,NOCTURNA,DIARIO(REGULAR),SACATEPÉQUEZ
03-06-0013-44,03-06-0200,SACATEPEQUEZ,SANTIAGO SACATEPEQUEZ,LICEO EL CARMEN,2A. CALLE 2-21 ZONA 2,41019705,ROSALBINA SISIMIT PERÉN DE SOCOP,GISLENA VARINIA VILLATORO VARGAS,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SACATEPÉQUEZ
03-06-0128-44,,SACATEPEQUEZ,SANTIAGO SACATEPEQUEZ,ESCUELA PRIVADA PARA ADULTOS 'UNION DE CUATRO PINOS',SANTIAGO SACATEPEQUEZ,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SACATEPÉQUEZ
03-06-1364-44,03-06-0200,SACATEPEQUEZ,SANTIAGO SACATEPEQUEZ,INSTITUTO MIXTO LOMA LINDA,SANTIAGO SACATEPEQUEZ,55892069,ROSALBINA SISIMIT PERÉN DE SOCOP,ARLIN GARY ARRIVILLAGA BARRIOS,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SACATEPÉQUEZ
03-07-0020-44,03-99-0205,SACATEPEQUEZ,SAN BARTOLOME MILPAS ALTAS,CENTRO EDUCATIVO MUNICIPAL SAN BARTOLOME MILPAS ALTAS,"FINCA EL CERRO, 2DA AVENIDA FINAL ZONA 1",50695027,OSCAR HUMBERTO SUBUYUJ GIL,ANA RAQUEL LÓPEZ CORADO,PRIMARIA DE ADULTOS,MUNICIPAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SACATEPÉQUEZ
03-07-1139-44,03-99-0205,SACATEPEQUEZ,SAN BARTOLOME MILPAS ALTAS,COLEGIO CRISTIANO MIXTO ALELUYA,KM. 32 CARRETERA INTERAMERICANA,78312329,OSCAR HUMBERTO SUBUYUJ GIL,FLOR LOURDES CHICOL SIPAC,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-07-1246-44,03-005,SACATEPEQUEZ,SAN BARTOLOME MILPAS ALTAS,COLEGIO PRIVADO 'CUATRO PINOS',1A. AVENIDA 4-12 ZONA 2,"78307053, 55892893",ROSALBINA SISIMIT PEREN DE SOCOP,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SACATEPÉQUEZ
03-08-0147-44,,SACATEPEQUEZ,SAN LUCAS SACATEPEQUEZ,ESCUELA PRIVADA PARA ADULTOS 'CENTRO EDUCATIVO GETSEMANI',3A CALLE Y 2A AVE.,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SACATEPÉQUEZ
03-09-0016-44,03-005,SACATEPEQUEZ,SANTA LUCIA MILPAS ALTAS,CENTRO EDUCATIVO MUNICIPAL SAN BARTOLOME MILPAS ALTAS,"FINCA EL CERRO, 2DA AVENIDA FINAL ZONA 1",50695027,ROSALBINA SISIMIT PEREN DE SOCOP,ANA RAQUEL LOPEZ CORADO,PRIMARIA DE ADULTOS,MUNICIPAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SACATEPÉQUEZ
03-10-0019-44,03-016,SACATEPEQUEZ,MAGDALENA MILPAS ALTAS,LOVE GUATEMALA,1A. CALLE F-25 COLONIA VISTA HERMOSA ZONA 5,591558,OSCAR OSWALDO SON CAMEZ,SERGIO NICOLAS LOPEZ GARCIA,PRIMARIA DE ADULTOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SACATEPÉQUEZ
03-12-0018-44,03-007,SACATEPEQUEZ,CIUDAD VIEJA,LICEO DE COMPUTACION CIENCIA Y TECNOLOGIA,0 CALLE A 0-88 ZONA 2,57778349,MARLIS BERZABE REYES REYES,MIGUEL ALVARO RODRIGUEZ PORTILLO,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SACATEPÉQUEZ
03-12-0186-44,03-12-0204,SACATEPEQUEZ,CIUDAD VIEJA,EOPA LIC. LUIS ARTURO HERRERA MUÑOZ,3A. CALLE 1-97 ZONA 4,36185054,MARLIS BERZABÉ REYES REYES DE QUIÑONEZ,MIGUEL ANTONIO CHÁVEZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SACATEPÉQUEZ
03-13-0253-44,03-99-0207,SACATEPEQUEZ,SAN MIGUEL DUENAS,ESCUELA MUNICIPAL NOCTURNA PARA ADULTOS 'SAN MIGUEL',4A. AVENIDA 1-11 ZONA 1,30557076,OSCAR YOVANY ZELADA CASTILLO,DORIS FELISA QUIÑONEZ MORALES,PRIMARIA DE ADULTOS,MUNICIPAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SACATEPÉQUEZ
03-14-0027-44,03-008,SACATEPEQUEZ,ALOTENANGO,COLEGIO PARTICULAR ALPHA Y OMEGA,2NDO. CANTON CALLE REAL,78306427,OSCAR YOVANY ZELADA CASTILLO,JOSÉ DAMIÁN MELGAR PERENCEN,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SACATEPÉQUEZ
03-14-0036-44,03-016,SACATEPEQUEZ,ALOTENANGO,"CENTRO DE EDUCACION EXTRAESCOLAR ""PEAC ASEDVI""",PRIMER CANTON,59378519,OSCAR OSWALDO SON CAMEZ,LESVIA ODALIS COJOLON BARAN,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,SEMIPRESENCIAL,SACATEPÉQUEZ
03-14-0037-44,03-016,SACATEPEQUEZ,ALOTENANGO,CENTRO DE EDUCACION EXTRAESCOLAR PEAC MUNICIPAL,0 CALLE C 0-74 ZONA 1,58660376,OSCAR OSWALDO SON CAMEZ,JOSE DAMIAN MELGAR PERENCEN,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SACATEPÉQUEZ
03-15-0221-44,03-008,SACATEPEQUEZ,SAN ANTONIO AGUAS CALIENTES,EOPA,ZONA 3,56700369,OSCAR YOVANY ZELADA CASTILLO,IRWIN ORLANDO HERNÁNDEZ GUARAN,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SACATEPÉQUEZ
