0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
12-01-3071-41,,SAN MARCOS,SAN MARCOS,EDAC - PRONADE -,CANTON EL ROSARIO ALDEA EL RINCON,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-3098-41,,SAN MARCOS,SAN MARCOS,EDAC - PRONADE -,CASERIO NAVIDAD,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-3135-41,,SAN MARCOS,SAN MARCOS,EDAC - PRONADE -,CANTON CHISGUACHIN ALDEA SAN SEBASTIAN,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-02-0154-41,12-02-0561,SAN MARCOS,SAN PEDRO SACATEPEQUEZ,COPB ANEXA A EORM,CASERIO IXHUAL ALDEA SAN ISIDRO CHAMAC,32818756,LUIS ALFREDO MAZARIEGOS SCOT,EUFEMIA VELASQUEZ MAURICIO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-02-0155-41,12-005,SAN MARCOS,SAN PEDRO SACATEPEQUEZ,COPB ANEXA A EORM,CASERIO IXHUAL ALDEA SAN ISIDRO CHAMAC,00000000,JUAN FRANCISCO BARRIOS ECHEVERRIA,XXXX,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-04-0012-41,12-04-0575,SAN MARCOS,COMITANCILLO,COPB ANEXO A EORM,CASERIO LA NUEVA ESPERANZA ALDEA TUILELEN,47885424,WILSON DARÍO MARROQUÍN LÓPEZ,APOLINARIO TOMÁS ZACARÍAS,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-04-0013-41,12-04-0578,SAN MARCOS,COMITANCILLO,COPB ANEXO A EORM,CANTON LAS BARRANCAS ALDEA TUIXOQUEL,46001072,HÉCTOR LEONEL AGUILÓN Y AGUILÓN,GERMAN GAUDENCIO GARCÍA SALES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-04-0014-41,12-04-0579,SAN MARCOS,COMITANCILLO,COPB ANEXO A EORM,"CASERIO CANTZELA, ALDEA SAN LUIS",53396983,EDELMAR AMILCAR LÓPEZ MIRANDA,JAIME LÓPEZ TÉMAJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-04-0015-41,12-04-0572,SAN MARCOS,COMITANCILLO,COPB ANEXO A EORM,SECTOR LA FLORIDA ALDEA PIEDRA DE FUEGO,40363956,VICTOR MANUEL AGUILÓN CRISOSTOMO,FREDY PORFIRIO AGUILÓN PÉREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-04-0076-41,12-04-0577,SAN MARCOS,COMITANCILLO,COPB ANEXO A EORM,"CASERIO LOMA LINDA, ALDEA CHIXAL",50548580,JOSÉ TELÉSFORO RAMÍREZ LÓPEZ,FLORENTINA GABRIEL PABLO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-04-0082-41,12-04-0575,SAN MARCOS,COMITANCILLO,COPB ANEXO A EORM,"CANTON VILLA NUEVA, ALDEA TUILELEN",49997298,WILSON DARÍO MARROQUÍN LÓPEZ,JAIRO PÉREZ GARCÍA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-04-0083-41,12-04-0575,SAN MARCOS,COMITANCILLO,COPB ANEXO A EORM,"CANTON VISTA HERMOSA, ALDEA TUILELEN",45911271,WILSON DARÍO MARROQUÍN LÓPEZ,ABIDÁN EFRAÍN PÉREZ MONZÓN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
