0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
12-01-0041-44,12-01-0554,SAN MARCOS,SAN MARCOS,EOPA,8A. AVENIDA 4-94 ZONA 2,53871559,HELIUV EDILZAR VÁSQUEZ NAVARRO,NATIVIDAD SANDRA ROBLERO GONZÁLEZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SAN MARCOS
12-01-0097-44,12-109,SAN MARCOS,SAN MARCOS,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,8 AVENIDA. 5-54 ZONA 2,48978480,ELUVIA VANESSA DE LEÓN VEGA DE ARANDI,VIOLETA FLORIDALMA FUENTES QUIROA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,A DISTANCIA,SAN MARCOS
12-01-0098-44,12-109,SAN MARCOS,SAN MARCOS,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,8VA. AVENIDA 9-00 ZONA 1 SAN MARCOS,54176070,ELUVIA VANESSA DE LEÓN VEGA DE ARANDI,WILSON USAÍ BONILLA BARRIOS,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-01-0099-44,12-109,SAN MARCOS,SAN MARCOS,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,8A. AV. 9-00 2DO. NIVEL CENTRO COMERCIAL ZONA 1,54176070,ELUVIA VANESSA DE LEÓN VEGA DE ARANDI,VIOLETA FLORIDALMA FUENTES QUIROA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SAN MARCOS
12-01-0102-44,12-01-0552,SAN MARCOS,SAN MARCOS,EODEE,2A. AVENIDA 11 CALLE ZONA 1,54737005,ENIO RELMAN MALDONADO SOLIS,LESLY ANDREA WUG ESCOBAR,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0104-44,12-100,SAN MARCOS,SAN MARCOS,INSTITUTO PRIVADO MIXTO SAN CARLOS,6A. AVENIDA 9-24 ZONA 1,77601549,JORGE EBERTO SOLORZANO SANCHEZ,LISETH MARICELA DE BARRIOS DE LEON,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SAN MARCOS
12-01-1230-44,25-000,SAN MARCOS,SAN MARCOS,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),COLONIA SAN MARCOS,,SONIA HAYDEE REYES MONTERROSO,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,SAN MARCOS
12-02-0104-44,,SAN MARCOS,SAN PEDRO SACATEPEQUEZ,EOPA,ALDEA SAN JOSE CABEN,,,,PRIMARIA DE ADULTOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SAN MARCOS
12-02-0106-44,12-02-0559,SAN MARCOS,SAN PEDRO SACATEPEQUEZ,EOPA,7A. AVENIDA 6-37 ZONA 1,51310449,ERICK IVAN DE LEÓN DE LEÓN,SUMAYA NINETH GONZÁLEZ OROZCO,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SAN MARCOS
12-02-0107-44,12-005,SAN MARCOS,SAN PEDRO SACATEPEQUEZ,ESCUELA PARTICULAR MIXTA DE EDUCACION PRIMARIA PARA ADULTOS SUPERACION,ALDEA SAN ISIDRO CHAMAC,,JUAN FRANCISCO BARRIOS ECHEVERRIA,,PRIMARIA DE ADULTOS,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS
12-02-1082-44,,SAN MARCOS,SAN PEDRO SACATEPEQUEZ,EPPA 'JARDIN GUATEMALA',CANTON SAN SEBASTIAN,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SAN MARCOS
12-02-1198-44,12-02-0562,SAN MARCOS,SAN PEDRO SACATEPEQUEZ,EOPA,ALDEA CHAMPOLLAP,39915956,JORGE ADALBERTO OROZCO OROZCO,ROOSEMARY MARGOTH CLEMENTE,PRIMARIA DE ADULTOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SAN MARCOS
12-02-1249-44,,SAN MARCOS,SAN PEDRO SACATEPEQUEZ,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,SAN MARCOS
12-02-1258-44,12-02-0566,SAN MARCOS,SAN PEDRO SACATEPEQUEZ,ESCUELA NOCTURNA PARA ADULTOS,ALDEA SAN ANDRES CHAPIL,42060846,RUDY AMÍLCAR REQUENA GODÍNEZ,ARCELIA NIDIA PÉREZ SÁNCHEZ,PRIMARIA DE ADULTOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SAN MARCOS
12-02-4338-44,12-005,SAN MARCOS,SAN PEDRO SACATEPEQUEZ,COLEGIO CATOLICO 'SAN FRANCISCO DE ASIS',7A. AVE. Y 8A. CALLE ZONA 1,77601613,JUAN FRANCISCO BARRIOS ECHEVERRIA,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SAN MARCOS
12-02-5297-44,12-004,SAN MARCOS,SAN PEDRO SACATEPEQUEZ,COLEGIO PARTICULAR MIXTO 'SACATEPEC',6A. AVENIDA 'A' ZONA 2 CANTON SAN SEBASTIAN,77601202,JULIO ARTURO OROZCO JUAREZ,ELÍAS IGNACIO FUENTES MONZÓN,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SAN MARCOS
12-03-1243-44,,SAN MARCOS,SAN ANTONIO SACATEPEQUEZ,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),PARROQUIA,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,SAN MARCOS
12-04-0208-44,12-132,SAN MARCOS,COMITANCILLO,EOPA,3A. AVENIDA 8-42 ZONA 3,57592836,ALFREDO MATÍAS Y MATÍAS,NERY ONOFRE MARROQUÍN MIRANDA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SAN MARCOS
12-04-0209-44,12-132,SAN MARCOS,COMITANCILLO,EPPA 'SANTA CRUZ',2A. AVENIDA 5-84 ZONA 1,51969001,ALFREDO MATÍAS Y MATÍAS,ALEJANDRO DAVID CORONADO GABRIEL,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,BILINGUE,DOBLE,FIN DE SEMANA,SAN MARCOS
12-04-1232-44,12-132,SAN MARCOS,COMITANCILLO,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),2A. AVENIDA 2-28 ZONA 1,,ALFREDO MATÍAS Y MATÍAS,---,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,SAN MARCOS
12-04-1323-44,,SAN MARCOS,COMITANCILLO,EPPA 'PIEDRAS DE FUEGO',ALDEA PIEDRA DE FUEGO,,,,PRIMARIA DE ADULTOS,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,FIN DE SEMANA,SAN MARCOS
12-04-2886-44,12-126,SAN MARCOS,COMITANCILLO,ESCUELA PRIVADA ACELERADA EDUCACION DE ADULTOS 'PIEDRA DE FUEGO',ALDEA PIEDRA DE FUEGO,,CESAR GONZALO GARCÍA FELICIANO,,PRIMARIA DE ADULTOS,PRIVADO,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,FIN DE SEMANA,SAN MARCOS
12-05-1199-44,,SAN MARCOS,SAN MIGUEL IXTAHUACAN,EPPA,,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SAN MARCOS
12-05-1247-44,,SAN MARCOS,SAN MIGUEL IXTAHUACAN,INSTITUTO GUATEMALTECO DE EDUCAION RADIOFONICA (IGER),,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,SAN MARCOS
12-06-1233-44,,SAN MARCOS,CONCEPCION TUTUAPA,INSTITUTO GUATEMALTECODE EDUCACION RADIOFONICA (IGER),CASERIO LLANO GRANDE,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,SAN MARCOS
12-07-0211-44,12-109,SAN MARCOS,TACANA,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX,"CABECERA MUNICIPAL, TACANÁ",51583188,ELUVIA VANESSA DE LEÓN VEGA DE ARANDI,VIVIAN ZURISADAY PÉREZ VELÁSQUEZ,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-07-1253-44,,SAN MARCOS,TACANA,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),CANTON LA ESPERANZA,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,SAN MARCOS
12-08-1251-44,,SAN MARCOS,SIBINAL,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,SAN MARCOS
12-09-1254-44,,SAN MARCOS,TAJUMULCO,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),PUEBLO NUEVO,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,SAN MARCOS
12-10-0500-44,12-10-0622,SAN MARCOS,TEJUTLA,CENTRO DE EDUCACION DE ADULTOS,3A. AV. 1-59 ZONA 1,77600161,WAYNER GEOVANY SALVADOR Y SALVADOR,GLADYS ANAÍ RAMÍREZ VELÁSQUEZ,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DOMINICAL,SAN MARCOS
12-10-1255-44,,SAN MARCOS,TEJUTLA,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),EL HORIZONTE,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,SAN MARCOS
12-11-0037-44,12-109,SAN MARCOS,SAN RAFAEL PIE DE LA CUESTA,CENTRO DE EDUCACIÓN EXTRAESCOLAR,CABECERA MUNICIPAL,47233289,ELUVIA VANESSA DE LEÓN VEGA DE ARANDI,TAYRA MISHELL DE LEÓN FLORES,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-11-1250-44,,SAN MARCOS,SAN RAFAEL PIE DE LA CUESTA,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),EL NARANJO,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,SAN MARCOS
12-12-0562-44,12-027,SAN MARCOS,NUEVO PROGRESO,EPPA,,,ANA VICTORIA RODAS MARROQUIN,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS
12-13-1236-44,,SAN MARCOS,EL TUMBADOR,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),EL TUMBADOR,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,A DISTANCIA,SAN MARCOS
12-14-1235-44,,SAN MARCOS,SAN JOSE EL RODEO,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),EL RODEO LA GRANDEZA,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,SAN MARCOS
12-15-0731-44,12-15-0656,SAN MARCOS,MALACATAN,ESCUELA OFICIAL URBANA PARA ADULTOS,COLONIA EL MAESTRO,47204320,MARÍA ELENA CÁRDENAS,VIRGINIA NINET MUNGUÍA MÉRIDA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SAN MARCOS
12-15-1240-44,,SAN MARCOS,MALACATAN,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,SAN MARCOS
12-16-1231-44,,SAN MARCOS,CATARINA,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,A DISTANCIA,SAN MARCOS
12-17-0793-44,12-17-0663,SAN MARCOS,AYUTLA,EOPA,1A. CALLE Y 1A AVENIDA ZONA 1,32014054,ALCIRA ARGENTINA FLORES GONZÁLEZ DE MAYORGA,ELIA MARLENY ESCOBAR BARRIOS,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SAN MARCOS
12-18-0826-44,12-093,SAN MARCOS,OCOS,ESCUELA PRIVADA DE EDUCACION PARA ADULTOS LA PATRIA,COLONIA SAN JULIAN PARCELAMIENTO LA BLANCA,,JUAN JOSÉ TOBAR TEBALAN,,PRIMARIA DE ADULTOS,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SAN MARCOS
