0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
07-01-0001-45,07-01-0344,SOLOLA,SOLOLA,"LICEO TECNOLOGICO BILINGUE ""CUAUHTEMALLAN DE SOLOLA""","CASERÍO CAYALÁ, ALDEA EL TABLÓN",35923669,VÍCTOR CHUMIL CHIROY,RAMÓN ESTEVAN ZET CHIYAL,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0057-45,07-99-0380,SOLOLA,SOLOLA,IEBC,ALDEA SAN JUAN ARGUETA,49777869,VÍCTOR MIGUEL MENCHÚ MENCHÚ,LUIS MARTÍN TÍU TZUNÚN,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0058-45,07-019,SOLOLA,SOLOLA,"LICEO TECNOLOGICO BILINGUE ""CUAUHTEMALLAN DE SOLOLA""","7 CALLE 3-25 ZONA 1, BARRIO SAN ANTONIO",,ESTELA BEN AJCALÓN DE TUY,ROLANDO COY YAQUI,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0062-45,07-01-0344,SOLOLA,SOLOLA,INSTITUTO TECNOLOGICO DE LA UNIVERSIDAD DEL VALLE DE GUATEMALA,KM. 137,79310814,VÍCTOR CHUMIL CHIROY,CECILIA YORDENY VICENTE ZAPETA,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SOLOLÁ
07-01-0063-45,07-01-0346,SOLOLA,SOLOLA,INSTITUTO MIXTO DE EDUCACION BASICA POR COOPERATIVA AQ'AB'ÄL NO'J,"CASERÍO PAQUISIS, ALDEA PIXABAJ",48795779,JOSÉ ESTRADA ATZ,MARÍA CÁRMEN CUMATZ CHUMIL,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0066-45,07-001,SOLOLA,SOLOLA,"INSTITUTO PRIVADO MIXTO DE EDUCACION BASICA ""EDUCACION PARA TODOS""",ALDEA SAN JORGE LA LAGUNA,32265809,BENJAMÍN ELÍAS IXCAMPARIC SOSA,MIGUEL ANGEL ESQUIT YAL,BASICO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,INTERMEDIA,DIARIO(REGULAR),SOLOLÁ
07-01-0095-45,07-01-0347,SOLOLA,SOLOLA,INSTITUTO MIXTO DE EDUCACION BASICA POR COOPERATIVA,"CASERIO EL TRIUNFO, ALDEA PUJUJIL II",59567126,CARLOS RIGOBERTO POS TUY,GREGORIO PABLO MENDOZA,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0097-45,07-01-0344,SOLOLA,SOLOLA,"INEB ""LAJUJ E CHOTAQ'AJ""","CASERIO CENTRAL, ALDEA EL TABLON",45191443,VÍCTOR CHUMIL CHIROY,VIVIANA VANESSA VENTURA IXCAYA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0098-45,07-99-0343,SOLOLA,SOLOLA,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA,ALDEA SACSIGUÁN MONTE MERCEDES,55828235,DAVID FERNANDO PAZ LÓPEZ,VILMA JEANNETTE PAR GIRÓN,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ
