0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
07-01-0067-42,07-01-0345,SOLOLA,SOLOLA,EODP,"CASERÍO CENTRAL Y PROGRESO, CANTÓN XAJAXAC",37784219,LESVIA JOHANA TOC SOLARES,CARLOS ENRIQUE CUMES MELETZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0068-42,07-01-0346,SOLOLA,SOLOLA,EODP,"CASERIO EL PARAISO, LOS ENCUENTROS",31338049,JOSÉ ESTRADA ATZ,ISABEL PAR XOQUÍC,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0069-42,07-01-0345,SOLOLA,SOLOLA,EODP,CASERIO LA NUEVA ESPERANZA CANTON XAJAXAC,55165299,LESVIA JOHANA TOC SOLARES,CÉSAR PILÓ RAXTÚN,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0070-42,07-99-0378,SOLOLA,SOLOLA,EODP ANEXA A E.O.R.M,"CASERIO LAS TRAMPAS, ALDEA PUJUJIL III",40678311,SARA DÉBORA PAR IBATÉ,REGINA ROQUEL JULAJUJ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0071-42,07-01-0346,SOLOLA,SOLOLA,EODP,"SECTOR II VISTA HERMOSA, ALDEA LOS ENCUENTROS",54963941,JOSÉ ESTRADA ATZ,MARTA REGINA TUY GÜÍT,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0075-42,07-99-0379,SOLOLA,SOLOLA,EODP,CASERIO EL ASCENSO,53242370,VÍCTOR MIGUEL MENCHÚ MENCHÚ,SANTA MARGARITA AJÚ CUÁ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0076-42,07-01-0347,SOLOLA,SOLOLA,EODP,"SECTOR NUEVO AMANECER, ALDEA LOS ENCUENTROS",58595334,CARLOS RIGOBERTO POS TUY,RAFAEL OTONIEL PUAC GONZÁLEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0077-42,07-01-0344,SOLOLA,SOLOLA,EODP,SECTOR LOS YAXON NEBOYA CASERIO CENTRAL CANTON EL TABLON,59567126,VÍCTOR CHUMIL CHIROY,GREGORIO PABLO MENDOZA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0101-42,07-01-0341,SOLOLA,SOLOLA,"EODP ANEXA A EOUM TIPO FEDERACION ""JOSE VITELIO RALON""",13 CALLE 2-01 ZONA 1,56469131,ESTELA BEN AJCALÓN DE TUY,NICOLASA CHIROY SOTOY,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ
