0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
07-01-0001-41,07-01-0346,SOLOLA,SOLOLA,COPB ANEXO A EORM,ALDEA PIXABAJ,57671028,JOSÉ ESTRADA ATZ,GLADIS ILEANA CHUMIL TUN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0002-41,07-01-0347,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO EL TRIUNFO, CANTON PUJUJIL II",30725624,CARLOS RIGOBERTO POS TUY,MARÍA ADELA CUY AJÚ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0003-41,07-01-0347,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO EL ENCANTO ALDEA PUJUJIL II,55944007,CARLOS RIGOBERTO POS TUY,VÍCTOR ALFREDO CHIPÍN CHIROY,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0004-41,07-01-0347,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO LA FE, ALDEA PUJUJIL II",51187023,CARLOS RIGOBERTO POS TUY,JULIANA ANTONIO BIXCUL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0005-41,07-99-0380,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO LA UNION, ALDEA ARGUETA",44490148,VÍCTOR MIGUEL MENCHÚ MENCHÚ,RUTH NOEMÍ BATZ MORALES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0006-41,07-99-0380,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO COXOM ALDEA ARGUETA,51503442,VÍCTOR MIGUEL MENCHÚ MENCHÚ,YOHANA SUSANA TZUL TALÉ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0007-41,07-99-0381,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO LA ILUSION, CANTON CHUIQUEL",48363938,JUSTO SANTIAGO PONCIO PU,LUCIA GUADALUPE CHOROR CHUJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0008-41,,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO SAN BUENA VENTURA ALDEA PIXABAJ,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0009-41,07-01-0347,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO SACBOCHOL, ALDEA LOS ENCUENTROS",48517654,CARLOS RIGOBERTO POS TUY,FRANCISCA ALBERTA GUACHIAC GUARCHAJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0010-41,07-01-0346,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERÍO SAN JUAN, ALDEA PIXABAJ",57309419,JOSÉ ESTRADA ATZ,PABLO JEATZ POCOP,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0011-41,07-01-0346,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO CHUICACASTE, ALDEA PIXABAJ",33151127,JOSÉ ESTRADA ATZ,SONIA MARISELA JULAJUJ PILÓ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0012-41,07-01-0346,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO MARIA TECUN, ALDEA PIXABAJ",50179075,JOSÉ ESTRADA ATZ,ROLANDO ALFONSO MELETZ AJÚ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0013-41,07-01-0347,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO EL ROSARIO, ALDEA LOS ENCUENTROS",55636260,CARLOS RIGOBERTO POS TUY,SANTOS COSIGUÁ COJTÍN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
