0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
07-01-0029-43,07-01-0347,SOLOLA,SOLOLA,EORM,"CASERIO EL ROSARIO, ALDEA LOS ENCUENTROS",55636260,CARLOS RIGOBERTO POS TUY,SANTOS COSIGUÁ COJTÍN,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0030-43,07-01-0347,SOLOLA,SOLOLA,EORM,"CASERIO EL TRIUNFO, ALDEA PUJUJIL II",42520271,CARLOS RIGOBERTO POS TUY,MARÍA ADELA CUY AJÚ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0031-43,07-99-0378,SOLOLA,SOLOLA,EORM,CASERIO CHURUNELES II ALDEA PUJUJIL II,41963925,SARA DÉBORA PAR IBATÉ,AURA MARINA MENDOZA AJÚ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0032-43,07-01-0347,SOLOLA,SOLOLA,EORM,CASERIO EL ENCANTO CANTON PUJUJIL II,55944007,CARLOS RIGOBERTO POS TUY,VÍCTOR ALFREDO CHIPÍN CHIROY,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0033-43,07-01-0347,SOLOLA,SOLOLA,EORM,"CASERÍO LA FE, CANTÓN PUJUJIL II",51187023,CARLOS RIGOBERTO POS TUY,JULIANA ANTONIO BIXCUL,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0034-43,07-99-0380,SOLOLA,SOLOLA,EORM,"CASERIO LA UNION, ALDEA SAN JUAN ARGUETA",44490148,VÍCTOR MIGUEL MENCHÚ MENCHÚ,RUTH NOEMÍ BATZ MORALES,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0035-43,07-99-0380,SOLOLA,SOLOLA,EORM,CASERIO COXOM ALDEA SAN JUAN ARGUETA,51503442,VÍCTOR MIGUEL MENCHÚ MENCHÚ,YOHANA SUSANA TZUL TALÉ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0036-43,07-99-0381,SOLOLA,SOLOLA,EORM,"CASERIO LA ILUSION, CANTON CHUIQUEL",48363938,JUSTO SANTIAGO PONCIO PU,LUCIA GUADALUPE CHOROR CHUJ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0037-43,07-01-0346,SOLOLA,SOLOLA,EORM,"CASERIO SAN BUENA VENTURA, ALDEA PIXABAJ",48065590,JOSÉ ESTRADA ATZ,JUAN RAMÓN MENCHÚ CUTZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0038-43,07-01-0346,SOLOLA,SOLOLA,EORM,"CASERIO SAN JUAN, ALDEA PIXABAJ",57309419,JOSÉ ESTRADA ATZ,PABLO JEATZ POCOP,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0039-43,07-01-0346,SOLOLA,SOLOLA,EORM,ALDEA PIXABAJ,57671028,JOSÉ ESTRADA ATZ,GLADIS ILEANA CHUMIL TUN,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0040-43,07-01-0346,SOLOLA,SOLOLA,EORM,"CASERIO MARIA TECUN, ALDEA PIXABAJ",50179075,JOSÉ ESTRADA ATZ,ROLANDO ALFONSO MELETZ AJÚ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0041-43,07-01-0346,SOLOLA,SOLOLA,EORM,"CASERIO SAN FRANCISCO, ALDEA LOS ENCUENTROS",41863722,JOSÉ ESTRADA ATZ,PEDRO BENIGNO CHOLOTÍO PÉREZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0042-43,07-99-0380,SOLOLA,SOLOLA,EORM,CASERIO CHIRIJIXIM ALDEA ARGUETA,40365393,VÍCTOR MIGUEL MENCHÚ MENCHÚ,DARÍO LUCÍO XAMINEZ ALVA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0043-43,07-99-0378,SOLOLA,SOLOLA,EORM,CASERIO EL ADELANTO ALDEA PUJUJIL II,58733793,SARA DÉBORA PAR IBATÉ,ROMEO ANTONIO LINARES URÍZAR,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0044-43,07-99-0378,SOLOLA,SOLOLA,EORM,CASERIO EL MIRADOR ALDEA PUJUJIL II,55659340,SARA DÉBORA PAR IBATÉ,LUCÍA SALOJ ROQUEL,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0045-43,07-01-0346,SOLOLA,SOLOLA,EORM,"CASERIO CHUACORRAL, ALDEA PIXABAJ",59677733,JOSÉ ESTRADA ATZ,MARCO ELISEO TOC SALOJ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0046-43,07-01-0347,SOLOLA,SOLOLA,EORM,"CASERIO SACBOCHOL, ALDEA LOS ENCUENTROS",48517654,CARLOS RIGOBERTO POS TUY,FRANCISCA ALBERTA GUACHIAC GUARCHAJ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0047-43,07-99-0379,SOLOLA,SOLOLA,EORM,"CASERIO LOS YAXON, ALDEA CHAQUIJYA",59323418,VÍCTOR MIGUEL MENCHÚ MENCHÚ,YOLANDA CHIROY BOCEL,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0048-43,07-01-0346,SOLOLA,SOLOLA,EORM,"CASERIO XALAMA, ALDEA PIXABAJ",58801710,JOSÉ ESTRADA ATZ,ADONIAS MARINO TOHOM SACUJ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0049-43,07-99-0378,SOLOLA,SOLOLA,EORM,CASERIO LOS CHURUNELES I ALDEA PUJUJIL III,21336334,SARA DÉBORA PAR IBATÉ,JUAN CARLOS SOLARES SALOJ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0050-43,07-01-0346,SOLOLA,SOLOLA,EORM,"CASERIO CHUICACASTE, ALDEA PIXABAJ",33151127,JOSÉ ESTRADA ATZ,SONIA MARISELA JULAJUJ PILÓ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0051-43,07-01-0345,SOLOLA,SOLOLA,EORM,"CASERIO XIBALBAY, ALDEA CHAQUIJYA",47875775,LESVIA JOHANA TOC SOLARES,SIMEÓN CHUMIL CHUMIL,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0052-43,07-99-0379,SOLOLA,SOLOLA,EORM,ALDEA CHUIQUEL,50625727,VÍCTOR MIGUEL MENCHÚ MENCHÚ,MARIO COSIGUÁ CHUMIL,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0053-43,07-99-0380,SOLOLA,SOLOLA,EORM,ALDEA SAN JUAN ARGUETA,56361381,VÍCTOR MIGUEL MENCHÚ MENCHÚ,OBISPO GREGORIO PECH TAX,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0054-43,07-99-0380,SOLOLA,SOLOLA,EORM,ALDEA MARÍA TECÚN ALAYO,39191908,VÍCTOR MIGUEL MENCHÚ MENCHÚ,ANA CECILIA CUÁ YOJCÓM,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0055-43,07-01-0347,SOLOLA,SOLOLA,EORM,ALDEA LOS ENCUENTROS,42119979,CARLOS RIGOBERTO POS TUY,EVELING DAMARY DE LEÓN CORDERO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0056-43,07-01-0346,SOLOLA,SOLOLA,EORM,"CASERIO PAQUISIS, ALDEA PIXABAJ",53580817,JOSÉ ESTRADA ATZ,NERY OSWALDO JULAJUJ PILÓ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0065-43,07-01-0347,SOLOLA,SOLOLA,EORM ANEXO A EORM,"CASERIO VALLE DEL NORTE, ALDEA PUJUJIL II",45006161,CARLOS RIGOBERTO POS TUY,JOSÉ MARÍA AJSOC TO,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0078-43,07-01-0345,SOLOLA,SOLOLA,EORM,CASERIO LA NUEVA ESPERANZA CANTON XAJAXAC,55165299,LESVIA JOHANA TOC SOLARES,CÉSAR PILÓ RAXTÚN,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
