0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
07-01-0138-44,07-001,SOLOLA,SOLOLA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,13 CALLE 3-18 ZONA 1,42168233,BENJAMÍN ELÍAS IXCAMPARIC SOSA,ELIAS MIGUEL ROSALES TAHAY,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,A DISTANCIA,SOLOLÁ
07-01-0139-44,07-024,SOLOLA,SOLOLA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,13 CALLE 3-18 ZONA 1,45505348,MARÍA OFELIA MUY QUICHÉ,DIEGO GÓMEZ LÓPEZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),SOLOLÁ
07-01-0140-44,07-024,SOLOLA,SOLOLA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,13 CALLE 3-18 ZONA 1,54174551,MARÍA OFELIA MUY QUICHÉ,JOSE AGAPITO CORTEZ GONZALEZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SOLOLÁ
07-01-0451-44,07-01-0341,SOLOLA,SOLOLA,EOPA,13 CALLE 2-01 ZONA 1,56935764,ESTELA BEN AJCALÓN DE TUY,JUANA NICOLASA TZORÍN ORDÓÑEZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SOLOLÁ
07-01-0991-44,25-000,SOLOLA,SOLOLA,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),EL TABLON,,SONIA HAYDEE REYES MONTERROSO,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,A DISTANCIA,SOLOLÁ
07-05-0168-44,07-007,SOLOLA,NAHUALA,EPPA,,,DAVID FERNANDO PAZ LOPEZ,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SOLOLÁ
07-05-0169-44,,SOLOLA,NAHUALA,EPPA 'EL ESFUERZO',ALDEA PACHIPAC,,,,PRIMARIA DE ADULTOS,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SOLOLÁ
07-09-0993-44,,SOLOLA,SAN ANDRES SEMETABAJ,IGER,SAN ANDRES SEMETABAJ,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,A DISTANCIA,SOLOLÁ
07-10-0012-44,07-10-0367,SOLOLA,PANAJACHEL,COLEGIO POR MADUREZ TIJAX,CALLE PRINCIPAL ZONA 1,55693589,ELENA SULENY GARCÍA APÉN,JUANA XON XON,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,SOLOLÁ
07-10-0027-44,07-011,SOLOLA,PANAJACHEL,"PROGRAMA DE ATENCIÓN, MOVILIZACIÓN E INCIDENCIA PARA LA NIÑEZ Y ADOLECENCIA PAMI",INTERIOR DEL MERCADO MUNICIPAL,78215680,ELENA SULENY GARCÍA APÉN,ROSA AMALIA TELLO ESTRADA,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),SOLOLÁ
07-10-0278-44,07-10-0367,SOLOLA,PANAJACHEL,EOPA,2A. AVENIDA VIA PRINCIPAL 1-43 ZONA 1,52158014,ELENA SULENY GARCÍA APÉN,CARLOS GUILLERMO RODRÍGUEZ VÁSQUEZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SOLOLÁ
07-11-0995-44,,SOLOLA,SANTA CATARINA PALOPO,IGER,,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,SOLOLÁ
07-13-0994-44,,SOLOLA,SAN LUCAS TOLIMAN,IGER,,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,A DISTANCIA,SOLOLÁ
07-14-0996-44,,SOLOLA,SANTA CRUZ LA LAGUNA,IGER,,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,A DISTANCIA,SOLOLÁ
07-15-0007-44,07-99-0386,SOLOLA,SAN PABLO LA LAGUNA,EOPA,2A. AVENIDA FRENTE A LA IGLESIA CATOLICA,57149471,ADA LORENA HERNÁNDEZ AGUILAR,VICTORIA BORÓN YOJCÓM,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SOLOLÁ
07-15-1998-44,07-021,SOLOLA,SAN PABLO LA LAGUNA,ESCUELA PRIMARIA ACELERADA PARA ADULTOS,"2A, AVENIDA 1-46 ZONA 1",,ADA LORENA HERNÁNDEZ AGUILAR,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,BILINGUE,NOCTURNA,DIARIO(REGULAR),SOLOLÁ
07-17-0355-44,07-17-0372,SOLOLA,SAN JUAN LA LAGUNA,EOPA,CANTON CENTRAL,55181713,ANA CAROLINA GARCÍA DIONISIO DE CHOLOTÍO,DIEGO ELISEO VÁSQUEZ PÉREZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SOLOLÁ
07-18-0366-44,07-18-0373,SOLOLA,SAN PEDRO LA LAGUNA,EOPA,3A. AVENIDA 3-19 ZONA 1,58323615,MANUEL EDUARDO CHOLOTÍO COCHÉ,JUAN MANUEL BIXCUL CHAVAJAY,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SOLOLÁ
07-19-0104-44,07-19-0374,SOLOLA,SANTIAGO ATITLAN,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- GRUPO CEIBA -GRUCE-,CANTON CHUKUMUK,55886329,ABRAHAM ALBERTO COSIGUA MEJIA,JOSÉ ALEJANDRO MAYÉN PAZ,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,SOLOLÁ
07-19-0396-44,07-19-0377,SOLOLA,SANTIAGO ATITLAN,EOPA EL ESFUERZO,CANTON TZANCHALI ALDEA CERRO DE ORO,59259299,NATANAEL MORALES PACAY,DOLORES SICAY POP,PRIMARIA DE ADULTOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SOLOLÁ
