0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
10-02-0067-41,10-003,SUCHITEPEQUEZ,CUYOTENANGO,COPB ANEXO A EORM,COMUNIDAD EL PROGRESO,78720350,CARLOS ENRIQUE JALEL DE LOS SANTOS,----------,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-04-0014-41,10-013,SUCHITEPEQUEZ,SAN BERNARDINO,COPB ANEXO A EORM,CANTON LAS CRUCES SECTOR 2,78720350,JUANA MARIA CIFUENTES PEREZ,---------,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-04-0015-41,10-013,SUCHITEPEQUEZ,SAN BERNARDINO,COPB ANEXO A EORM,SECTOR RIO LINDO CANTON EL PROGRESO,78720350,JUANA MARIA CIFUENTES PEREZ,---------,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-06-1817-41,,SUCHITEPEQUEZ,SANTO DOMINGO SUCHITEPEQUEZ,EODP,CANTON LAS VARITAS,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-06-2202-41,,SUCHITEPEQUEZ,SANTO DOMINGO SUCHITEPEQUEZ,ERBA -PRONADE-ANEXA,COMUNIDAD AGRARIA NUEVA VICTORIA,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-08-0017-41,10-99-0492,SUCHITEPEQUEZ,SAMAYAC,COPB ANEXO A EORM,CANTON SAN ANTONIO NIMA I,57175755,PAULA ZUCELY QUIBAJÁ PÉREZ DE TELÓN,LEONARDA AVILA CHÚN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-08-0018-41,10-99-0492,SUCHITEPEQUEZ,SAMAYAC,COPB ANEXO A EORM,CANTON SAN FRANCISCO PUMA-NIMA,58521936,PAULA ZUCELY QUIBAJÁ PÉREZ DE TELÓN,JORGE MARIO MANCIO CORADO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-08-0019-41,10-99-0492,SUCHITEPEQUEZ,SAMAYAC,COPB ANEXO A EOUM NO. 2,CANTON SANTO DOMINGO,42174677,PAULA ZUCELY QUIBAJÁ PÉREZ DE TELÓN,JORGE RUFINO CACOJ IMERY,PREPRIMARIA BILINGUE,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-09-0016-41,10-010,SUCHITEPEQUEZ,SAN PABLO JOCOPILAS,COPB ANEXO A EORM,MICROPARCELAMIENTO LAS PIEDRECITAS,78720350,MILDRED JANETH DE LEON MENDEZ DE FUENTES,---------,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
