0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
10-01-0068-44,10-99-0481,SUCHITEPEQUEZ,MAZATENANGO,EOPA,7A AVE. Y 8A CALLE ZONA 1,51259049,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,LISBETH PATRICIA CHACÓN ELGUETA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0212-44,10-018,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO DE ESTUDIOS SUPERIORES INTEGRALES,6A. AVENIDA NORTE 4-28 ZONA 1,78720984,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,DAVID CASTILLO PADILLA,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SUCHITEPÉQUEZ
10-01-0217-44,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO CENTRO EDUCATIVO MAZATECO,3A. CALLE NO. 214 ZONA 2 BARRIO LA UNION,51517422,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,OTTO ERIC NEFTALÍ MARTINEZ OBREGON,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SUCHITEPÉQUEZ
10-01-0221-44,10-001,SUCHITEPEQUEZ,MAZATENANGO,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,8VA. CALLE 7-24 BAJADA DEL CORINTO ZONA 1,56225453,HEILYN MIRELLA GONZÁLEZ XAR DE QUINTEROS,GLODY SUCELY OSORIO FIGUEROA DE MORALES,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,A DISTANCIA,SUCHITEPÉQUEZ
10-01-0222-44,10-001,SUCHITEPEQUEZ,MAZATENANGO,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,8VA. CALLE 7-24 BAJADA DEL CORINTO ZONA 1,56225453,HEILYN MIRELLA GONZÁLEZ XAR DE QUINTEROS,GRISELDA LISETH FRANCO GUTIERREZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0223-44,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,8VA. CALLE 7-24 BAJADA DEL CORINTO ZONA 1,56225453,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,GLODY SUCELY OSORIO FIGUEROA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SUCHITEPÉQUEZ
10-01-0242-44,10-01-0483,SUCHITEPEQUEZ,MAZATENANGO,LICEO DE EDUCACIÓN SUPERIOR PREUNIVERSITARIO,AVENIDA DEL ESTADIO 2-50 ZONA 2,45301993,NATALI XIOMARA DÍAZ BARRIOS DE FIGUEROA,MARVIN GUSTAVO OROZCO BAUTISTA,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SUCHITEPÉQUEZ
10-01-0254-44,10-018,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO TECNICO SUCHITEPEQUEZ,CALZADA CENTENARIO 1-00 ZONA 2 1ER. GRUPO COLONIA FLOR DEL CAFÉ,78679530,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,BRENDA LORENY PEREZ MAYORGA,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SUCHITEPÉQUEZ
10-01-2482-44,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO CENTRO EDUCATIVO INTEGRAL CRISTIANO FUENTE DE BENDICION,7A. AVENIDA 8-31 ZONA 1,41337409,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,ELIO SALVADOR OROZCO PINEDA,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,FIN DE SEMANA,SUCHITEPÉQUEZ
