0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
08-01-0101-45,08-01-0387,TOTONICAPAN,TOTONICAPAN,INEB,9A. AVENIDA 6-06 ZONA 3,45609633,JOSÉ VICTOR CHAMORRO HUITZ,WALTER GIOVANNI MONROY BARRIOS,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0102-45,08-01-0395,TOTONICAPAN,TOTONICAPAN,COLEGIO PEDRO DE BETHANCOURT,4A AVE. 3A CALLE ZONA 1,77661118,MIGUEL AJPOP VASQUEZ,JOHANNA CRISTINA RÍOS RIVAS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0103-45,,TOTONICAPAN,TOTONICAPAN,IPMB 'BELEN',6A AVE. 6-15 ZONA 4,,,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0104-45,08-01-0390,TOTONICAPAN,TOTONICAPAN,INSTITUTO NACIONAL DE EDUCACION BASICA POR COOPERATIVA,CANTON PAQUI,30956361,FRANCISCO RECINO XALIX SAY,CASIMIRO PABLO ALVARADO TZUL,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0105-45,08-01-0393,TOTONICAPAN,TOTONICAPAN,INSTITUTO DE EDUCACION BASICA POR COOPERATIVA,ALDEA BARRANECHÉ,57663525,ROBERTO APARICIO RECINOS VALDEZ,ROGELIO JUAN VÁSQUEZ MORALES,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0106-45,08-01-0395,TOTONICAPAN,TOTONICAPAN,INEB ADSCRITO A ESCUELA NORMAL NACIONAL RURAL DE OCCIDENTE GUILLERMO OVANDO ARRIOLA,ZONA 5 PARAJE PARRAMON,77661258,MIGUEL AJPOP VASQUEZ,OTTO GILBERTO AMADO TELLO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0107-45,08-01-0395,TOTONICAPAN,TOTONICAPAN,"COLEGIO MIXTO PARTICULAR ""JUAN FRANKLIN""","3A. CALLE 12-08, ZONA 2",77661920,MIGUEL AJPOP VASQUEZ,JOSÉ LUIS IXCAQUIC AGUILAR,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0177-45,08-01-0393,TOTONICAPAN,TOTONICAPAN,INSTITUTO MIXTO DE EDUCACION BASICA POR COOPERATIVA,ALDEA LA CONCORDIA,57424281,ROBERTO APARICIO RECINOS VALDEZ,RODRIGO MANUEL AGUILAR VÁSQUEZ,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0179-45,08-01-0395,TOTONICAPAN,TOTONICAPAN,INEB INSTITUTO NACIONAL DE EDUCACION BASICA ANEXO A ENRO NO. 2,PARAJE PARRAMON ZONA 5,47772010,MIGUEL AJPOP VASQUEZ,ELVI KARINA MENCHÚ TACAM,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0180-45,08-01-0394,TOTONICAPAN,TOTONICAPAN,INEB DE TELESECUNDARIA,PARAJE PAIMUT CANTON TZANIXNAM,53173676,HEBERTO WOTZBELÍ PALACIOS JUC,ZAIRA JEANETTE MUCHUCH PACHECO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0198-45,08-024,TOTONICAPAN,TOTONICAPAN,"COLEGIO PRIVADO MIXTO ""LA FAMILIA""",6A AVENIDA 1-47 ZONA 1,77667184,MIGUEL AJPOP VASQUEZ,NICOLÁS IGNACIO AJUCÚM LÓPEZ,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0208-45,08-001,TOTONICAPAN,TOTONICAPAN,COLEGIO CIENTIFICO Y TECNOLOGICO EL PEDREGAL,CUARTA CALLE LA PEDRERA,77667252,MIGUEL AJPOP VÁSQUEZ,ANDRÉS RAMÓN GARCÍA VÁSQUEZ,BASICO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,TOTONICAPÁN
08-01-0211-45,08-01-0392,TOTONICAPAN,TOTONICAPAN,COLEGIO EVANGELICO PREUNIVERSITARIO TRILINGUE DE OCCIDENTE,CASERIO SEGUNDO PALEMOB ALDEA VASQUEZ,59862691,ANGEL RAFAEL CASTRO SAPÓN,EDWIN DAVID GUTIÉRREZ DE LEÓN,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0213-45,08-01-0396,TOTONICAPAN,TOTONICAPAN,"COLEGIO PRIVADO MIXTO ""LA FAMILIA""","1A. AVENIDA, CALLE A-38 ZONA 1",52165976,JOSÉ MANUEL CASTRO GUTIÉRREZ,JUAN GILBERTO TZIC TZIC,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0220-45,08-01-0387,TOTONICAPAN,TOTONICAPAN,"COLEGIO EVANGELICO METODISTA ""ESMIRNA""",SECTOR 2 CANTON CHUIXCHIMAL,77661272,JOSÉ VICTOR CHAMORRO HUITZ,JOSÉ ANTONIO SOLÍS TOHOM,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0221-45,08-01-0388,TOTONICAPAN,TOTONICAPAN,"COLEGIO PRIVADO MIXTO DE EDUCACIÓN BÁSICA TECNOLÓGICO INTERCULTURAL""MI GRAN TESORO""",CASERIO TZANJUYUP 1 ALDEA CHIPUAC,30996832,YESENIA CAROLINA TACÁM MORALES,SANTOS ESTEBAN TZOC MENCHÚ,BASICO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0226-45,08-001,TOTONICAPAN,TOTONICAPAN,COLEGIO PREUNIVERSITARIO JERUSALEN,"PARAJE XENAJTAJUYUP, CANTÓN CHIYAX",47047663,MIGUEL AJPOP VÁSQUEZ,JESÚS ENCARNACIÓN PUÁC CHAMORRO,BASICO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0228-45,08-01-0395,TOTONICAPAN,TOTONICAPAN,COLEGIO PRIVADO MIXTO LA SEMILLA,"11 AVENIDA 2-40 ZONA 2, TOTONICAPÁN",77667181,MIGUEL AJPOP VASQUEZ,KARLA ISELA LÓPEZ BULUX,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0231-45,08-001,TOTONICAPAN,TOTONICAPAN,CENTRO DE ESTUDIOS AVANZADOS DE TOTONICAPÁN,"9 CALLE ""A"" 08-043 ZONA 3",56769964,MIGUEL AJPOP VÁSQUEZ,MARIANO FLORENCIO MENCHÚ GARCÍA,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0236-45,08-01-0392,TOTONICAPAN,TOTONICAPAN,"INSTITUTO PRIVADO ""EDUCACIÓN PARA LA VIDA""",PARAJE PUJACAR CANTÓN XANTÚN,77663942,ANGEL RAFAEL CASTRO SAPÓN,GUADALUPE LEONOR HERNÁNDEZ GARCÍA,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0239-45,08-01-0389,TOTONICAPAN,TOTONICAPAN,COLEGIO ADVENTISTA MARANATHA,4TA. CALLE 0-10 DE LA ZONA 2,77661520,NORMA NOEMÍ MENCHÚ TACAM DE TALÉ,PATROCINIO ABELINO TZUL BARRENO,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0240-45,08-001,TOTONICAPAN,TOTONICAPAN,COLEGIO ADVENTISTA MARANATHA,4TA. CALLE 0-10 DE LA ZONA 2,77661520,MIGUEL AJPOP VÁSQUEZ,PATROCINIO ABELINO TZUL BARRENO,BASICO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,TOTONICAPÁN
08-01-0242-45,08-001,TOTONICAPAN,TOTONICAPAN,"INSTITUTO TECNOLÓGICO PARA EL DESARROLLO ""INTED""",6A. CALLE 12-25 ZONA 3,77662044,MIGUEL AJPOP VÁSQUEZ,PAULINA SILVERIA AGUILAR PEREZ,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0244-45,08-024,TOTONICAPAN,TOTONICAPAN,CENTRO DE EDUCACIÓN EXTRAECOLAR CEEX,"7MA CALLE, ZONA 3",30213510,MIGUEL AJPOP VASQUEZ,MANUEL CATARINO CHIGÜIL CUX,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,TOTONICAPÁN
08-01-0245-45,08-01-0394,TOTONICAPAN,TOTONICAPAN,INSTITUTO DE EDUCACION BASICA POR COOPERATIVA,CANTÓN TZANIXNAM,40376458,HEBERTO WOTZBELÍ PALACIOS JUC,SANTOS CATARINO YAX TOC,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0248-45,08-01-0387,TOTONICAPAN,TOTONICAPAN,CENTRO DE ESTUDIOS AVANZADOS DE TOTONICAPÁN,"9A. CALLE ""A"" 08-043 ZONA 3 TOTONICAPÁN",77663283,JOSÉ VICTOR CHAMORRO HUITZ,KAREN MYLENA RAMÍREZ OCHOA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0249-45,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO PRIVADO MIXTO EL SHADAI,8 CALLE 5-00 ZONA 4 TOTONICAPÁN,47335749,MIGUEL AJPOP VASQUEZ,JESÚS CRISTINA LÓPEZ TZOC,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0250-45,08-01-0396,TOTONICAPAN,TOTONICAPAN,"CENTRO DE ESTUDIOS Y EDUCACIÓN INTEGRAL ""CEEI""",3A. AVENIDA B-24 ZONA 1,31678056,JOSÉ MANUEL CASTRO GUTIÉRREZ,ALFREDO DOMINGO AJTÚN CANASTUJ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0251-45,08-023,TOTONICAPAN,TOTONICAPAN,COORDINACIÓN DEPARTAMENTAL DE TELESECUNDARIA DE TOTONICAPÁN,"PARAJE AGUA TIBIA, CANTÓN POXLAJUJ",79615555,---------------------------- ----------------------------------,THELMA ELIZABETH IXCAMPARIJ SAJCHÉ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0253-45,08-024,TOTONICAPAN,TOTONICAPAN,"COLEGIO PREUNIVERSITARIO ""SAN AGUSTIN""","4TA CALLE, ALDEA NIMASAC",57242098,MIGUEL AJPOP VASQUEZ,ANDRÉS RAMÓN GARCÍA VÁSQUEZ,BASICO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0256-45,08-001,TOTONICAPAN,TOTONICAPAN,"COLEGIO PREUNIVERSITARIO ""SAN AGUSTIN""","4TA CALLE, ALDEA NIMASAC",57242098,MIGUEL AJPOP VÁSQUEZ,ANDRÉS RAMÓN GARCÍA VÁSQUEZ,BASICO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,TOTONICAPÁN
08-01-0258-45,08-01-0395,TOTONICAPAN,TOTONICAPAN,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA ADSCRITA AL INSTITUTO DE BACHILLERATO EN COMPUTACIÓN,17 AVENIDA FINAL DE LA ZONA 2 17 AVENIDA FINAL DE LA ZONA 2,46190931,MIGUEL AJPOP VASQUEZ,SARA ESTELA CUÁ DE LEÓN,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0263-45,08-01-0395,TOTONICAPAN,TOTONICAPAN,"COLEGIO MIXTO PARTICULAR ""JUAN FRANKLIN""","3A. CALLE 12-08, ZONA 2",77661920,MIGUEL AJPOP VASQUEZ,JOSÉ LUIS IXCAQUIC AGUILAR,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0264-45,08-024,TOTONICAPAN,TOTONICAPAN,LICEO PREUNIVERSITARIO SAN CRISTÓBAL,"3ERA. AVENIDA A 7-64 ZONA 1, BARRIO LAS CLARAS.",42675954,MIGUEL AJPOP VASQUEZ,VIOLETA MARLENE TECÚM MALDONADO DE GODINEZ,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0269-45,08-01-0387,TOTONICAPAN,TOTONICAPAN,"CENTRO DE EDUCACIÓN EXTRAESCOLAR, ´PROGRAMA MODALIDAD FLEXIBLE PARA LA EDUCACIÓN MEDIA","PARAJE AGUA TIBIA, CANTON POXLAJUJ.",40298213,JOSÉ VICTOR CHAMORRO HUITZ,MARIA ALEJANDRA ORDOÑEZ ALVARADO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,TOTONICAPÁN
08-01-0271-45,08-01-0395,TOTONICAPAN,TOTONICAPAN,"COLEGIO MIXTO PARTICULAR ""JUAN FRANKLIN""","3A. CALLE 12-08, ZONA 2",77661920,MIGUEL AJPOP VASQUEZ,JOSÉ LUIS IXCAQUIC AGUILAR,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),TOTONICAPÁN
08-01-0333-45,08-01-0394,TOTONICAPAN,TOTONICAPAN,INEB INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA,"PARAJE XEGUACHIBAL, ALDEA MACZUL",30868849,HEBERTO WOTZBELÍ PALACIOS JUC,,BASICO,OFICIAL,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0339-45,08-01-0396,TOTONICAPAN,TOTONICAPAN,CENTRO EDUCATIVO MIXTO MAYALÁN,CALLE B CB-119 ZONA 1,48853729,JOSÉ MANUEL CASTRO GUTIÉRREZ,ALFONSO EFRAÍN TZAQUITZAL ZAPETA,BASICO,PRIVADO,URBANA,ABIERTA,BILINGUE,DOBLE,FIN DE SEMANA,TOTONICAPÁN
08-01-0470-45,08-024,TOTONICAPAN,TOTONICAPAN,"COLEGIO MIXTO PARTICULAR ""JUAN FRANKLIN""","3A. CALLE 12-08, ZONA 2",77661920,MIGUEL AJPOP VASQUEZ,JOSÉ LUIS IXCAQUIC AGUILAR,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,TOTONICAPÁN
08-01-0472-45,,TOTONICAPAN,TOTONICAPAN,IPMB ANEXO A COLEGIO 'JUAN FRANKLIN',CANTON NIMASAC,,,,BASICO,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0473-45,,TOTONICAPAN,TOTONICAPAN,IPMB ANEXO A COLEGIO 'JUAN FRANKLIN',CANTON CHIYAX,,,,BASICO,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0474-45,,TOTONICAPAN,TOTONICAPAN,IPMB ANEXO A COLEGIO 'JUAN FRANKLIN',CANTON XOLSACMALJA,,,,BASICO,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),TOTONICAPÁN
