0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
08-01-0041-42,08-01-0395,TOTONICAPAN,TOTONICAPAN,EODP CELIA DALILA DE LEON JM,9A AVE. Y 1A CALLE ZONA 2,77664089,MIGUEL AJPOP VASQUEZ,ROSA JANETH GUZMÁN FLORES,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0042-42,08-01-0395,TOTONICAPAN,TOTONICAPAN,"COLEGIO MIXTO PARTICULAR ""JUAN FRANKLIN""","3A. CALLE 12-08, ZONA 2",77661920,MIGUEL AJPOP VASQUEZ,FABIOLA CATARINA AGUILAR GARCÍA,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0043-42,,TOTONICAPAN,TOTONICAPAN,EPDP ANEXA A COLEGIO 'JUAN FRANKLIN',ALDEA NIMASAC,,,,PARVULOS,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0048-42,08-01-0395,TOTONICAPAN,TOTONICAPAN,COLEGIO PEDRO DE BETHANCOURT,4A. AVENIDA Y 3A. CALLE ZONA 1,77661118,MIGUEL AJPOP VASQUEZ,JOHANNA CRISTINA RÍOS RIVAS,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0069-42,,TOTONICAPAN,TOTONICAPAN,EODP ANEXO ESCUELA 'HECTOR NUILA ARREAGA',CASERIO TZAMATZAM ALDEA VASQUEZ,,,,PARVULOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0070-42,08-01-0391,TOTONICAPAN,TOTONICAPAN,EODP ANEXA A EORM,CANTON PAXTOCA,41853914,MARCOS MIGUEL YAX GARCÍA,ROSA ANA TZUL BATZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0078-42,08-01-0391,TOTONICAPAN,TOTONICAPAN,EODP ANEXA A EORM MAYA-QUICHE,ALDEA CHUANOJ,45362596,MARCOS MIGUEL YAX GARCÍA,HERCULANO JUAN BARRENO MENCHÚ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0087-42,08-01-0389,TOTONICAPAN,TOTONICAPAN,EODP ANEXA A EORM ADRIAN INES CHAVEZ,CANTON XOLSACMALJA,52074021,NORMA NOEMÍ MENCHÚ TACAM DE TALÉ,GEREMÍAS GARCÍA Y GARCÍA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0088-42,08-01-0387,TOTONICAPAN,TOTONICAPAN,EODP ANEXA A EORM TECUN UMAN,CANTON CHIYAX,57877867,JOSÉ VICTOR CHAMORRO HUITZ,LEONARDO RAFAEL YAX TAX,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
