0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
08-01-0044-43,08-01-0395,TOTONICAPAN,TOTONICAPAN,EOUV MIGUEL GARCIA GRANADOS,1A. CALLE 10-26 ZONA 2,58704890,MIGUEL AJPOP VASQUEZ,JULIO DARIO JUÁREZ ARCHILA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0045-43,08-01-0395,TOTONICAPAN,TOTONICAPAN,EOUV TIPO FEDERACION ATANACIO TZUL,ZONA INDEPENDENCIA,55595984,MIGUEL AJPOP VASQUEZ,MIRNA BEATRIZ BARRIOS RODRIGUEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0046-43,08-01-0395,TOTONICAPAN,TOTONICAPAN,EOUN MIGUEL GARCIA GRANADOS,1A. CALLE 10-26 ZONA INDEPENDENCIA,46733724,MIGUEL AJPOP VASQUEZ,REBECA NOEMÍ PÉREZ TZOC,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0047-43,08-01-0395,TOTONICAPAN,TOTONICAPAN,EOUN TIPO FEDERACION ATANASIO TZUL,ZONA INDEPENDENCIA,40218253,MIGUEL AJPOP VASQUEZ,ALFREDO PEDRO BAQUIAX IXCAQUIC,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0048-43,08-01-0395,TOTONICAPAN,TOTONICAPAN,COLEGIO PEDRO DE BETHANCOURT,4A. AVE. Y 3A. CALLE ZONA 1,77661118,MIGUEL AJPOP VASQUEZ,JOHANNA CRISTINA RÍOS RIVAS,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0049-43,08-01-0395,TOTONICAPAN,TOTONICAPAN,COLEGIO EVANGELICO GUATEMALA,13 AVE. Y 2A. CALLE ZONA 2,77662045,MIGUEL AJPOP VASQUEZ,CARLOS SAMUEL TAX VELÁSQUEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0050-43,08-01-0394,TOTONICAPAN,TOTONICAPAN,EORM,PARAJE XEGUACHIBAL ALDEA TZANIXNAM,49468087,HEBERTO WOTZBELÍ PALACIOS JUC,SANTOS AGUSTÍN YAX AJPOP,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0051-43,08-01-0393,TOTONICAPAN,TOTONICAPAN,EORM PAULINO LEONIDAS NORIEGA GONZALEZ,ALDEA LA CONCORDIA,49394394,ROBERTO APARICIO RECINOS VALDEZ,JOSÉ LEONARDO CUTZ BATZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0052-43,08-01-0388,TOTONICAPAN,TOTONICAPAN,EORM,ALDEA NIMASAC,46736979,YESENIA CAROLINA TACÁM MORALES,LUIS GARCÍA TÍU,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0053-43,08-01-0389,TOTONICAPAN,TOTONICAPAN,EORM,PARAJE PAJUMUJUYUP CANTON CHUISUC,58285815,NORMA NOEMÍ MENCHÚ TACAM DE TALÉ,MIGUEL ANTONIO TACAM GARCÍA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0054-43,08-01-0394,TOTONICAPAN,TOTONICAPAN,EORM,PARAJE PASAJOC CANTON MACZUL,57352988,HEBERTO WOTZBELÍ PALACIOS JUC,AMELIA ESTELA TZUNÚN VÁSQUEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0055-43,08-01-0390,TOTONICAPAN,TOTONICAPAN,EORM,CANTON JUCHANEP,30632950,FRANCISCO RECINO XALIX SAY,JOSÉ BULUX TZUL,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0056-43,08-01-0391,TOTONICAPAN,TOTONICAPAN,EORM,CANTON CHUIXTOCA,56930063,MARCOS MIGUEL YAX GARCÍA,ROSALÍA ISABEL VÁSQUEZ VICENTE,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0057-43,08-01-0396,TOTONICAPAN,TOTONICAPAN,EORM,PARAJE CHUIPACHEC FINAL ZONA UNO,44534359,JOSÉ MANUEL CASTRO GUTIÉRREZ,JOSÉ ENRIQUE HERNÁNDEZ TALÉ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0058-43,08-01-0393,TOTONICAPAN,TOTONICAPAN,EORM,PARAJE PACAPOX CANTON CHIYAX,57617855,ROBERTO APARICIO RECINOS VALDEZ,MARÍA TOMASA TAHAY TAHAY,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
