0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
08-01-0099-44,08-01-0395,TOTONICAPAN,TOTONICAPAN,EOPA OBREROS,1A CALLE 10-26 ZONA 2,,MIGUEL AJPOP VASQUEZ,ELMA MARITZA ROBLES CAMEY,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0100-44,,TOTONICAPAN,TOTONICAPAN,EPPA 'JUAN FRANKLIN',3A CALLE 12-08 ZONA 2,77661148,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0205-44,08-001,TOTONICAPAN,TOTONICAPAN,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,CALLE A 61-A ZONA 1,57003663,MIGUEL AJPOP VÁSQUEZ,VICTOR JESUS TZIC LACAN,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,A DISTANCIA,TOTONICAPÁN
08-01-0206-44,08-001,TOTONICAPAN,TOTONICAPAN,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,CALLE A I-A ZONA 1,57003663,MIGUEL AJPOP VÁSQUEZ,VICTOR JESUS TZIC LACAN,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),TOTONICAPÁN
08-01-0207-44,08-025,TOTONICAPAN,TOTONICAPAN,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,"RUINAS DEL MOLINO, PARAJE AGUA TIBIA, CANTON POXLAJUJ",30213510,VÍCTOR JESÚS TZIC LACÁN,VÍCTOR JESÚS TZIC LACÁN,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,TOTONICAPÁN
08-01-0266-44,08-024,TOTONICAPAN,TOTONICAPAN,"""CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX""","CENTRO DE CAPACITACION DE LA MUJER, 17 AVENIDA PB2-133 ZONA 2",34469374,MIGUEL AJPOP VASQUEZ,ELIDA ABAC VICENTE,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,A DISTANCIA,TOTONICAPÁN
08-01-0481-44,,TOTONICAPAN,TOTONICAPAN,"ESCUELA OFICIAL NOCTURNA, ANEXO ESCUELA OFICIAL PARA OBREROS",CANTON CHIYAX,,,,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0768-44,25-000,TOTONICAPAN,TOTONICAPAN,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),CANTON CHUANOJ,,SONIA HAYDEE REYES MONTERROSO,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,TOTONICAPÁN
08-01-0784-44,,TOTONICAPAN,TOTONICAPAN,ESCUELA OFICIAL NOCTURNA ANEXA A ESCUELA DE 'OBREROS',CANTON CHOTACAJ,,,,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0785-44,08-002,TOTONICAPAN,TOTONICAPAN,ESCUELA OFICIAL NOCTURNA ANEXA A ESCUELA 'OBREROS',ALDEA NIMASAC,,JOSÉ VICTOR CHAMORRO HUITZ,,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),TOTONICAPÁN
