0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
19-01-0008-43,19-01-1117,ZACAPA,ZACAPA,EOUN NO.1 PROFA. CARLOTA WONG DE RUIZ,BARRIO LA REFORMA,79410447,HUGO WILFREDO VARGAS CHACÓN,HILDA ARACELY SOLIS TOBAR,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0009-43,19-01-1116,ZACAPA,ZACAPA,EOUV NO.2 LIC. MANUEL ROLDAN MORENO,16 AVE. 9-51 BARRIO TAMARINDAL ZONA 1,79412820,SONIA HAYDEE RUIZ WONG,INGRID MARIBEL GARCÍA HERNÁNDEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0010-43,19-01-1116,ZACAPA,ZACAPA,EOUV NO.1,COLONIA BOSQUES DE SAN JULIAN,42115057,SONIA HAYDEE RUIZ WONG,MARIO OVIDIO AVILA PORTILLO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0011-43,19-01-1117,ZACAPA,ZACAPA,EOUM JOSE ARCHILA LEMUS,8A. CALLE 1-25 ZONA 2,79414985,HUGO WILFREDO VARGAS CHACÓN,LILIANA ANTÓN BELTETÓN,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0012-43,19-01-1116,ZACAPA,ZACAPA,EOUN NO.2 PEDRO NUFIO,BARRIO LA LADRILLERA,79414573,SONIA HAYDEE RUIZ WONG,MARÍA ESTHER GONZÁLEZ GALDAMEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0013-43,19-01-1116,ZACAPA,ZACAPA,EOUM ELBA PERALTA VIUDA DE OLAVARRUETH,"COLONIA BANVI, ZONA 4",79414187,SONIA HAYDEE RUIZ WONG,XIOMARA JUDITH PEÑA VANEGAS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0014-43,,ZACAPA,ZACAPA,ESCUELA DE APLICACION LICEO 'CENTROAMERICANO',16 AVENIDA 4-16 ZONA 1,,,,PRIMARIA,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0015-43,19-01-1116,ZACAPA,ZACAPA,"COLEGIO PARTICULAR MIXTO ""MARÍA INMACULADA""","12 CALLE ""A"" 14-03 ZONA 1, BARRIO LA LAGUNA",79414064,SONIA HAYDEE RUIZ WONG,ANGNES JUDITH PRADO LORETO,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0016-43,19-019,ZACAPA,ZACAPA,COLEGIO PARTICULAR MIXTO LUTERANO EL DIVINO SALVADOR,4A. CALLE 2-31 ZONA 2,79410254,HUGO WILFREDO VARGAS CHACON,OSCAR ORLANDO CANALES VARGAS,PRIMARIA,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0017-43,19-01-1117,ZACAPA,ZACAPA,COLEGIO BILINGÜE MONTESSORI,4A. CALLE 3-41 ZONA 2,79410965,HUGO WILFREDO VARGAS CHACÓN,WENSEL NOEMÍ HERNÁNDEZ REVOLORIO,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0018-43,19-019,ZACAPA,ZACAPA,"COLEGIO PRIVADO MIXTO EVANGELICO ""ELIM""","RESIDENCIALES SHALOM, CALLE RAMIRO DE LEON CARPIO",55146704,HUGO WILFREDO VARGAS CHACON,LUZ AMPARO CORDÓN VARGAS,PRIMARIA,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
