0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
16-01-0001-41,16-002,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA SAN PEDRITO,,MOISES ADRIAN LOPEZ PEREZ,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0002-41,16-01-0939,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA SAN JOSE ICBOLAY,50545422,AQUILES GEOVANI BAC GUEVARA,EDGAR BENJAMIN CAAL SAQUI,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0003-41,16-01-0939,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA SANTA LUCIA,57240914,AQUILES GEOVANI BAC GUEVARA,DIONICIO CHOC CÚ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0004-41,,ALTA VERAPAZ,COBAN,CPPB ANEXA A EPRM,ALDEA LAS TORTUGAS,,,,PREPRIMARIA BILINGUE,PRIVADO,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0005-41,16-01-0928,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA SAN PABLO XUCANEB,48898188,SANDRA JEANETTE GARCÍA SÁNCHEZ,MARGARITA FLORICELDA HIDALGO CHO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0006-41,16-001,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM SARBELIO MORAN CHINCHILLA,COMUNIDAD CHIVENCORRAL ZONA 12,,EFRAIN CAAL CUC,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0007-41,16-01-0932,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA BALBATZUL,53049943,CARLOS CUCUL TIUL,GIOVANI HERMENEGILDO POP OXOM,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0008-41,16-01-0932,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA SECOCPUR,47925921,CARLOS CUCUL TIUL,JORGE FRANCISCO CUZ CUCUL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0009-41,16-01-0929,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA EL ROSARIO,,ERNESTO CAAL CHOC,MARCO TULIO CHOC CAAL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0010-41,16-01-0930,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA SONTE,53809130,PATRICIO NAJARRO ASENCIO,LEONEL OVIDIO CHIQUIN BÍN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
