0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
16-01-0133-44,16-01-0923,ALTA VERAPAZ,COBAN,EOPA,3A CALLE ZONA 4,,EFRAIN CAAL CUC,LESLY EUGENIA CHOCOOJ VIDAURRE,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0134-44,16-01-0926,ALTA VERAPAZ,COBAN,"COLEGIO ""LA INMACULADA""",7A. AVENIDA 11-109 ZONA 6,49532425,JOSE ARTURO CHOC CHEN,VIRGINIA SOLANO SERRANO,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0597-44,16-001,ALTA VERAPAZ,COBAN,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,2DA. CALLE 2-11 ZONA 2,79522451,EFRAIN CAAL CUC,MAXIMILIANO ICAL,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,A DISTANCIA,ALTA VERAPAZ
16-01-0598-44,16-001,ALTA VERAPAZ,COBAN,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,2 CALLE A 2-11 ZONA 2,53467801,EFRAIN CAAL CUC,MEGLY ODETT VILLALOBOS SOLORZANO,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0599-44,16-01-0923,ALTA VERAPAZ,COBAN,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,"7A. AVENIDA 2-18 ""D"" ZONA 1",50307740,EFRAIN CAAL CUC,MARIO SEBASTIAN CAZ CHÚN,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0688-44,16-01-0923,ALTA VERAPAZ,COBAN,"ISEA ""LA ESCUELA EN SU CASA""",1A. AV. 4-24 ZONA 2,77930803,EFRAIN CAAL CUC,LUDWING JOEL NORIEGA MORALES,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,ALTA VERAPAZ
16-01-0692-44,16-01-0925,ALTA VERAPAZ,COBAN,COLEGIO LA LIBERTAD,3A. AV. 5-12 ZONA 4,55564568,NORA LILIANA FIGUEROA HERNÁNDEZ,SILVIA YOLANDA CAAL QUIM,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,ALTA VERAPAZ
16-01-0693-44,16-031,ALTA VERAPAZ,COBAN,COLEGIO LA LIBERTAD,3AV. 5-12 ZONA 4,55564568,PATRICIO NAJARRO ASENCIO,ERICK GIOVANNI CAAL DE LEÓN,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,SEMIPRESENCIAL,ALTA VERAPAZ
16-01-3657-44,,ALTA VERAPAZ,COBAN,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),COLONIA NUEVA ESPERANZA,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,ALTA VERAPAZ
16-02-1515-44,,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,EPPA,CANTON LOS ANGELES,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ
16-02-3665-44,,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),ALDEA LAS PACAYAS,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,ALTA VERAPAZ
16-03-0099-44,16-03-0944,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,COLEGIO NUESTRA SEÑORA DE LOS DESAMPARADOS,"5A. AVENIDA 0-28 ZONA 1, BARRIO SAN FELIPE",79504462,EMILIO RUBÉN CAÁL GUALIB,ANA JULIA MENDEZ PRERA,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ
16-03-0240-44,16-008,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,EPPA SAN JOSE,5A. AV. 0-28 ZONA 1. BARRIO SAN FELIPE,79504462,EMILIO RUBÉN CAAL GUALIB,MARÍA JOSE LORENZANA,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ
16-03-3662-44,,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,ALTA VERAPAZ
16-04-2307-44,16-04-0947,ALTA VERAPAZ,TACTIC,ESCUELA NOCTURNA DE ADULTOS,BARRIO ASUNCION,36506388,ILEANA VERÓNICA MACZ CALACH,SANDRA PATRICIA BAILÓN DE LA CRUZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ
