0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
15-01-0001-41,15-01-0891,BAJA VERAPAZ,SALAMA,COPB ANEXO A EORM,ALDEA EL TEMPISQUE,,MIGUEL ANGEL ATZIJ PICON,MIRLA ROXANA IBOY ORTÍZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0078-41,15-002,BAJA VERAPAZ,SALAMA,COPB ANEXO A EORM,ALDEA SAN ANTONIO EL SITIO,,MIGUEL ANGEL ATZIJ PICON,---,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0330-41,15-01-0893,BAJA VERAPAZ,SALAMA,COPB ANEXO A EORM,ALDEA TRAPICHE DE AGUA,42393664,BOYMAN GYRIONE MILIÁN GUZMÁN,GLADYS ROXANA GARCIA CABALLEROS,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-1243-41,15-01-0893,BAJA VERAPAZ,SALAMA,COPB ANEXA A EORM,ALDEA SANTA INES CHIVAC,47970839,BOYMAN GYRIONE MILIÁN GUZMÁN,CELIA NATALÍ GARCÍA PORRES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-1244-41,15-01-0891,BAJA VERAPAZ,SALAMA,COPB ANEXO A EORM,ALDEA PASO ANCHO,54947815,MIGUEL ANGEL ATZIJ PICON,MARÍA ELVIRA SUMPANGO RODRÍGUEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-1276-41,,BAJA VERAPAZ,SALAMA,CPPB ANEXA A EORM,SANTA MARTA CHIBETZUL,,,,PREPRIMARIA BILINGUE,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-1483-41,,BAJA VERAPAZ,SALAMA,COPB,COMUNIDAD JALAUTE HACIENDA,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-1623-41,15-001,BAJA VERAPAZ,SALAMA,CENTRO EDUCATIVO MAYA BILINGUE INTERCULTURAL KAB LAJUJ IQ,BARRIO LOS LEONES ALDEA EL TEMPISQUE,,IRIS QUETZALÍ ORDOÑEZ TURCIOS,,PREPRIMARIA BILINGUE,PRIVADO,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-1661-41,15-01-0893,BAJA VERAPAZ,SALAMA,COPB ANEXO A EORM,"CASERIO LAS TEJAS, ALDEA LA CANOA",48624758,BOYMAN GYRIONE MILIÁN GUZMÁN,ADELA VICTORIA SIC CHEN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-02-0001-41,15-02-0898,BAJA VERAPAZ,SAN MIGUEL CHICAJ,COPB ANEXO A EORM,ALDEA SAN FRANCISCO,35658704,WILSON ESTUARDO CANAHUÍ JÁ,BRENDA MARICELA CANAHUI COLOCHO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-02-0008-41,15-02-0898,BAJA VERAPAZ,SAN MIGUEL CHICAJ,COPB ANEXA A EORM,"CASERIO LOS ENCUENTROS, ALDEA SAN FRANCISCO",47323775,WILSON ESTUARDO CANAHUÍ JÁ,GLENDY MARITZA CUQUEJ CANAHUÍ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-02-0042-41,15-02-0898,BAJA VERAPAZ,SAN MIGUEL CHICAJ,COPB ANEXO A EORM,CASERIO RINCONADA DE CHUPEL,55731157,WILSON ESTUARDO CANAHUÍ JÁ,DORIS ODEBIA HERNÁNDEZ GONZÁLEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-02-0053-41,15-02-0896,BAJA VERAPAZ,SAN MIGUEL CHICAJ,COPB ANEXO A EOUM,CANTON SAN JUAN,59114200,HUGO RAMIRO GONZÁLEZ CANAHUÍ,MARIA ROSA TEMÚ BOLVITO,PREPRIMARIA BILINGUE,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-02-0054-41,,BAJA VERAPAZ,SAN MIGUEL CHICAJ,COPB ANEXO A EORM,ALDEA SAN FRANCISCO,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
