0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
04-01-0001-41,,CHIMALTENANGO,CHIMALTENANGO,COPB ANEXA A EORM,ALDEA TONAJUYU BUENOS AIRES,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0002-41,04-01-0213,CHIMALTENANGO,CHIMALTENANGO,COPB ANEXA A EORM,ALDEA CERRO ALTO,57527774,NORMAN EDUARDO PINTO CELIS,MARTIN GARCÍA ALVAREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0003-41,04-003,CHIMALTENANGO,CHIMALTENANGO,COPB ANEXA A EORM,ALDEA CIENAGA GRANDE,,NORMAN EDUARDO PINTO CELIS,-,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0102-41,04-01-0218,CHIMALTENANGO,CHIMALTENANGO,COPB ANEXA A EORM,ALDEA TONAJUYU DEL CENTRO,,MARIA AMELIA ADRIANA CAMEY GUERRA,MARÍA INES GUERRA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0103-41,04-01-0218,CHIMALTENANGO,CHIMALTENANGO,COPB ANEXA A EORM,ALDEA SAN ANTONIO LAS MINAS,,MARIA AMELIA ADRIANA CAMEY GUERRA,JORGE MARIO CUMEZ GUERRA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0104-41,04-01-0218,CHIMALTENANGO,CHIMALTENANGO,COPB ANEXO A EORM,ALDEA TONAJUYU BUENOS AIRES,46911966,MARIA AMELIA ADRIANA CAMEY GUERRA,JUAN EMILIO CUMEZ GUERRA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0188-41,04-01-0216,CHIMALTENANGO,CHIMALTENANGO,COPB ANEXO A EORM DE APLICACION CENTRO AMERICA,FINCA LA ALAMEDA,78391337,KARLA YADIRA PÉREZ SALAZAR,RONY WALDEMAR ROCA RUÍZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0189-41,04-01-0212,CHIMALTENANGO,CHIMALTENANGO,COPB ANEXO A EORM,ALDEA SAN MARCOS PACOC,36018787,EDNA NOHELIA PÉREZ TOJ,MARVIN ABRAHAM GALINDO ESTRADA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0539-41,04-01-0213,CHIMALTENANGO,CHIMALTENANGO,COPB ANEXA A EORM,ALDEA EL DURAZNO,41506821,NORMAN EDUARDO PINTO CELIS,MARIO OSWALDO AJSIVINAC,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
