0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
04-01-0040-44,04-01-0211,CHIMALTENANGO,CHIMALTENANGO,ESCUELA OFICIAL PARA ADULTOS,1A. CALLE 10-57 ZONA 3,78396907,ABIMAEL ACUTA ABAJ,AMARILIS MORALES RIVERA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0041-44,04-027,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO ""JOSÉ SIMEÓN CAÑAS Y VILLACORTA""",4A. AVENIDA 2-95 ZONA 3,78393574,MARÍA ROSALBA OVALLE CARCUS DE MAXÍA,IRMA ARACELI MENDOZA ALCÚ VIUDA DE SAY,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0042-44,04-001,CHIMALTENANGO,CHIMALTENANGO,EPPA COLEGIO 'AMERICA',CHIMALTENANGO,,ABIMAEL ACUTA ABAJ,JAVIER SÁNCHEZ,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0043-44,04-01-0214,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO EVANGÉLICO AMÉRICA LATINA,6A. AVENIDA 3-48 ZONA 5,78391447,MARILENA HERNÁNDEZ CABRERA,AXEL EDUARDO ESTRADA CHÁVEZ,PRIMARIA DE ADULTOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0155-44,04-029,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,6A AVENIDA 1-32 ZONA 1,53316905,MARCO TULIO AJQUEJAY PICHIYA,MARCO TULIO AJQUEJAY PICHIYA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,A DISTANCIA,CHIMALTENANGO
04-01-0156-44,04-029,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,6A AVENIDA 1-32 ZONA 1,53316905,MARCO TULIO AJQUEJAY PICHIYA,MARCO TULIO AJQUEJAY PICHIYA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0157-44,04-029,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,1A. CALLE 5-78 ZONA 3,59457264,MARCO TULIO AJQUEJAY PICHIYA,MARCO TULIO AJQUEJAY PICHIYÁ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-0160-44,04-01-0220,CHIMALTENANGO,CHIMALTENANGO,LICEO NUEVA GENERACIÓN,1A. AVENIDA 4-52 ZONA 4,55808231,KARLA YADIRA PÉREZ SALAZAR,LESLIE IVETTE SÁNCHEZ VÁSQUEZ,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0302-44,04-001,CHIMALTENANGO,CHIMALTENANGO,CENTRO EDUCATIVO LA ESCUELA EN SU CASA CHIMALTENANGO,5A. AVENIDA 1-45 ZONA 4,78391189,ABIMAEL ACUTA ABAJ,VANY MAGDAI MORALES HERNANDEZ,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
