0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
20-01-0022-44,20-01-1143,CHIQUIMULA,CHIQUIMULA,EOPA,"10A AVE 3-10 ZONA 1, CHIQUIMULA",59497648,NINETH DEL ROSARIO MORALES SANCE DE REYES,MERCEDES YADIRA FLORES MEJÍA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),CHIQUIMULA
20-01-0023-44,20-01-1144,CHIQUIMULA,CHIQUIMULA,EPPA 'EL CALVARIO',6A. AVENIDA 5-68 ZONA 1,79425648,CESAR HELAMAN GARCÍA LÓPEZ,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DOMINICAL,CHIQUIMULA
20-01-0162-44,20-01-1146,CHIQUIMULA,CHIQUIMULA,INSTITUTO TECNOLOGICO PRIVADO DE ORIENTE,4TA. AV 4-20 ZONA 1,79425959,MERY ELISABET CALDERÓN CASTILLO,LUIS ALBERTO CACERES ALONZO,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0186-44,20-030,CHIQUIMULA,CHIQUIMULA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,8VA. CALLE 7-24 BAJAJDA DEL CORINTO ZONA 1,40104955,VILMA ESPERANZA LOPEZ INTERIANO,VILMA ESPERANZA LOPEZ INTERIANO,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,A DISTANCIA,CHIQUIMULA
20-01-0187-44,20-030,CHIQUIMULA,CHIQUIMULA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,8VA. CALLE 7-24 BAJADA DEL CORINTO ZONA 1,40104955,VILMA ESPERANZA LOPEZ INTERIANO,GRISELDA LISETH FRANCO GUTIERREZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIQUIMULA
20-01-0188-44,20-030,CHIQUIMULA,CHIQUIMULA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,CALLE A 1-A ZONA 1,53697311,VILMA ESPERANZA LOPEZ INTERIANO,ENMA ELIZABETH FRANCO BARILLAS,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0196-44,20-01-1187,CHIQUIMULA,CHIQUIMULA,COLEGIO SUPERIOR DE INFORMATICA HIGA,1RA. CALLE 5-61 ZONA 2,30631989,KAREN SUCETH GUERRA CALDERÓN,VIVIAN GABRIELA SALGUERO ROLDÁN,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0203-44,20-024,CHIQUIMULA,CHIQUIMULA,COLEGIO EVANGELICO MIXTO ADONAI,8A. AVENIDA 4-40 ZONA 1,79424111,SILVIA MARILENA BUEZO MARTINEZ,RAFAEL MANRIQUE CORDERO HERNÁNDEZ,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0214-44,20-024,CHIQUIMULA,CHIQUIMULA,LICEO ISRAELÍ,5TA. CALLE 4-11 ZONA 1,79422500,SILVIA MARILENA BUEZO MARTINEZ,MÁRILYN TATIANA SALGUERO ROLDÁN,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0233-44,20-01-1146,CHIQUIMULA,CHIQUIMULA,COLEGIO MIXTO EN TECNOLOGÍA LATINOAMERICANO,3RA. AVENIDA 4-49 ZONA 1,54706013,MERY ELISABET CALDERÓN CASTILLO,JAQUELINE EDITH SANTIAGO RAMOS,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0603-44,25-000,CHIQUIMULA,CHIQUIMULA,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),CHIQUIMULA,,SONIA HAYDEE REYES MONTERROSO,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,CHIQUIMULA
20-01-2344-44,20-027,CHIQUIMULA,CHIQUIMULA,LICEO TECNOCIENCIA BILINGUE DE CHIQUIMULA,4A. CALLE 9-30 ZONA 1,79438419,SILVIA MARILENA BUEZO MARTINEZ,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-2376-44,20-01-1144,CHIQUIMULA,CHIQUIMULA,COLEGIO PRIVADO MIXTO BENDICION,4A. CALLE A 13-25 ZONA 1,41007884,CESAR HELAMAN GARCÍA LÓPEZ,AXEL YOVANY VILLELA MONROY,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-02-0612-44,25-000,CHIQUIMULA,SAN JOSE LA ARADA,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),ALDEA SASPUA,,SONIA HAYDEE REYES MONTERROSO,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,CHIQUIMULA
20-04-0194-44,20-04-1153,CHIQUIMULA,JOCOTAN,EOPA,BARRIO SAN LORENZO,,SERGIO ESTUARDO MEDINA GUDIEL,CARLOS ALFREDO LEMUS DIAZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),CHIQUIMULA
20-04-0607-44,,CHIQUIMULA,JOCOTAN,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,CHIQUIMULA
20-04-0608-44,,CHIQUIMULA,JOCOTAN,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,CHIQUIMULA
20-06-0609-44,,CHIQUIMULA,OLOPA,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA,CASA PARROQUIAL,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,CHIQUIMULA
20-07-0109-44,20-07-1175,CHIQUIMULA,ESQUIPULAS,COLEGIO DE EDUCACIÓN PARA ADULTOS SEMILLA DE VIDA,3A. CALLE 2-13 ZONA 2 BARRIO NUEVO,59748507,EDNA ODILIA ACEVED0,EDY NOÉ VIDES MEJÍA,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-07-0133-44,20-07-1172,CHIQUIMULA,ESQUIPULAS,COLEGIO PRIVADO MIXTO BENDICIÓN,6A. AVENIDA 6-99 ZONA 1 BARRIO SAN JOAQUÍN,42194761,HEIDY ARACELY PAYES GREGORIO,ANA KAREN HERNÁNDEZ MARTÍNEZ,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-07-0325-44,20-07-1174,CHIQUIMULA,ESQUIPULAS,EOPA,10A CALLE 6-26 ZONA 1,58290997,ERICK ESTUARDO ALVARADO GALVAN,MARIO DE JESÚS ALARCÓN PINTO,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),CHIQUIMULA
20-07-0605-44,,CHIQUIMULA,ESQUIPULAS,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA,ESQUIPULAS,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,CHIQUIMULA
20-08-0604-44,,CHIQUIMULA,CONCEPCION LAS MINAS,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),EL OBRAJE,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,CHIQUIMULA
20-09-0610-44,,CHIQUIMULA,QUEZALTEPEQUE,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA,,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-10-0611-44,,CHIQUIMULA,SAN JACINTO,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,CHIQUIMULA
20-11-0606-44,,CHIQUIMULA,IPALA,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,CHIQUIMULA
