0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
00-01-0147-44,01-402,CIUDAD CAPITAL,ZONA 1,EOPA 'CENTRO DE RECUPERACION DE LISIADOS FISICOS',13 CALLE 0-18,22325742,CARLOS HUMBERTO GONZALEZ DE LEON,,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0148-44,01-402,CIUDAD CAPITAL,ZONA 1,EOPA NO.16 'LISANDRO SANDOVAL',7A AVE. 13-73,22537856,CARLOS HUMBERTO GONZALEZ DE LEON,,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0149-44,01-01-0037,CIUDAD CAPITAL,ZONA 1,EOPA NO.26 JOSE JOAQUIN PARDO,3 AV. C 24-24 AV. EL FERROCARRIL,57123025,CARLOS HUMBERTO GONZALEZ DE LEON,JESSICA LIZETH PENELEU LÓPEZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0150-44,01-01-0041,CIUDAD CAPITAL,ZONA 1,EOPA NO.14 RAFAEL MOREIRA,10 CALLE 2-37,58712031,CARLOS HUMBERTO GONZALEZ DE LEON,HAROLDO GIOVANI MORENO GÓMEZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0151-44,01-01-0038,CIUDAD CAPITAL,ZONA 1,EOPA NO.1 TOMAS CACELLA,15 CALLE 11-12,53932119,CARLOS HUMBERTO GONZALEZ DE LEON,MILAGRO CHALI SIMON,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0152-44,01-01-0039,CIUDAD CAPITAL,ZONA 1,EOPA NO.10 H. ABRAHAM CABRERA,AVE. SAN JOSE 4-78,22518096,CARLOS HUMBERTO GONZALEZ DE LEON,MIRNA NINNETH ELIZONDO ORELLANA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0153-44,,CIUDAD CAPITAL,ZONA 1,EPPA CENTRO EDUCATIVO 'EL SEMBRADOR',12 CALLE 3-60,22325044,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-0277-44,01-403,CIUDAD CAPITAL,ZONA 1,INSTITUTO Y ACADEMIA PRACTICA COMERCIAL,6A. CALLE 0-25,22202870,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DOMINICAL,GUATEMALA NORTE
00-01-0294-44,01-627,CIUDAD CAPITAL,ZONA 1,COLEGIO EN COMPUTACION SAN JOSE NO. 1,4A. AVENIDA 3-39,,ISAURA AMPARO RECINOS CARRILLO,ANA MARIA NORIEGA RODAS,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-0319-44,01-01-0038,CIUDAD CAPITAL,ZONA 1,LICEO HISPANOAMERICANO NO. 2,2A. CALLE 7-11,22205687,CARLOS HUMBERTO GONZALEZ DE LEON,MARÍA ISABEL POLANCO PAZ,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-0418-44,01-01-0039,CIUDAD CAPITAL,ZONA 1,CENTRO EDUCACIONAL MIXTO PRIVADO KINGSTON,8 CALLE 12-46,22320683,CARLOS HUMBERTO GONZALEZ DE LEON,PATRICIA LORENA LIDIA GIDI DAVID,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-0431-44,01-403,CIUDAD CAPITAL,ZONA 1,CENTRO DE ESTUDIOS INTEGRALES HUGO ROBLES,9A. CALLE 3-40 ZONA 1,22383733,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,RUDY RODULFO MEJIA MENDEZ,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-0454-44,01-01-0041,CIUDAD CAPITAL,ZONA 1,LICEO PROFESIONAL SANTANDER,2DA. AVENIDA 8-27,22212688,CARLOS HUMBERTO GONZALEZ DE LEON,JORGE ABRAHAM CAMEY PRETZANCIN,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-0474-44,01-410,CIUDAD CAPITAL,ZONA 1,LICEO INTEGRAL BILINGUE LAN-DER,5A AVENIDA 2-24 ZONA 1,59235429,CEDWIN EUGENIO CRUZ BUCARO,ROSSANA VERONICA TELON OTZOY,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
