0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
05-01-0106-44,05-01-0261,ESCUINTLA,ESCUINTLA,ESCUELA OFICIAL PARA ADULTOS JOSE MARTI,4A AVE. Y 7A CALLE ZONA 1,56078531,EMILSA NOEMI GARCÍA FUENTES,LUIS EDUARDO MORALES BELTRÁN,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ESCUINTLA
05-01-0107-44,05-001,ESCUINTLA,ESCUINTLA,ESCUELA OFICIAL PARA ADULTOS,GRANJA MODELO DE REHABILITACION 'CANADA',,MARIA DEL CARMEN SANDOVAL LOPEZ,,PRIMARIA DE ADULTOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0221-44,05-001,ESCUINTLA,ESCUINTLA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,"1 AVENIDA Y 1 CALLE ZONA 2, COMERCIAL PLAZA PALMERA LOCAL 73 Y 37 A",40738880,MARIA DEL CARMEN SANDOVAL LOPEZ,CLAUDIA YADIRA GUZMAN MONTEPEQUE,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,A DISTANCIA,ESCUINTLA
05-01-0222-44,05-001,ESCUINTLA,ESCUINTLA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,"1 AVENIDA Y 1 CALLE ZONA 2, COMERCIAL PLAZA PALMERA LOCAL 73 Y 37 A",40738880,MARIA DEL CARMEN SANDOVAL LOPEZ,---,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ESCUINTLA
05-01-0223-44,05-028,ESCUINTLA,ESCUINTLA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,"1 AVENIDA Y 1 CALLE ZONA 2, COMERCIAL PLAZA PALMERAS LOCAS LOCAL 73 Y 37 A",54860480,CLAUDIA YADIRA GUZMAN MONTEPEQUE DE AREVALO,CLAUDIA YADIRA GUZMÁN MONTEPEQUE,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0302-44,05-01-0261,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO EL BOSQUE,1A. CALLE A 4-52 ZONA 2 COLONIA EL QUETZAL,56932945,EMILSA NOEMI GARCÍA FUENTES,EMILSA NOEMÍ GARCÍA FUENTES,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0375-44,05-01-0260,ESCUINTLA,ESCUINTLA,"CENTRO EDUCATIVO ""JAVIER CAST""","6A. AVENIDA 0-82 ZONA 4, COLONIA LOS NARANJALES",43058165,REMY ARTURO SINAY GUDIEL,STEPHANIE MARILYN ANDRADE,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0391-44,05-001,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO APRENDER PARA CRECER,"1A AVENIDA Y 5A CALLE, ZONA 3 COLONIA ROSALINDA INSTALACIONES QUE OCUPA LA EORM JM COLONIA ROSALINDA.",49373081,MARIA DEL CARMEN SANDOVAL LOPEZ,MILDRED AZUCENA PACHECO,PRIMARIA DE ADULTOS,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0406-44,05-028,ESCUINTLA,ESCUINTLA,CENTRO DE EDICACIÓN EXTRAESCOLAR CEEX.,GRANJA MODELO DE REHABILITACIÓN CANADA.,49140813,CLAUDIA YADIRA GUZMAN MONTEPEQUE DE AREVALO,KAREN YEZENIA CLARA CASTILLO,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
