0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
01-05-0085-41,01-111,GUATEMALA,PALENCIA,"COLEGIO MIXTO BILINGÜE ""LA MONTAÑITA""",CASERIO JOYA HONDA ALDEA MARILLANOS,45686707,ROSA ALBA LOPEZ PIRIR,ALMA DENISSE MONTOYA OROZCO,PREPRIMARIA BILINGUE,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-07-1406-41,01-07-0071,GUATEMALA,SAN PEDRO AYAMPUC,COPB ANEXO A EORM NO. 887,ALDEA SAN JOSE NACAHUIL,51959384,EDELFI NOEMI OLIVA REYES,MARÍA ANGÉLICA PEINADO PIXTUN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-07-9511-41,01-114,GUATEMALA,SAN PEDRO AYAMPUC,COPB ANEXO A EORM NO.891,LOTE 7 MANZANA M SECTOR 2 COLONIA LA LEYENDA,,ROSA MONROY PIXTUN DE SURET,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-08-6284-41,,GUATEMALA,MIXCO,COLEGIO JARDIN INFANTIL 'MI PARQUECITO'.,"7 AV. 14-64 COL. PRIMERO DE JULIO, ZONA 5 DE MIXCO.",55959327,,,PREPRIMARIA BILINGUE,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-08-6518-41,,GUATEMALA,MIXCO,COPB,LO DE FUNTES II,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-08-6614-41,,GUATEMALA,MIXCO,COLEGIO MIXTO 'EL MENSAJERO DEL SABER',"2A. AVENIDAD 12-36 ZONA 6, COLONIA SAN FRANCISCO II",55933026,,,PREPRIMARIA BILINGUE,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-09-0009-41,01-09-0091,GUATEMALA,SAN PEDRO SACATEPEQUEZ,COPB ANEXO A EORM,"CASERIO EL AGUACATE, ALDEA VISTA HERMOSA",54916763,SILVIA MAGALY GARCÍA GARCÍA,HUMBERTO SOLANO YUP NIJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-09-2664-41,,GUATEMALA,SAN PEDRO SACATEPEQUEZ,COPB ANEXO A EORM,CASERIO CRUZ DE PIEDRA ALDEA VISTA HERMOSA,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-09-2665-41,,GUATEMALA,SAN PEDRO SACATEPEQUEZ,COPB ANEXA A EORM,ALDEA BUENA VISTA,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-09-2667-41,01-09-0091,GUATEMALA,SAN PEDRO SACATEPEQUEZ,COPB ANEXO A EORM VISTA HERMOSA I,"KM. 22, ALDEA VISTA HERMOSA",54699945,SILVIA MAGALY GARCÍA GARCÍA,ROBERTO ANTONIO PATZÁN TUQUER,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-09-2668-41,,GUATEMALA,SAN PEDRO SACATEPEQUEZ,COPB ANEXO A ESCUELA RURAL MIXTA,ALDEA CHILLANI,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-09-2775-41,,GUATEMALA,SAN PEDRO SACATEPEQUEZ,COPB ANEXO A ESCUELA RURAL MIXTA,ALDEA CHILLANI,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-09-6041-41,,GUATEMALA,SAN PEDRO SACATEPEQUEZ,COPB ANEXA A EORM,CANTON SAN MARTIN ALDEA VISTA HERMOSA,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-09-6260-41,,GUATEMALA,SAN PEDRO SACATEPEQUEZ,EORM NO. 1835 VISTA HERMOSA I,KM. 22 CARRETERA A SAN JUAN SACATEPEQUEZ,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-09-6664-41,,GUATEMALA,SAN PEDRO SACATEPEQUEZ,COPB ANEXA EORM,KILOMTRO 20.5 CARRETERA SAN JUAN,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-09-6667-41,01-09-0091,GUATEMALA,SAN PEDRO SACATEPEQUEZ,COPB ANEXO A EORM BILINGÜE,CANTON LAS LIMAS ALDEA VISTA HERMOSA,46453816,SILVIA MAGALY GARCÍA GARCÍA,DELMIS ALEIDA CHOC ORTIZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-09-9557-41,01-09-0092,GUATEMALA,SAN PEDRO SACATEPEQUEZ,COPB ANEXO A EORM,"CASERIO LOS VASQUEZ, ALDEA BUENA VISTA",54515083,SILVIA MAGALY GARCÍA GARCÍA,HECTOR DAVID POCÓN CHUQUIÉJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-0178-41,01-605,GUATEMALA,SAN JUAN SACATEPEQUEZ,"COPB ANEXA A EORM "" DOCTORA ANA MARGARITA RICHARDSSON ESCOBAR""",COLONIA LAS MARGARITAS,79203302,EVERILDA HERNANDEZ MARROQUIN DE LORENZANA,NORMA ELIZABETH MEJIA ALAY DE CHICOHAY,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-1750-41,01-10-0098,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB,ALDEA PACHALI,36035160,MARIA ANTONIETA PATZAN VICENTE,NÉLSON VIRGILIO COC SUBUYUJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-1753-41,01-10-0099,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ESCUELA OFICIAL RURAL NO. 870 J.M.,ALDEA CRUZ BLANCA,39173497,MARÍA LOURDES BÚCARO REYES DE LÓPEZ,MARTA ADELINA SABÁN AJVATZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
