0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
01-01-1239-44,01-403,GUATEMALA,GUATEMALA,EOPA NO.34,ALDEA CANALITOS ZONA 17,58250659,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,JESÚS ISABEL ALVAREZ GARCÍA,PRIMARIA DE ADULTOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1240-44,,GUATEMALA,GUATEMALA,ESCUELA PRIVADA PARA ADULTOS COLEGIO 'OSORIO SANDOVAL',4A AVE. 6-30 COLONIA VASQUEZ ALDEA GUAJITOS,24493119,,,PRIMARIA DE ADULTOS,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-2871-44,,GUATEMALA,GUATEMALA,COLEGIO 'EMILENO',"3 AVE 7-33 ZONA 21, COLONIA VASQUEZ",,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-8175-44,,GUATEMALA,GUATEMALA,LICEO APLICADO EN COMPUTACION,2A. CALLE 6-77 ZONA 1,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
01-02-4338-44,25-000,GUATEMALA,SANTA CATARINA PINULA,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),SANTA CATARINA PINULA,,SONIA HAYDEE REYES MONTERROSO,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,GUATEMALA ORIENTE
01-03-0166-44,01-03-0055,GUATEMALA,SAN JOSE PINULA,LICEO MIXTO PINULTECO,4TA CALLE 4-24 ZONA 1 SAN JOSE PINULA GUATEMALA,66762098,BLANCA SARAI GUTIERREZ PINEDA,KAREN ROCÍO CASTAÑEDA URBINA,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,A DISTANCIA,GUATEMALA ORIENTE
01-03-1306-44,01-03-0055,GUATEMALA,SAN JOSE PINULA,EOPA NO.57,"1A CALLE 8-36, ZONA 2, SAN JOSE PINULA, GUATEMALA",50502259,BLANCA SARAI GUTIERREZ PINEDA,RAFAEL ISPACHE MONTERROSO,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-03-1307-44,01-405,GUATEMALA,SAN JOSE PINULA,EPPA BR. MIGUEL ANGEL CIFUENTES MENDEZ,5A CALLE 3-22 ZONA 2,66348335,BLANCA SARAI GUTIERREZ PINEDA,FELIX RAMIRO CIFUENTES MÉNDEZ,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA ORIENTE
01-03-2422-44,01-405,GUATEMALA,SAN JOSE PINULA,EOPA NO.48 'JUAN JOSE OROZCO POSADAS',"SAN JOSE PINULA, GUATEMALA",,BLANCA SARAI GUTIERREZ PINEDA,,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-03-4342-44,25-000,GUATEMALA,SAN JOSE PINULA,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),2A. AVENIDA 1-39 ZONA 4 PARROQUIA SAN JOSE PINULA,,SONIA HAYDEE REYES MONTERROSO,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,GUATEMALA ORIENTE
01-03-8251-44,01-03-0055,GUATEMALA,SAN JOSE PINULA,CENTRO EDUCATIVO INTEGRAL EL SABER,2A. CALLE 1-40 ZONA 2 SAN JOSE PINULA,50620000,BLANCA SARAI GUTIERREZ PINEDA,JUAN CAMO CORTEZ,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA ORIENTE
01-05-0015-44,01-407,GUATEMALA,PALENCIA,LICEO NUESTRA SEÑORA DEL CASTILLO,"3A. CALLE LOTE 7, MANZANA E, RESIDENCIALES LA JOYA DE PALENCIA",,LILIAN YOLANDA RODRIGUEZ PINTO DE CASTRO,FRANCISCO PEREZ JAVIER,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
01-05-0051-44,01-108,GUATEMALA,PALENCIA,COLEGIO GUATEMALTECO TIKAL,"KILOMETRO 33 CALLE REAL ZONA 0, ALDEA LOS MIXCOS",42545421,PEDRO ADOLFO LUCERO ROSALES,GRISELDA DEL CARMEN MORALES DEL CID,PRIMARIA DE ADULTOS,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
01-05-0065-44,01-99-0045,GUATEMALA,PALENCIA,ESCUELA OFICIAL PARA ADULTOS,CENTRO CIVICO CALLE REAL,49198987,JOSE ROBERTO ESTRADA RAMIREZ,SANDRA JEANNETTE GONZÁLES PÉREZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
01-05-0067-44,01-108,GUATEMALA,PALENCIA,LICEO MONTEGAL,"SECTOR 2, LOTE 3-09",54160304,PEDRO ADOLFO LUCERO ROSALES,JULIO CASTELLANOS BOBADILLA,PRIMARIA DE ADULTOS,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
01-05-0104-44,01-108,GUATEMALA,PALENCIA,COLEGIO GUATEMALTECO TIKAL NO. 2,"3A. CALLE 4-112, CANTÓN AGUA TIBIA",37278044,PEDRO ADOLFO LUCERO ROSALES,GRISELDA DEL CARMEN MORALES DEL CID,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
01-05-4340-44,25-000,GUATEMALA,PALENCIA,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),JOYA DE LOS CEDROS,,SONIA HAYDEE REYES MONTERROSO,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,GUATEMALA NORTE
