0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
13-01-0344-41,13-001,HUEHUETENANGO,HUEHUETENANGO,COLEGIO MIXTO INTEGRAL JUANA DE ARCO,"9A. CALLE ""A"" 13-21, ZONA 5",77647734,HUGO GONZÁLEZ SALVADOR,AUGUSTO RUFINO TELLO GARCIA,PREPRIMARIA BILINGUE,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-1594-41,,HUEHUETENANGO,HUEHUETENANGO,COLEGIO PRIVADO MIXTO 'LA PAZ',3 CALLE FINAL 3-90 ZONA 4,,,,PREPRIMARIA BILINGUE,PRIVADO,URBANA,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-2298-41,,HUEHUETENANGO,HUEHUETENANGO,CENTRO PRIVADO PREPRIMARIA BILINGUE,CASERIO TUICNXLAJ,,,,PREPRIMARIA BILINGUE,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-5035-41,,HUEHUETENANGO,HUEHUETENANGO,COLEGIO CRISTIANO BILINGUE 'PARAISO INFANTIL',"5A. AV. COLONIA LAS DELICIAS, ZONA 6.",,,,PREPRIMARIA BILINGUE,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-02-0075-41,13-02-0719,HUEHUETENANGO,CHIANTLA,COPB ANEXO A EORM,ALDEA CHOCHAL,49695386,ELIZARDO ABRAHAM CANO GRANADOS,MARDOQUEO FACTOR ESCOBEDO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-02-0076-41,,HUEHUETENANGO,CHIANTLA,COPB ANEXO A EORM,CASERIO CINCO ARROYOS ALDEA CHOCHAL,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-02-5689-41,13-02-0719,HUEHUETENANGO,CHIANTLA,COPB ANEXO A EORM,CANTON POTRERO ALDEA CHOCHAL,51854731,ELIZARDO ABRAHAM CANO GRANADOS,SAMUEL HERNÁNDEZ LÓPEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-02-6193-41,13-02-0722,HUEHUETENANGO,CHIANTLA,COPB ANEXO A EORM,CASERIO CUL CHEMAL ALDEA CHANCOL,49284206,BRENDA YADIRA VELÁSQUEZ PALACIOS,ANA MARIEL FIGUEROA TELLO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-02-6608-41,26-052,HUEHUETENANGO,CHIANTLA,EDAC -PRONADE- ANEXA,CANTON IXCAMAL ALDEA CHOCHAL,,PROYECTO CODI,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-03-0058-41,13-03-0725,HUEHUETENANGO,MALACATANCITO,COPB ANEXO A EORM,CASERIO CHIPILINES ALDEA XEPON GRANDE,00000000,GUILLERMO AVILIO CHAVAJAY JAMÍNEZ,CANDELARIA ZARAT IXCOY,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-03-0167-41,13-03-0725,HUEHUETENANGO,MALACATANCITO,COPB ANEXO A EORM,ALDEA PUEBLO VIEJO,48261828,GUILLERMO AVILIO CHAVAJAY JAMÍNEZ,ELMA SONTAY IXCOY,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-03-0168-41,13-03-0725,HUEHUETENANGO,MALACATANCITO,COPB ANEXO A EORM,ALDEA RIO HONDO,,GUILLERMO AVILIO CHAVAJAY JAMÍNEZ,CLARITA ELIZABETH HIDALGO HIDALGO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-03-0169-41,13-03-0724,HUEHUETENANGO,MALACATANCITO,COPB ANEXO A EORM,ALDEA CIENEGUILLAS,32645807,EDWIN JULIÁN MENDOZA SONTAY,ELVIA JUDITH CHAMPET SONTAY DE LOPEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-03-0455-41,,HUEHUETENANGO,MALACATANCITO,COPB ANEXO A EORM,ALDEA GEMA,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
