0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
13-01-0060-44,13-01-0708,HUEHUETENANGO,HUEHUETENANGO,ESCUELA OFICIAL PARA ADULTOS TIPO FEDERACION,CANTON SAN JOSE,,CLARA ARMIDA MORALES CASTILLO,JORGE LUIS RIVAS DE LEÓN,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0061-44,13-001,HUEHUETENANGO,HUEHUETENANGO,EOPA NO.1 PARA OBREROS,2A CALLE 7-26 ZONA 1,58605122,HUGO GONZÁLEZ SALVADOR,HELDER DOMINGO MÉRIDA TELLO,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0184-44,13-002,HUEHUETENANGO,HUEHUETENANGO,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,4TA. CALLE 9-22 ZONA 1,51574061,MIRZA YOJANA LÓPEZ BRIONES,JUAN VELASQUEZ HERNANDEZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,A DISTANCIA,HUEHUETENANGO
13-01-0185-44,13-001,HUEHUETENANGO,HUEHUETENANGO,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,4TA. CALLE 9-222 ZONA 1,51574061,HUGO GONZÁLEZ SALVADOR,JUAN VELASQUEZ HERNANDEZ,PRIMARIA DE ADULTOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),HUEHUETENANGO
13-01-0186-44,13-060,HUEHUETENANGO,HUEHUETENANGO,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,16A. AVENIDA 9-64 ZONA 4 EL TERRERO,55079534,AROLDO HOSBERI SOSA LÓPEZ,ROSALÍO BENJAMÍN AGUILAR MORALES,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,HUEHUETENANGO
13-01-0331-44,13-050,HUEHUETENANGO,HUEHUETENANGO,"LICEO CRISTIANO ""NUEVOS HORIZONTES""","CALZADA KAIBIL BALAM, CANTÓN SAN JOSÉ, ZONA 5",57621120,REYNALDO RECINOS CASTILLO,MATEO GÓMEZ Y GÓMEZ,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,HUEHUETENANGO
13-01-0378-44,13-01-0707,HUEHUETENANGO,HUEHUETENANGO,CENTRO EDUCATIVO MARRIOT BRILLANTE,5ª. AVENIDA ¿A¿ 5-80 ZONA 1,77648219,HUGO GONZÁLEZ SALVADOR,MARIO ARNOLDO HERNANDEZ LORENZO,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,HUEHUETENANGO
13-01-2302-44,,HUEHUETENANGO,HUEHUETENANGO,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA,CENTRO DE SALUD SUR,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,HUEHUETENANGO
13-01-6378-44,13-01-0708,HUEHUETENANGO,HUEHUETENANGO,"COLEGIO EVANGÉLICO PARA ADULTOS GUATEMALTECOS ""EL SHADDAI""",6A. AV. C 8A. CALLE A 8-30 COLONIA MAKEPEACE ZONA 1,77643534,CLARA ARMIDA MORALES CASTILLO,LUDDWIK MISSAEL GÓMEZ RIVAS,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,HUEHUETENANGO
13-01-6950-44,13-01-0713,HUEHUETENANGO,HUEHUETENANGO,COLEGIO PRIVADO MIXTO HERMANO PEDRO,ZACULEU CENTRAL ZONA 9,57699663,LIGIA MARÍA LÓPEZ HERRERA,LILIA CARMELA LÓPEZ LÓPEZ,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,HUEHUETENANGO
13-01-7080-44,13-001,HUEHUETENANGO,HUEHUETENANGO,LICEO PRIVADO MIXTO MONTESSORI,ALDEA CHINACA,,HUGO GONZÁLEZ SALVADOR,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,HUEHUETENANGO
13-01-7081-44,13-01-0709,HUEHUETENANGO,HUEHUETENANGO,COLEGIO NUEVO AMANECER,3A. AVENIDA FINAL ZONA 3,47319172,MIRZA YOJANA LÓPEZ BRIONES,DÁMARIS JULISSA VILLATORO RECINOS,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,HUEHUETENANGO
13-01-7146-44,13-001,HUEHUETENANGO,HUEHUETENANGO,CENTRO EDUCATIVO A DISTANCIA AULA VIRTUAL,2DA. CALLE 6-49 ZONA 1,77641301,HUGO GONZÁLEZ SALVADOR,OLIVER BOANERGES RECINOS RECINOS,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),HUEHUETENANGO
13-01-7209-44,13-01-0708,HUEHUETENANGO,HUEHUETENANGO,ESCUELA DE NIÑOS SORDOMUDOS,3A. CALLE 3-09 ZONA 1,,CLARA ARMIDA MORALES CASTILLO,DORA LILIANA GONZALEZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO
13-02-0164-44,13-02-0716,HUEHUETENANGO,CHIANTLA,EOPA,CANTON PARROQUIA,38615541,LUIS ANTONIO HERRERA TELLO,SHEILA JEANNETTE HERRERA MÉRIDA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),HUEHUETENANGO
13-02-2308-44,,HUEHUETENANGO,CHIANTLA,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA,LA ESPERANZA TAJUMULCO,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,HUEHUETENANGO
13-04-2307-44,,HUEHUETENANGO,CUILCO,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA,HOJA BLANCA,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,HUEHUETENANGO
13-04-7119-44,13-011,HUEHUETENANGO,CUILCO,COLEGIO PRIVADO MIXTO JOSE ERNESTO MONZON,CABECERA MUNICIPAL,57234249,DELMY ELISAMA CHAVEZ ROBLERO,SONIA NATIVIDAD MORENO MÉRIDA,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,HUEHUETENANGO
13-05-0050-44,13-014,HUEHUETENANGO,NENTON,"COLEGIO INTERCULTURAL PRIVADO MIXTO ""CIENCIA APLICADA""",CABECERA MUNICIPAL,57381713,JOSELINO SAMAYOA CASTILLO,MIGUEL ANGEL HERNÁNDEZ TÓRREZ,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,HUEHUETENANGO
13-05-2313-44,,HUEHUETENANGO,NENTON,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA,NVA. ESPERANZA CHACULA,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,HUEHUETENANGO
13-06-2319-44,,HUEHUETENANGO,SAN PEDRO NECTA,IGER,SAN PEDRO NECTA HUEHUETENANGO,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,HUEHUETENANGO
