0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
18-01-0321-41,18-01-1061,IZABAL,PUERTO BARRIOS,"COPB ANEXA A EORM INTEGRAL ""SALVADOR EFRAIN VIDES LEMUS",ALDEA SANTO TOMÁS DE CASTILLA,37570200,CINDY WALESKA BELTETÓN DE MOLINA,MERCY ESTEFANNY CASTAÑEDA MORALES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0322-41,18-01-1068,IZABAL,PUERTO BARRIOS,"COPB ANEXA A EORM ""TOMAS CAAL ICO""",ALDEA SAN PEDRO LA COCONA,59678470,CINDY WALESKA BELTETÓN DE MOLINA,MARÍA CRISTINA OLIVA DE LA CRUZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0372-41,18-01-1059,IZABAL,PUERTO BARRIOS,COPB NATALIA GORRIZ VIUDA DE MORALES,4A. AVENIDA 5A. CALLE,54833110,SANDRA PATRICIA LÓPEZ JORDÁN,CLAUDIA BERNARDA ESCOBEDO LEIVA,PREPRIMARIA BILINGUE,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0697-41,,IZABAL,PUERTO BARRIOS,CENTRO MUNICIPAL DE PREPRIMARIA BILINGUE,ALDEA SAN CARLOS EL PORVENIR,,,,PREPRIMARIA BILINGUE,MUNICIPAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-1896-41,,IZABAL,PUERTO BARRIOS,COPB,ALDEA SAN CARLOS EL PORVENIR,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-2000-41,,IZABAL,PUERTO BARRIOS,LICEO MIXTO DE EDUCACION INTEGRAL 'JEAN PIAGET',8 AVE. ENTRE 5A. Y 6A. CALLE,,,,PREPRIMARIA BILINGUE,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-2342-41,,IZABAL,PUERTO BARRIOS,COPB TOMAS CAAL ICO,SAN PEDRO LA COCONA,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-2804-41,,IZABAL,PUERTO BARRIOS,COPB ANEXA A EORM,,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-2886-41,18-01-1059,IZABAL,PUERTO BARRIOS,COPB ANEXO A EOUM 15 DE SEPTIEMBRE,4A. AV. 5A. Y 6A. CALLES,34503585,SANDRA PATRICIA LÓPEZ JORDÁN,REYNA CONCEPCIÓN HERNÁNDEZ GARCÍA,PREPRIMARIA BILINGUE,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
