0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
18-01-0032-44,18-01-1059,IZABAL,PUERTO BARRIOS,EOPA 'RAFAEL LANDIVAR',15 CALLE 7A. AVENIDA ESQUINA,41109425,SANDRA PATRICIA LÓPEZ JORDÁN,MARIA DEL CARMEN ALDANA HERNANDEZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),IZABAL
18-01-0033-44,18-01-1059,IZABAL,PUERTO BARRIOS,EOPA DR.'TOMAS BAUDILIO NAVARRO BATREZ',19 CALLE 14 AVENIDA,40591396,SANDRA PATRICIA LÓPEZ JORDÁN,TARYN MARIELL HILL CÁRCAMO,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),IZABAL
18-01-0161-44,18-01-1067,IZABAL,PUERTO BARRIOS,"COLEGIO CRISTIANO PRIVADO MIXTO ""CRISTO VIENE""",ALDEA ENTRE RIOS,79488434,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,GRICELDA MAGALY LEMUS CALDERON,PRIMARIA DE ADULTOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),IZABAL
18-01-0172-44,,IZABAL,PUERTO BARRIOS,EPPA 'CAMPO DE DIOS',ALDEA SANTO TOMAS DE CASTILLA,,,,PRIMARIA DE ADULTOS,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),IZABAL
18-01-0229-44,18-01-1065,IZABAL,PUERTO BARRIOS,COLEGIO PARTICULAR MIXTO PIEDRAS NEGRAS,"COLONIA PIEDRAS NEGRAS, SANTO TOMÁS DE CASTILLA",45061692,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,MARÍA ANTONIA ESPINOZA SAGASTUME,PRIMARIA DE ADULTOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),IZABAL
18-01-0265-44,18-009,IZABAL,PUERTO BARRIOS,EPPA CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,20 AVENIDA ENTRE 13 Y 14 CALLES PUERTO BARRIOS,79480009,ELENA ELIZABETH SÚCHITE GARNICA DE QUINTANILLA,DANY ARELY IBARRA MEJIA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,A DISTANCIA,IZABAL
18-01-0266-44,18-009,IZABAL,PUERTO BARRIOS,EOPA CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,20 AVENIDA 13 Y 14 CALLES,79480009,ELENA ELIZABETH SÚCHITE GARNICA DE QUINTANILLA,DANY ARELY IBARRA MEJIA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),IZABAL
18-01-0267-44,18-01-1069,IZABAL,PUERTO BARRIOS,EOPA CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,"20 AVENIDA ENTRE 13 Y 14 CALLES PUERTO BARRIOS, IZABAL",57864086,ANA MARIBEL CASTILLO DÍAZ,DANY ARELY IBARRA MEJIA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,IZABAL
18-01-0280-44,18-01-1064,IZABAL,PUERTO BARRIOS,LICEO EDUCATIVO DE FORMACION INTEGRAL FUENTE DE VIDA,CASERIO COLINA II DE SANTO TOMAS DE CASTILLA,50218402,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,JUDITH RAQUEL LÓPEZ JIMÉNEZ,PRIMARIA DE ADULTOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),IZABAL
18-01-0314-44,18-037,IZABAL,PUERTO BARRIOS,"LICEO TECNICO VOCACIONAL ""HARVARD DE GUATEMALA""",14 CALLE ENTRE 12 Y 13 AVENIDAS,41226592,REINALDO REMIGIO HERNANDEZ HERNANDEZ,BYRON ASTHOR ZACARIAS OROZCO,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),IZABAL
