0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
22-01-0031-44,22-001,JUTIAPA,JUTIAPA,EOPA,"CALLE 15 DE SEPTIEMBRE, 4-71 ZONA 1",78441825,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,SILVIA AZUCENA CARRILLO SALGUERO DE RIOS,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),JUTIAPA
22-01-0032-44,,JUTIAPA,JUTIAPA,EOPA ANEXA A COLEGIO 'SAN MIGUEL',"6A. CALLE 4-74, ZONA 1",,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,FIN DE SEMANA,JUTIAPA
22-01-0272-44,22-030,JUTIAPA,JUTIAPA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,BARRIO LATINO,48607758,MYNOR YOBANY MERLOS FLORIAN,MYNOR YOBANY MERLOS FLORIAN,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,A DISTANCIA,JUTIAPA
22-01-0273-44,22-030,JUTIAPA,JUTIAPA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,BARRIO LATINO,48607758,MYNOR YOBANY MERLOS FLORIAN,MYNOR YOBANY MERLOS FLORIAN,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),JUTIAPA
22-01-0274-44,22-030,JUTIAPA,JUTIAPA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,BARRIO LATINO,40405382,MYNOR YOBANY MERLOS FLORIAN,GLENDA MARITZA LIMA DEL CID,PRIMARIA DE ADULTOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JUTIAPA
22-01-0383-44,22-003,JUTIAPA,JUTIAPA,"INSTITUTO PROFESIONAL ""JAHER""",4TA. CALLE 2-11 ZONA 3,77968770,REMBERTO RECINOS SARCEÑO,SONIA YAMILETH CRUZ LÓPEZ,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,VIRTUAL A DISTANCIA,JUTIAPA
22-01-0701-44,,JUTIAPA,JUTIAPA,INSTITUTO PARTICULAR MIXTO DE MERCADOTECNIA Y PUBLICIDAD DE ORIENTE,6A. CALLE 6-07 ZONA 3,8441530- 8441235,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-1432-44,,JUTIAPA,JUTIAPA,ESCUELA PRIMARIA POR COOPERATIVA PARA TRABAJADORES 'ESCUELA MONTUFAR',CALLE 15 DE SEPTIEMBRE,,,,PRIMARIA DE ADULTOS,COOPERATIVA,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,SABATINO,JUTIAPA
22-01-1504-44,22-99-0210,JUTIAPA,JUTIAPA,ESCUELA GRATUITA DE EDUCACION PRIMARIA PARA TRABAJADORES,"7A. AVENIDA ZONA 1, BARRIO LATINO",45603487,BLANCA SONIA ASENCIO MAZARIEGOS,MIRIAM BRINETH YANES OROPÍN,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JUTIAPA
22-02-0705-44,,JUTIAPA,EL PROGRESO,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,JUTIAPA
22-03-0157-44,22-010,JUTIAPA,SANTA CATARINA MITA,EPPA,BARRIO EL BARREAL,,DANIEL AGUIRRE CASTRO,EVELYN JANETH PEREZ PINTO,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),JUTIAPA
22-04-2173-44,22-012,JUTIAPA,AGUA BLANCA,EOPA,BARRIO LAS CASITAS,,YELBELY ROXANA VEGA DONADO,,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,JUTIAPA
22-05-0237-44,22-05-1239,JUTIAPA,ASUNCION MITA,EOPA PROFESOR JOVIEL ACEVEDO AYALA,BARRIO LA DEMOCRACIA,42110790,SANDRA PATRICIA LÓPEZ DE CAMBARA,SENDER AUGUSTO GODOY RAMÍREZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),JUTIAPA
22-05-0702-44,25-000,JUTIAPA,ASUNCION MITA,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),,,SONIA HAYDEE REYES MONTERROSO,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,JUTIAPA
22-07-0325-44,22-017,JUTIAPA,ATESCATEMPA,EOPA,BARRIO LINDO,,SANDRA PATRICIA LOPEZ DE CAMBARA,,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),JUTIAPA
22-11-0703-44,,JUTIAPA,COMAPA,IGER,,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,JUTIAPA
22-12-0706-44,,JUTIAPA,JALPATAGUA,IGER,SAN IXTAN,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,JUTIAPA
22-13-0704-44,,JUTIAPA,CONGUACO,IGER,SAN PEDRO,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,JUTIAPA
22-14-0707-44,,JUTIAPA,MOYUTA,IGER,MOYUTA,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,JUTIAPA
22-16-0709-44,,JUTIAPA,SAN JOSE ACATEMPA,IGER,LA CEIBITA,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,A DISTANCIA,JUTIAPA
22-17-0708-44,,JUTIAPA,QUESADA,IGER,,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,JUTIAPA
