0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
17-01-0492-41,,PETEN,FLORES,COPB,LA PIMIENTA,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-02-2476-41,17-002,PETEN,SAN JOSE,COPB ANEXO A EORM,CASERIO COROZAL,,LILIA SAUDITA SUNTECUN CHAN,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-03-2153-41,,PETEN,SAN BENITO,COPB ANEXO A EORM,ALDEA LA COBANERITA,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-03-2235-41,,PETEN,SAN BENITO,COLEGIO RABY BATAB,COLONIA ITZA,,,,PREPRIMARIA BILINGUE,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,BILINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-03-3309-41,,PETEN,SAN BENITO,EDAC - PRONADE - ANEXA,COLONIA 20 DE MAYO,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-04-0102-41,17-04-1031,PETEN,SAN ANDRES,COPB,BARRIO LA PISTA,33322436,ERWIN DE JESÚS SOZA MANZANERO,SELVIN ARIEL CHÍ CAMAL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-0030-41,17-05-1034,PETEN,LA LIBERTAD,COPB,BARRIO SAN PEDRO CASERIO TAMARIS LAS VEGAS,33254610,ISAAC ESCOBAR,MARTA HERLINDA CAAL CHUB,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-0031-41,17-05-0027,PETEN,LA LIBERTAD,COPB,CASERIO SAGRADO CORAZON,45583618,ARIEL ESAU PELAEZ,SILVIA MARITZA ORELLANA GUZMÁN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-0033-41,17-05-1035,PETEN,LA LIBERTAD,COPB,CASERIO LA NUEVA,48661550,GREGORIO ENRIQUE ARGUETA SAMAYOA,ELICIA ESPERANZA CHOC CUC,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-0034-41,17-05-0025,PETEN,LA LIBERTAD,COPB,CASERIO ESPERANCITA I,53616380,GREGORIO ENRIQUE ARGUETA SAMAYOA,FLOR CUCUL CHOC,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-0245-41,17-006,PETEN,LA LIBERTAD,COPB ANEXA A EORM,CASERIO EL TAMBO,79262582,ROERICO DE LA CRUZ ICAL,GREGORIO ARGUETA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-0246-41,17-05-0025,PETEN,LA LIBERTAD,COPB,CASERIO NUEVA JERUSALEN I,49910692,GREGORIO ENRIQUE ARGUETA SAMAYOA,ROMELIA VERÓNICA MATA RAMÍREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-0286-41,17-05-0027,PETEN,LA LIBERTAD,COPB,CASERIO POZO AZUL,45115966,ARIEL ESAU PELAEZ,GLENDA YAMILETH CARRANZA ENRIQUEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-0363-41,17-008,PETEN,LA LIBERTAD,COPB,CASERIO EL COROZAL,79262582,GREGORIO ENRIQUE ARGUETA SAMAYOA,-,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-0364-41,17-008,PETEN,LA LIBERTAD,COPB,CASERIO NUEVA FORMACION,79262582,GREGORIO ENRIQUE ARGUETA SAMAYOA,-,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-0365-41,17-029,PETEN,LA LIBERTAD,COPB,CASERIO TAMARIS LAS VEGAS,79262582,WILBER NERY KILKAN ROSADO,-,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-0366-41,17-012,PETEN,LA LIBERTAD,COPB,CASERIOMONTE DE LOS OLIVOS,79262582,HÉCTOR DAVID MAYÉN MILIÁN,-,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-3342-41,,PETEN,LA LIBERTAD,EDAC -PRONADE- ANEXA,BARRIO EL PORVENIR KILOMETRO CIENTO SIETE (107),,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-3561-41,26-017,PETEN,LA LIBERTAD,EDAC -PRONADE- ANEXA,CASERIO LA NUEVA,,PROYECTO ASCATED,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-3562-41,26-017,PETEN,LA LIBERTAD,EDAC -PRONADE- ANEXA,CASERIO ESPERANCITA I,,PROYECTO ASCATED,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-3563-41,26-017,PETEN,LA LIBERTAD,EDAC -PRONADE-,CASERIO EL BUEN SAMARITANO,,PROYECTO ASCATED,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-3581-41,26-017,PETEN,LA LIBERTAD,EDAC -PRONADE- ANEXA,BARRIO SAN PEDRO CASERIO TAMARIS LAS VEGAS,,PROYECTO ASCATED,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-3582-41,26-017,PETEN,LA LIBERTAD,EDAC -PRONADE- ANEXA,CASERIO SAGRADO CORAZON,,PROYECTO ASCATED,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-06-0022-41,17-009,PETEN,SAN FRANCISCO,COPB,PARCELAMIENTO NUEVA NACION,79262582,MARIANELA LISSBETH GONGORA REINOSO,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-08-0130-41,17-012,PETEN,DOLORES,COPB,CASERIO MONTE DE LOS OLIVOS,79262582,HÉCTOR DAVID MAYÉN MILIÁN,-,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-08-0131-41,17-012,PETEN,DOLORES,COPB,CASERIO EL NARANJON,79262582,HÉCTOR DAVID MAYÉN MILIÁN,-,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-08-1029-41,,PETEN,DOLORES,EPRM VICARIAL ANEXA,CASERIO TIMAX,,,,PREPRIMARIA BILINGUE,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-08-2398-41,,PETEN,DOLORES,COPB,ASENTAMIENTO VALLE DE LA ESMERALDA,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-08-3147-41,,PETEN,DOLORES,EDAC -PRONADE- ANEXA,BARRIO SAN RAMON,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-08-3174-41,17-008,PETEN,DOLORES,COPB ANEXO A EORM,COOPERATIVA LA NUEVA ESPERANZA,,GREGORIO ENRIQUE ARGUETA SAMAYOA,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-08-3175-41,,PETEN,DOLORES,COPB ANEXO A EORM,ALDEA SANTA ISABEL,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-09-0026-41,17-09-1043,PETEN,SAN LUIS,COPB,CASERIO TIMAX,48923166,DEYLIN ANTONIO ALVAREZ ALDANA,KENY ODARYS RAMOS SALGUERO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
