0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
17-01-0004-44,17-001,PETEN,FLORES,EOPA,BARRIO SANTA ELENA,,LILIN MELISA HERRERA ORREGO,--,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),PETÉN
17-01-0096-44,17-001,PETEN,FLORES,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,5TA CALLE Y 3RA AVENIDA ZONA 2,49994004,LILIN MELISA HERRERA ORREGO,SANTIAGO CRUZ SERRANO,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,A DISTANCIA,PETÉN
17-01-0097-44,17-001,PETEN,FLORES,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,"CALLE AEREOPUERTO, FRENTE UNIVERSIDAD",49994004,LILIN MELISA HERRERA ORREGO,SANTIAGO CRUZ SERRANO,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),PETÉN
17-01-0098-44,17-01-1025,PETEN,FLORES,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,"CALLE AEREOPUERTO, FRENTE UNIVERSIDAD",47065519,LILIN MELISA HERRERA ORREGO,ABILIO QUIÑÓNEZ CORADO,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,PETÉN
17-01-1239-44,25-000,PETEN,FLORES,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),ALDEA EL NARANJO,,SONIA HAYDEE REYES MONTERROSO,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,PETÉN
17-02-1247-44,,PETEN,SAN JOSE,IGER,SAN JOSE,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,A DISTANCIA,PETÉN
17-03-0050-44,17-03-1028,PETEN,SAN BENITO,EOPA,BARRIO 3 DE ABRIL,51267579,LUZMIN YAMILETH PIRIR AYALA,MARIA DEL CARMEN CHÁN HERRERA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),PETÉN
17-03-1245-44,,PETEN,SAN BENITO,IGER,BARRIO 3 DE ABRIL,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,A DISTANCIA,PETÉN
17-03-3197-44,,PETEN,SAN BENITO,EOPA,BARRIO VISTA HERMOSA,,,,PRIMARIA DE ADULTOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),PETÉN
