0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
09-01-0001-41,09-01-0431,QUETZALTENANGO,QUETZALTENANGO,COPB ANEXO A EORM JOSE MARTI,ALDEA SAN JOSE CHIQUILAJA,41965002,ZOILA WILDA CAJAS DE PAZ DE RAMÍREZ,DANIEL WALTER JUÁREZ IXCATCOY,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0173-41,09-01-0427,QUETZALTENANGO,QUETZALTENANGO,COPB ANEXA A EORM,PARAJE BELLA VISTA ALDEA LAS MAJADAS,54128351,DINA RUBÍ GONZÁLEZ DE LEÓN,IRMA LETICIA ZAPET CASTRO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0762-41,09-01-0434,QUETZALTENANGO,QUETZALTENANGO,COPB ANEXO A EORM,CANTON LLANO DEL PINAL,38619146,IRIS ONDINA HERNÁNDEZ ROJAS DE SOTO,VICTORIA VELASCO LARIOS,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-2679-41,09-01-0432,QUETZALTENANGO,QUETZALTENANGO,COPB ANEXA A EORM,CHITAY CENTRO,59461156,MIGDALIA AZUCENA LOARCA CRUZ,DOANI ETHELVIA CALDERÓN REYES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-3309-41,,QUETZALTENANGO,QUETZALTENANGO,EDAC -PRONADE-ANEXA,17 CALLE 1-50 ZONA 5 CANTON CHOQUI,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-3377-41,09-01-0425,QUETZALTENANGO,QUETZALTENANGO,COPB UK AK,36 AVENIDA 9B-88 ZONA 8,53799159,RAMÓN YAX LAÍNES,MAURA ELISA VÁSQUEZ DÍAZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-3451-41,,QUETZALTENANGO,QUETZALTENANGO,EDAC PRONADE,BARRIO GARIBALDI,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-3466-41,,QUETZALTENANGO,QUETZALTENANGO,EDAC -PRONADE- ANEXA,SECTOR DIEZ (10) PACAJA ALTO,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-3755-41,26-036,QUETZALTENANGO,QUETZALTENANGO,EDAC -PRONADE- ANEXA,PARAJE BELLA VISTA ALDEA LAS MAJADAS,,PROYECTO CONSULTORIA TOTAL,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-3757-41,26-067,QUETZALTENANGO,QUETZALTENANGO,EDAC -PRONADE- ANEXA,COLONIA LA DEMOCRACIA,,PROYECTO PRONADE,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-4182-41,09-001,QUETZALTENANGO,QUETZALTENANGO,COLEGIO PRIVADO MIXTO 'SAN RAFAEL',12 AVENIDA 12-33 ZONA 3,77637443,IRIS ONDINA HERNANDEZ ROJAS DE SOTO,,PREPRIMARIA BILINGUE,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-02-0032-41,09-02-0435,QUETZALTENANGO,SALCAJA,COPB ANEXA A EORM,CANTON MARROQUIN II,47529301,MARIA LUISA RODAS VALDEZ,LOURDES MARICELY OVALLE DE LEÓN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-02-3378-41,09-02-0435,QUETZALTENANGO,SALCAJA,COPB ANEXO A EORM CELESTE ANTONIETA HIGUEROS MOLINA,ALDEA SANTA RITA,54173049,MARIA LUISA RODAS VALDEZ,NAZARIO FELIPE TAX AJTUN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-03-0003-41,09-03-0436,QUETZALTENANGO,OLINTEPEQUE,COPB ANEXA A EORM,SECTOR LAS CATARATAS ALDEA JUSTO RUFINO BARRIOS,55975048,URSULO ROSARIO MAZARIEGOS CIFUENTES,VICTOR FRANCISCO CHAJ GONZÁLEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-03-0004-41,09-03-0436,QUETZALTENANGO,OLINTEPEQUE,COPB ANEXA A EORM,SECTOR PIMUT CENTRO ALDEA LA CUMBRE,47407449,URSULO ROSARIO MAZARIEGOS CIFUENTES,FREDY ADOLFO COLOP ORDÓÑEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-03-0005-41,09-03-0436,QUETZALTENANGO,OLINTEPEQUE,COPB ANEXA A EORM,BARRIO LA PAZ,50092393,URSULO ROSARIO MAZARIEGOS CIFUENTES,ALEJANDRA PÉREZ PÉREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-03-0176-41,09-03-0436,QUETZALTENANGO,OLINTEPEQUE,COPB ANEXA A EODP,ALDEA JUSTO RUFINO BARRIOS,30249101,URSULO ROSARIO MAZARIEGOS CIFUENTES,ERICKA LORENA SÁNCHEZ STRAUBE,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-03-0177-41,09-03-0436,QUETZALTENANGO,OLINTEPEQUE,COPB ANEXO A EORM,ALDEA LA CUMBRE,48304978,URSULO ROSARIO MAZARIEGOS CIFUENTES,SANTOS ZARAT IXCOY,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-03-0178-41,09-03-0436,QUETZALTENANGO,OLINTEPEQUE,COPB ANEXO A EORM,ALDEA SAN ISIDRO,42798186,URSULO ROSARIO MAZARIEGOS CIFUENTES,GÉRMAN XÚM ANASTACIO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-03-0179-41,09-03-0436,QUETZALTENANGO,OLINTEPEQUE,COPB ANEXO A EORM,ALDEA CHUISUC,45347387,URSULO ROSARIO MAZARIEGOS CIFUENTES,JUAN ELIODORO HERNÁNDEZ GÓMEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-03-0180-41,09-03-0436,QUETZALTENANGO,OLINTEPEQUE,COPB ANEXO A EORM,ALDEA SAN ANTONIO PAJOC,43308930,URSULO ROSARIO MAZARIEGOS CIFUENTES,JUANA ROMELIA MACARIO GONZÁLEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-03-0768-41,09-03-0436,QUETZALTENANGO,OLINTEPEQUE,COPB ANEXO A EOUM FIDEL E. RODAS,"KILÓMETRO CUATRO Y MEDIO 0-26, CARRETERA A OLINTEPEQUE",41349944,URSULO ROSARIO MAZARIEGOS CIFUENTES,VINICIO JOSUÉ BARRIOS DE LEÓN,PREPRIMARIA BILINGUE,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-03-3277-41,,QUETZALTENANGO,OLINTEPEQUE,EDAC - PRONADE - ANEXA,BARRIO PIE DEL CERRO EL MOJON,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-03-3286-41,,QUETZALTENANGO,OLINTEPEQUE,EDAC - PRONADE - ANEXA,CANTON LA LIBERTAD,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-03-3469-41,26-036,QUETZALTENANGO,OLINTEPEQUE,EDAC -PRONADE- ANEXA,SECTOR LAS CATARATAS ALDEA JUSTO RUFINO BARRIOS,,PROYECTO CONSULTORIA TOTAL,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
