0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
09-01-0121-44,09-01-0428,QUETZALTENANGO,QUETZALTENANGO,EOPA 'EL ADELANTO',1A CALLE 12-25 ZONA 3,59456931,JUAN CARLOS RONQUILLO,MIRSA JUDIT GRAMAJO DE LEÓN,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0122-44,09-01-0425,QUETZALTENANGO,QUETZALTENANGO,"EOPA NO.2 ""EL ESFUERZO""","8A CALLE 19-89, ZONA 1,",59399367,RAMÓN YAX LAÍNES,EDWIN OTONIEL ROSAL SANTIZO,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0123-44,09-006,QUETZALTENANGO,QUETZALTENANGO,"ESCUELA NOCTURNA MIXTA DE EDUCACION PARA ADULTOS ""ARQUITECTURA""",26 AVENIDA 3-24 ZONA 3,50734655,PEDRO GERÓNIMO SARAT CHAJ,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0124-44,09-01-0429,QUETZALTENANGO,QUETZALTENANGO,EPPA 'EL CALVARIO',26 AVENIDA 3-24 ZONA 3,77635145,MARÍA LETICIA PIRIR AVILA DE DE LEÓN,ALVARO GUILLERMO ARELLANO RODAS,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0276-44,09-012,QUETZALTENANGO,QUETZALTENANGO,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,2 CALLE 15 AVENIDA ZONA 1,53803111,JUAN JOSE COLOP COLOP,JOSÉ LUCAS GONZÁLEZ TÓ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0277-44,09-012,QUETZALTENANGO,QUETZALTENANGO,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,15 AVENIDA 1-23 ZONA 1,53803111,JUAN JOSE COLOP COLOP,JOSÉ LUCAS GONZÁLEZ TÓ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0278-44,09-012,QUETZALTENANGO,QUETZALTENANGO,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,15 AVENIDA 1-23 ZONA 1,58586015,JUAN JOSE COLOP COLOP,JOSÉ LUCAS GONZÁLEZ TÓ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,QUETZALTENANGO
09-01-0442-44,09-012,QUETZALTENANGO,QUETZALTENANGO,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX QUETZALTENANGO,"0 AVENIDA 5-08, ZONA 6, EL MIRADOR",44988031,JUAN JOSE COLOP COLOP,CLAUDIA EDELMIRA AGUILAR LÓPEZ,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),QUETZALTENANGO
09-01-0468-44,09-006,QUETZALTENANGO,QUETZALTENANGO,"CENTRO EDUCATIVO ""ISEA QUETZALTENANGO""",23ª AVENIDA 7-08 COLONIA SAN ANTONIO ZONA 7,77654744,PEDRO GERÓNIMO SARAT CHAJ,LIGIA ELENA MORALES PALACIOS,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,SEMIPRESENCIAL,QUETZALTENANGO
